Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,ci1,p2,v2,ci2
CMax,wet,0.0,differential_evolution,4,3708.50665,235098.0,Alpha,2.20908249,,Beta,4.7785078,
CMax,wet,0.0,basinhopping,5,3717.04305,285224.0,Alpha,2.34739247,,Beta,0.68104399,
CMax,wet,0.0,dual_annealing,1,3665.48917,2850122.0,Alpha,2.26275721,,Beta,2.69352952,
CMax,wet,1.0,differential_evolution,2,923.764195,81087.0,Alpha,2.34425406,,Beta,5.6396862,
CMax,wet,1.0,basinhopping,3,941.560163,72316.0,Alpha,2.31592851,,Beta,0.82876324,
CMax,wet,1.0,dual_annealing,1,922.369833,722086.0,Alpha,2.02315412,,Beta,4.22464411,
CMax,wet,2.0,differential_evolution,4,917.21866,95568.0,Alpha,1.93313696,,Beta,0.25734897,
CMax,wet,2.0,basinhopping,5,921.51223,71104.0,Alpha,2.36683333,,Beta,0.52727289,
CMax,wet,2.0,dual_annealing,2,904.085874,707344.0,Alpha,2.31902186,,Beta,2.45532525,
CMax,wet,3.0,differential_evolution,4,938.707497,101994.0,Alpha,2.27272045,,Beta,7.3760388,
CMax,wet,3.0,basinhopping,1,915.064414,71912.0,Alpha,2.69961539,,Beta,1.14771067,
CMax,wet,3.0,dual_annealing,3,927.610354,716450.0,Alpha,2.64823503,,Beta,4.11079644,
CMax,inter,0.0,differential_evolution,4,3999.77248,235098.0,Alpha,2.18485087,,Beta,2.75113913,
CMax,inter,0.0,basinhopping,1,3954.07156,285224.0,Alpha,2.4426423,,Beta,1.80208645,
CMax,inter,0.0,dual_annealing,2,3966.01053,2843768.0,Alpha,2.29412008,0.02724145,Beta,3.16366225,
CMax,inter,1.0,differential_evolution,4,922.445421,75717.0,Alpha,2.07851271,,Beta,7.36090228,
CMax,inter,1.0,basinhopping,2,913.486784,72316.0,Alpha,2.60230421,,Beta,0.2153611,
CMax,inter,1.0,dual_annealing,1,904.185292,721549.0,Alpha,2.49904229,,Beta,2.75367343,
CMax,inter,2.0,differential_evolution,5,987.805293,63888.0,Alpha,2.15043112,,Beta,0.1696641,
CMax,inter,2.0,basinhopping,1,978.364918,71104.0,Alpha,2.31191202,,Beta,1.60097824,
CMax,inter,2.0,dual_annealing,3,984.787648,707872.0,Alpha,2.05654422,,Beta,3.62152335,
CMax,inter,3.0,differential_evolution,2,926.272739,80634.0,Alpha,2.16980188,,Beta,2.78090179,
CMax,inter,3.0,basinhopping,3,941.607507,71912.0,Alpha,2.14398121,,Beta,0.31615813,
CMax,inter,3.0,dual_annealing,1,921.483011,719654.0,Alpha,2.22511708,,Beta,2.18633089,
Eller,wet,0.0,differential_evolution,3,3418.75063,144730.0,kmaxS1,0.31933178,0.00349022,,,
Eller,wet,0.0,basinhopping,5,3418.75063,14242138.0,kmaxS1,0.34811066,0.00349022,,,
Eller,wet,0.0,Powell,2,3418.75063,22592.0,kmaxS1,0.31934258,0.00349035,,,
Eller,wet,1.0,differential_evolution,1,905.082442,27029.0,kmaxS1,0.31821195,0.00765415,,,
Eller,wet,1.0,basinhopping,3,905.082442,3780301.0,kmaxS1,0.34693921,0.00765415,,,
Eller,wet,1.0,Powell,4,905.09185,5728.0,kmaxS1,0.31822258,0.00765445,,,
Eller,wet,2.0,differential_evolution,2,834.127642,25872.0,kmaxS1,0.31268816,0.00655041,,,
Eller,wet,2.0,basinhopping,4,834.127642,3515248.0,kmaxS1,0.34115944,0.00655041,,,
Eller,wet,2.0,Powell,5,834.134272,5456.0,kmaxS1,0.31269869,0.00655061,,,
Eller,wet,3.0,differential_evolution,1,886.220675,31150.0,kmaxS1,0.31965076,0.00741651,,,
Eller,wet,3.0,basinhopping,2,886.220675,3875950.0,kmaxS1,0.31663985,0.00741651,,,
Eller,wet,3.0,Powell,5,886.229104,5696.0,kmaxS1,0.31966144,0.00741679,,,
Eller,inter,0.0,differential_evolution,4,3661.3769,91780.0,kmaxS1,0.25923292,0.00391793,,,
Eller,inter,0.0,basinhopping,5,3661.3769,13984448.0,kmaxS1,0.28510191,0.00391793,,,
Eller,inter,0.0,Powell,3,3661.3769,21180.0,kmaxS1,0.25923294,0.00391793,,,
Eller,inter,1.0,differential_evolution,2,905.804534,30072.0,kmaxS1,0.3027969,0.00757881,,,
Eller,inter,1.0,basinhopping,1,905.804534,3854228.0,kmaxS1,0.30279691,0.00757881,,,
Eller,inter,1.0,Powell,3,905.804534,5370.0,kmaxS1,0.30279666,0.0075788,,,
Eller,inter,2.0,differential_evolution,1,880.668876,32736.0,kmaxS1,0.2532852,0.00704513,,,
Eller,inter,2.0,basinhopping,2,880.668876,3112032.0,kmaxS1,0.2532852,0.00704513,,,
Eller,inter,2.0,Powell,3,880.668876,5280.0,kmaxS1,0.25328521,0.00704513,,,
Eller,inter,3.0,differential_evolution,3,935.825652,23140.0,kmaxS1,0.26113226,0.00807192,,,
Eller,inter,3.0,basinhopping,2,935.825652,3586700.0,kmaxS1,0.26113227,0.00807192,,,
Eller,inter,3.0,Powell,1,935.825652,5340.0,kmaxS1,0.26113227,0.00807192,,,
LeastCost,wet,0.0,differential_evolution,2,2763.44916,826020.0,kmaxLC,0.44174636,0.00591054,Eta,3.49958985,0.38043392
LeastCost,wet,0.0,Nelder-Mead,5,2782.34211,89662.0,kmaxLC,0.44533611,0.00265164,Eta,3.62581167,0.06560088
LeastCost,wet,0.0,dual_annealing,3,2768.57579,4470392.0,kmaxLC,0.44987504,0.00379134,Eta,3.90033758,0.18113393
LeastCost,wet,1.0,differential_evolution,1,708.196973,397917.0,kmaxLC,0.45016498,0.01741649,Eta,3.67207641,0.99090387
LeastCost,wet,1.0,Nelder-Mead,3,719.800655,23091.0,kmaxLC,0.45046247,0.00582926,Eta,3.66299779,0.12453758
LeastCost,wet,1.0,dual_annealing,2,718.952185,1164574.0,kmaxLC,0.46462986,0.00638239,Eta,3.83753404,0.0942741
LeastCost,wet,2.0,differential_evolution,2,666.011163,317328.0,kmaxLC,0.447202,0.00653829,Eta,3.41175333,0.46741027
LeastCost,wet,2.0,Nelder-Mead,3,671.669665,19536.0,kmaxLC,0.44819789,0.00406841,Eta,3.67916269,0.14125325
LeastCost,wet,2.0,dual_annealing,1,660.860499,1266496.0,kmaxLC,0.45126295,0.00408103,Eta,3.89564738,0.05282248
LeastCost,wet,3.0,differential_evolution,1,700.52953,288894.0,kmaxLC,0.43178387,0.02171388,Eta,3.58367647,1.22946102
LeastCost,wet,3.0,Nelder-Mead,2,706.161245,20648.0,kmaxLC,0.42850614,0.00564454,Eta,3.55364189,0.13242562
LeastCost,wet,3.0,dual_annealing,3,707.486555,1377008.0,kmaxLC,0.44389154,0.00564379,Eta,3.7182581,0.11299867
LeastCost,inter,0.0,differential_evolution,2,3567.28435,425718.0,kmaxLC,0.37203138,0.00405253,Eta,4.83488349,0.20359661
LeastCost,inter,0.0,Nelder-Mead,5,3575.48799,93898.0,kmaxLC,0.3799352,0.0041749,Eta,4.40890366,0.18757503
LeastCost,inter,0.0,dual_annealing,1,3563.8083,4216232.0,kmaxLC,0.36808743,0.00390271,Eta,4.78876369,0.09433005
LeastCost,inter,1.0,differential_evolution,1,718.537631,364623.0,kmaxLC,0.43260349,0.00555395,Eta,3.98309053,0.14228818
LeastCost,inter,1.0,Nelder-Mead,3,727.053045,22554.0,kmaxLC,0.42479985,0.00572596,Eta,4.15249584,0.15715025
LeastCost,inter,1.0,dual_annealing,2,725.90167,1038379.0,kmaxLC,0.44161518,0.00624159,Eta,4.14373415,0.09385427
LeastCost,inter,2.0,differential_evolution,2,859.464611,127248.0,kmaxLC,0.37793722,0.00703251,Eta,4.63392494,0.31880646
LeastCost,inter,2.0,Nelder-Mead,4,861.531928,19184.0,kmaxLC,0.38393364,0.00829169,Eta,5.59518222,0.43348581
