Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,ci1,p2,v2,ci2
Tuzet,inter,3.0,dual_annealing,2,801.990294,1021364.0,g1T,3.08711161,0.02419711,PrefT,-2.26234754,0.02711304
WUE-LWP,wet,0.0,differential_evolution,2,2584.24736,117902.0,Lambda,1.27181578,0.02217782,,,
WUE-LWP,wet,0.0,COBYLA,4,2605.37149,14120.0,Lambda,1.32302078,0.00858029,,,
WUE-LWP,wet,0.0,dual_annealing,1,2563.65675,1426826.0,Lambda,1.34025197,0.00780404,,,
WUE-LWP,wet,1.0,differential_evolution,2,643.126031,37948.0,Lambda,1.29589048,0.01621808,,,
WUE-LWP,wet,1.0,COBYLA,3,652.081434,3938.0,Lambda,1.31972628,0.0170102,,,
WUE-LWP,wet,1.0,dual_annealing,1,638.957014,363191.0,Lambda,1.27527434,0.01132854,,,
WUE-LWP,wet,2.0,differential_evolution,2,646.576427,42592.0,Lambda,1.30283135,0.04659949,,,
WUE-LWP,wet,2.0,COBYLA,3,647.221,3168.0,Lambda,1.35615832,0.01732684,,,
WUE-LWP,wet,2.0,dual_annealing,5,654.916457,355696.0,Lambda,1.34256601,0.01842865,,,
WUE-LWP,wet,3.0,differential_evolution,4,649.765883,35066.0,Lambda,1.19590825,0.04083243,,,
WUE-LWP,wet,3.0,COBYLA,1,642.557055,3916.0,Lambda,1.31314784,0.01571316,,,
WUE-LWP,wet,3.0,dual_annealing,2,643.771743,361518.0,Lambda,1.26481592,0.01433688,,,
WUE-LWP,inter,0.0,differential_evolution,2,3691.60294,86132.0,Lambda,1.81130228,0.02650288,,,
WUE-LWP,inter,0.0,COBYLA,3,3701.49654,16944.0,Lambda,1.76754438,0.02629223,,,
WUE-LWP,inter,0.0,dual_annealing,1,3691.57624,1432474.0,Lambda,1.81951962,0.02524216,,,
WUE-LWP,inter,1.0,differential_evolution,2,708.820598,27208.0,Lambda,1.4557738,0.02128737,,,
WUE-LWP,inter,1.0,COBYLA,1,685.844698,4296.0,Lambda,1.40075367,0.01684045,,,
WUE-LWP,inter,1.0,dual_annealing,5,716.982532,360685.0,Lambda,1.48676771,0.02339432,,,
WUE-LWP,inter,2.0,differential_evolution,3,887.318797,26752.0,Lambda,1.84016265,0.05056586,,,
WUE-LWP,inter,2.0,COBYLA,1,882.312624,3520.0,Lambda,1.83811914,0.04756739,,,
WUE-LWP,inter,2.0,dual_annealing,2,883.10074,353936.0,Lambda,1.7813263,0.04365919,,,
WUE-LWP,inter,3.0,differential_evolution,2,893.07826,24386.0,Lambda,1.78027808,0.04624519,,,
WUE-LWP,inter,3.0,COBYLA,5,900.038066,3560.0,Lambda,1.67693379,0.04121937,,,
WUE-LWP,inter,3.0,dual_annealing,1,891.963389,358670.0,Lambda,1.84435253,0.04491628,,,
