output,driver,S1,S1_conf,ST,ST_conf,S2,S2_conf
gs(std1),PPFD,0.0016841776547641767,0.0010157058219065402,0.015915158819218313,0.0021024167485064853,,
gs(std1),Tair,0.042444174902408004,0.003819100900173204,0.1915359411803021,0.007718795284217473,,
gs(std1),VPD,0.09648759198669343,0.00849196531684903,0.30838449091607356,0.013648856128081277,,
gs(std1),CO2,0.0003342108035251649,0.0017301900186380316,0.03563300746234836,0.003678872191855618,,
gs(std1),Ps,0.5255794058186034,0.016930155771020614,0.832494807444012,0.02586226156834408,,
gs(std1),PPFD-Tair,,,,,0.0012803785411144783,0.0019278700618242466
gs(std1),PPFD-VPD,,,,,0.001392399964278715,0.0025031060674866436
gs(std1),PPFD-CO2,,,,,0.0003637148548674631,0.0017425352285391047
gs(std1),PPFD-Ps,,,,,0.005889819082323666,0.002933266520779461
gs(std1),Tair-VPD,,,,,0.01470999959932795,0.009382792772415745
gs(std1),Tair-CO2,,,,,0.0024678384885004965,0.006535422304769874
gs(std1),Tair-Ps,,,,,0.0913551453739807,0.010998198683486162
gs(std1),VPD-CO2,,,,,0.0024128776773374295,0.018028033151041095
gs(std1),VPD-Ps,,,,,0.1481772496348912,0.030261329145768793
gs(std1),CO2-Ps,,,,,0.007442904703865438,0.0054108235116817555
gs(tuz),PPFD,0.012126587322425634,0.0016110882385194571,0.032879871290514756,0.0017778113098541291,,
gs(tuz),Tair,0.17534446313958943,0.005645956534567521,0.33422837443882014,0.0070221424169438825,,
gs(tuz),VPD,0.5154837122073357,0.007576482368759716,0.689373630505338,0.0070009510531697395,,
gs(tuz),CO2,0.010621859403042626,0.0023484586044641214,0.05390303789110275,0.0015818018875035655,,
gs(tuz),Ps,0.08819017953550867,0.003435826822492009,0.11050571452872342,0.0016793431918354768,,
gs(tuz),PPFD-Tair,,,,,0.0034175379440893605,0.0022614971532010173
gs(tuz),PPFD-VPD,,,,,0.0105465659883609,0.002748037038698751
gs(tuz),PPFD-CO2,,,,,0.00032914282994511365,0.0020301392493018502
gs(tuz),PPFD-Ps,,,,,0.0007737727499815966,0.0020868263189118587
gs(tuz),Tair-VPD,,,,,0.11889955386468343,0.009046778916918687
gs(tuz),Tair-CO2,,,,,0.009682307950524783,0.00699846370573038
gs(tuz),Tair-Ps,,,,,0.010258953902521711,0.00708619570634289
gs(tuz),VPD-CO2,,,,,0.019123895899771023,0.01288790740483088
gs(tuz),VPD-Ps,,,,,0.0030126440291452505,0.012079772658547427
gs(tuz),CO2-Ps,,,,,0.0010570259816661681,0.0035750576193210324
gs(sox1),PPFD,-0.00017324750229747872,0.000445146292587854,0.002481280727792334,0.00023874451552884538,,
gs(sox1),Tair,0.13393831568299214,0.004376322782107593,0.2346849340439775,0.007726229345625551,,
gs(sox1),VPD,0.6474335163157016,0.019113442601082574,0.7778583259536036,0.014195011910382577,,
gs(sox1),CO2,0.027164791037936425,0.0022451723661308033,0.05752295983504065,0.0018551195638667013,,
gs(sox1),Ps,0.04813970562152961,0.0025737748937744442,0.07997202331862802,0.0021787870032270043,,
gs(sox1),PPFD-Tair,,,,,0.0015914612600967382,0.0005596402530943867
gs(sox1),PPFD-VPD,,,,,0.0001640172909156412,0.0012390571875075366
gs(sox1),PPFD-CO2,,,,,0.00031964624246795525,0.000583809304369688
gs(sox1),PPFD-Ps,,,,,0.00029029394495041355,0.0006259713327979703
gs(sox1),Tair-VPD,,,,,0.0818807663147606,0.013839361124170235
gs(sox1),Tair-CO2,,,,,0.0036053615921514404,0.006272736240076954
gs(sox1),Tair-Ps,,,,,0.005599912676697405,0.006595922384137401
gs(sox1),VPD-CO2,,,,,0.018724362872172856,0.03607231310524622
gs(sox1),VPD-Ps,,,,,0.019349883716656996,0.0353685726866996
gs(sox1),CO2-Ps,,,,,0.0023201249312092,0.004015447220311491
gs(sox2),PPFD,0.0023492420185146088,0.0008370715008294088,0.010945581560554314,0.0009384354107422102,,
gs(sox2),Tair,0.02661874650877285,0.0025077268615689907,0.08015143085996675,0.003766810901739897,,
gs(sox2),VPD,0.8230765804041426,0.023376258107174523,0.9475222514851062,0.01564661115687649,,
gs(sox2),CO2,0.008000199677994565,0.002068020238870786,0.05738174758178492,0.002877528875950354,,
gs(sox2),Ps,0.011998947440454558,0.0016338892463932523,0.03287948094234395,0.0015843904766240573,,
gs(sox2),PPFD-Tair,,,,,0.0006601544758671751,0.001527151744333935
gs(sox2),PPFD-VPD,,,,,0.005532119485547549,0.003331193244171304
gs(sox2),PPFD-CO2,,,,,0.00028274943813170507,0.0014827861529008047
