doy,hod,A(std1),A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cgn),A(pmax),A(cmax),A(lcst),A(cap),A(mes),E(std1),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cgn),E(pmax),E(cmax),E(lcst),E(cap),E(mes),gs(std1),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cgn),gs(pmax),gs(cmax),gs(lcst),gs(cap),gs(mes),gb(std1),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cgn),gb(pmax),gb(cmax),gb(lcst),gb(cap),gb(mes),Ci(std1),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cgn),Ci(pmax),Ci(cmax),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std1),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cgn),Tleaf(pmax),Tleaf(cmax),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std1),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cgn),Pleaf(pmax),Pleaf(cmax),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std1),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cgn),Rublim(pmax),Rublim(cmax),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std1),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cgn),Ps(pmax),Ps(cmax),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
249,6.5,3.109855377153083,2.9839447237421663,3.132023166108516,3.201471272458019,3.151919262308355,3.104002862247876,3.1401802064532878,3.1748683553331043,3.2142821397175454,3.03760292774609,2.88623277004074,2.93930035410614,0.5873828985412877,0.4336214959892199,0.6315271672836399,0.9159531799906035,0.6790979674651899,0.5802927700724028,0.656664953886177,0.7558800395369493,0.9248918944512362,0.4886003423990743,0.590028583316944,0.7001339554187292,0.03438588148554132,0.025366401234954428,0.03697772268391807,0.05370278889109234,0.03977193863022829,0.0336897215642056,0.03812390990725475,0.043884464586936185,0.05369777347129153,0.028366125912753806,0.034254981561904534,0.04064776155189772,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,27.16235367845739,22.836367504912815,28.075409327971425,32.06603118353755,28.942416274647645,26.93003390058429,28.42520606998072,30.003443360479714,31.997006255071078,24.52114540634531,28.176039245909546,21.581712765828133,10.225893973363783,10.226031670040737,10.22585444286113,10.225599755995088,10.225811844110835,10.225913582453476,10.225845712049084,10.22575754162304,10.225607344229601,10.225995067646581,10.225904930434522,10.225807082032695,-0.6704217106796793,-0.501404988802348,-0.7267606179721229,-3.1543516388261126,-1.7763013910582672,-0.6704217106796793,-0.7549300716183448,-0.8676078862032323,-1.0647940617267853,-1.121132969019229,-0.6704217106796793,-0.9802857007881197,False,False,False,False,False,False,False,False,False,False,False,False,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631,-0.02252427681657631
249,7.0,5.414462283487636,4.9642828965259875,5.498055045061429,5.106347007932329,5.45819663868586,5.258116926442343,5.367750567039495,5.367750567039495,5.345053377925243,5.258117007370046,3.9244604072605913,4.227492091717583,1.1399943549131075,0.8110058809325222,1.2496528068777095,0.9714853504836167,1.1894546542881141,0.9969630414745124,1.0947660327545783,1.0947660327545783,1.0683809276428815,0.9963802570652749,0.7488895306138103,0.8662175080943931,0.05708597628330496,0.040552344805554974,0.06260778945230344,0.04861133982216656,0.059575854769221434,0.04994311834246117,0.05484306389272765,0.05484306389272765,0.05352115745140992,0.04991392100699062,0.03751498010028203,0.04339288003615087,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.460857299789268,22.07521268576565,27.46043414857282,24.838782844346646,26.974581512249507,24.77009167826829,25.932991626875474,25.932991626875474,25.683798780484146,24.770091678244523,24.93635607734281,17.002940915199,12.451400008754828,12.451677624846564,12.451307429640206,12.45154221860736,12.451358258182685,12.451519343565046,12.451437364009937,12.451437364009937,12.45145948029851,12.45151983206142,12.451727281541059,12.45162893592535,-1.3186905152364952,-0.9243521458214933,-1.4595256471704243,-3.33236493648881,-2.481796564747748,-1.14968835691578,-1.2623564624629235,-1.2623564624629235,-1.2341894360761376,-2.4735385970947146,-0.8680180930479217,-1.2341894360761376,True,True,True,True,True,True,True,True,True,True,True,True,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653,-0.02300730144434653
249,7.5,5.871776307328663,5.263914117785145,5.924862327822484,5.433921608872903,5.8120995791249594,5.394940272519359,5.749206437531308,5.749206437531308,5.515849315800888,5.7906489938398815,3.9690162344782975,4.189466320194104,1.3727401150973004,0.9623058742142063,1.5102878594920182,1.1372241707332482,1.317515209935386,1.0207443626490407,1.2576159570205112,1.2576159570205112,1.0918855985591878,1.2867078227866666,0.8253761731346101,0.9256345738500491,0.059216846099695734,0.04144079006209688,0.06518772568360283,0.04900913382710409,0.05682149383714489,0.04439234028385737,0.054694952158251604,0.054694952158251604,0.04748655220235388,0.05596031503631974,0.03589518952810119,0.04025569633886657,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.77520430646989,21.342466856093665,26.23290593086694,23.911085806900697,25.277235448585355,22.19503521109118,24.770020527318977,24.770020527318977,23.02567563526025,25.102276697240974,23.939553184459708,15.65209379377909,14.622369129177716,14.622689147032133,14.622261868941784,14.622552765146398,14.62241218974324,14.622634655800303,14.622450816160297,14.622450816160297,14.622579442007218,14.622428237521673,14.622786284017794,14.622708471951118,-1.6007138708403177,-1.0937518409917906,-1.7415366569093529,-3.863655424172414,-2.8314914579258765,-1.1782455126332116,-1.4598910847712825,-1.4598910847712825,-1.262739184274633,-3.7412202190896546,-0.9810936121365624,-1.3472328559160542,True,True,True,True,True,True,True,True,True,True,True,True,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229,-0.02349866686712229
249,8.0,6.162366771975654,5.41658116404719,5.473950392466992,5.642206242286818,5.965776636994463,5.16242038793618,5.773829737648007,5.773829737648007,5.4270314304808664,5.992779641642384,3.9256524261430004,4.038080963897532,1.5868450856078655,1.1030163451362602,1.6396612885811723,1.3155469673046392,1.4265007200267117,0.9727744913730285,1.2803115875706574,1.2803115875706574,1.0917618424014806,1.420609272587514,0.8965246269920876,0.9621048107493136,0.05941534186426714,0.04122078653614263,0.06140586343720368,0.0492045131104974,0.05337782565619038,0.0369912603359222,0.04868689066710459,0.04868689066710459,0.04151628708797703,0.05402257747447954,0.03409155773867293,0.03658550166607815,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.049825312930572,20.64542071528329,20.946324237144648,23.307699699084267,23.769435041909635,19.37081273311471,22.61030281541659,22.61030281541659,20.699834304735003,23.939324389065998,23.275021433653013,14.588227015741172,16.718818620102613,16.71916554944321,16.718780691081307,16.7190131561725,16.718933596628588,16.71924657407268,16.71902682751323,16.71902682751323,16.719161553236724,16.718926579660327,16.719301057403516,16.719254197951674,-1.8826934906511774,-1.2631284879534475,-1.601073034879482,-4.435284964028083,-3.1298912526779277,-1.1223182600675996,-1.4884248525708037,-1.4884248525708037,-1.2631284879534475,-5.374787142220202,-1.09415621449043,-1.4321007614164647,True,True,True,True,True,True,True,True,True,True,True,True,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057,-0.023998482557987057
249,8.5,6.319803234135355,5.4458442278778625,6.915737255051698,5.754198292973141,5.934532229383229,4.601539822521585,5.881253746879849,5.881253746879849,5.147300464815123,5.88125421157207,3.8065404991986203,3.8316946172545707,1.7822173018621905,1.2284960452071048,2.5048297148755885,1.4960034373894575,1.4973770751027038,0.8760204087005121,1.436622385048995,1.436622385048995,1.0680198240485506,1.4271573238963697,0.9624250985646412,0.9957890802074912,0.05842008334047867,0.040184501309227724,0.08233540408086586,0.04898464967099391,0.049029884340571275,0.029362954229825572,0.04815523045712726,0.04815523045712726,0.035798932976177956,0.04783793544806496,0.032259291458046846,0.033377680635260525,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.34001088904288,19.990500388817008,28.098755236283164,22.862108090472976,22.29412838474543,16.54660902424811,22.028812049839658,22.028812049839658,18.706264759792898,22.02881204954404,22.77662750949563,13.82482191083075,18.72131274417554,18.72167792040952,18.720835820466355,18.721501502015663,18.721500596109372,18.72189689968885,18.721528213706186,18.721528213706186,18.721770629186594,18.721534438506524,18.72184007470547,18.721818132520323,-2.1646281690336218,-1.4324814050668842,-0.02450685897700365,-5.013754183566515,-3.3709456367558923,-1.01008904123992,-1.6859168233630626,-1.6859168233630626,-1.235364968614301,-5.628245552414728,-1.2072054776925032,-1.516959877832277,True,True,True,True,True,True,True,True,True,True,True,True,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365,-0.02450685897700365
249,9.0,6.346451817161762,5.3590759568008774,7.171065358827151,5.7799283655746585,5.774687877714122,3.5964148835404575,5.6844483793134,5.644475392365627,4.7558884631321945,5.6243724654615335,3.6387952577166285,3.5757049650503197,1.9492123386763345,1.3309357699795301,2.936599545377938,1.6727522417951446,1.5517489314433268,0.6794796909585111,1.4582675837364436,1.4364389679023264,1.044190910608408,1.42014754400172,1.0454243461818997,1.0267115950905241,0.056457760076747715,0.0384605294735377,0.08537497456402045,0.04840005114019503,0.04487854083647077,0.02025422498537598,0.04347058516864211,0.0428198268646736,0.031126336590339653,0.04233414528840729,0.03116310630247076,0.030605264607382703,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,23.66677737995648,19.383045971085046,28.186276336769453,22.55182420577163,21.079637075885728,13.307103529814196,20.699758985064772,20.53363189591049,17.128026571464098,20.450568351198168,22.942763986910723,13.243820261876156,20.611357397947415,20.61173343906606,20.610756509974678,20.61152554435959,20.611599139536192,20.612116215021622,20.61164362741557,20.61165687355537,20.611894899302936,20.61166675959121,20.61189415082396,20.611905506180562,-2.418359786024754,-1.545496112708182,-0.025023907576089462,-5.58033815193768,-3.5870604982017675,-0.7852600101421358,-1.7144374688339703,-1.6862805761463389,-1.207613400456606,-5.374833518226046,-1.3483978638947627,-1.6018098980834448,True,True,True,True,True,True,True,True,True,True,True,True,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462,-0.025023907576089462
249,9.5,6.24573907217595,5.168363780154863,7.301299017913386,5.730158851824673,5.499077075767762,2.2591688704982795,5.408382978570236,5.408382978570236,4.3508278181558735,5.318291020704575,3.4427922521132843,3.322016971001102,2.073636423906209,1.4014422482850828,3.343028959829351,1.8379763264377615,1.5743605405927206,0.4296205022377237,1.4797643085701686,1.4797643085701686,1.0202779509102973,1.4231946834031206,1.057331186655113,1.0370245992667844,0.053670314288486135,0.03618467493288117,0.08692521821053739,0.0475304900789528,0.04067467007346359,0.011498592941510559,0.03960732866745434,0.03960732866745434,0.027308088981495678,0.03809307761091406,0.028299885111325553,0.02775634251349633,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,23.036563508885354,18.82735576647296,28.186241822872162,22.37085270197885,20.042016373278567,9.98454925991616,19.70297166391577,19.70297166391577,16.048180328770684,19.37071790571394,22.195179040171038,12.906681778157719,22.371504627347534,22.371882011843265,22.370791638012832,22.371636932805472,22.371784932343882,22.372414889472566,22.371826439352674,22.371826439352674,22.372083913424913,22.37185813825192,22.372063150572355,22.372074529408007,-2.615740769287296,-1.6303420084512197,-0.025549740803896125,-6.1099786089811055,-3.7544910201838415,-0.504171996067133,-1.7429590096896284,-1.7429590096896284,-1.179874003497585,-5.487474300866717,-1.4051080059744023,-1.6584962587608219,True,True,True,True,True,True,True,True,True,True,True,True,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125,-0.025549740803896125
249,10.0,6.030976127539532,4.893319292887177,7.314773705214492,5.617596121260211,5.162469370671425,0.41666744091905156,5.07782619788002,5.19751338234335,3.893823129282651,4.980808315156038,3.221833086962829,3.0490606855520346,2.147958554622249,1.4365046021562669,3.7026267214435817,1.9868379911449767,1.5773927244181054,0.07597007094718211,1.4795667660527554,1.543765623788138,0.9723277576584503,1.4213699068797863,1.1088160614908151,1.0455549641809154,0.05024585077522329,0.03352047314414737,0.08708538482203607,0.04645087787960011,0.036826025800828444,0.0018444110140619313,0.03592345847626973,0.037482300511676225,0.023607282357640074,0.03451036179027435,0.026921272262470576,0.02538526260326466,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,22.4548357068766,18.326758708383544,28.1862011837738,22.310619340358194,19.24845799256806,5.997499368826241,18.9553853296211,19.370702188207616,15.134470233982544,18.623131842672997,22.44438852256715,12.669168256462552,23.985540911092567,23.985911626149175,23.98473052986956,23.98562486611946,23.98583821442086,23.9866087442159,23.98587857108729,23.985845173829397,23.98614244481612,23.98590884601091,23.98607144144872,23.986104350868857,-2.7567861042186905,-1.687026701949578,-0.02608447211069344,-6.587167877738829,-3.87853523968212,-0.11053916176351808,-1.7433298283847944,-1.827784518037619,-1.1239954375974137,-5.431184609891471,-1.5181173226439288,-1.7151782651671863,True,True,True,True,True,True,True,True,True,True,True,True,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344,-0.02608447211069344
249,10.5,5.726888286287487,4.560547746106655,7.217991754448485,5.457257729345206,4.804841213829927,6.532875771128969,4.785387767496237,4.785387767496237,3.5401458461197093,4.659722618861663,3.0004846588669616,2.8025022997286104,2.171991552596704,1.4377860236290014,3.9950585708854294,2.116552501257655,1.5674012558114825,2.8403994631390623,1.5009049376812966,1.5009049376812966,0.9481780418946397,1.4248791707447859,1.074440356061105,1.0353724266623319,0.04642672026822202,0.030656011573535893,0.08593289926486881,0.04523312861324102,0.03343439978777393,0.06323775107865585,0.033413749674238276,0.033413749674238276,0.021108220396268616,0.03172112996022862,0.02391918577416788,0.02304941708196562,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.926105634357874,17.883739183369492,28.18615470811434,22.35660237512375,18.687890851327627,25.10206633452129,18.623125539650616,18.623125539650616,14.71914840238941,18.20780882256324,21.530673981925275,12.59736750796929,25.43859650378261,25.438954577860162,25.437707122381585,25.438623541700288,25.43889136444239,25.438261850969475,25.438914190250724,25.438914190250724,25.43918337049676,25.4389512151084,25.439121880236286,25.439140906476783,-2.785213637929258,-1.687409235306156,-0.02662821595325775,-7.002979244282919,-3.9625993047509334,-5.628245552414728,-1.7718557278156255,-1.7718557278156255,-1.0962837877398703,-5.571947890741749,-1.5185162502872172,-1.7437068969791356,True,True,True,True,True,True,True,True,True,True,True,True,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775,-0.02662821595325775
249,11.0,5.36767349869209,4.201416009375267,7.030978676681458,5.266600613370777,4.462990973949811,6.21928270935083,4.317920865798864,4.5211648942364455,3.217120975219481,4.343531351990792,2.794124801263024,2.5695630507045175,2.149350840512561,1.4092636609853424,4.204517065873452,2.2226638313073406,1.5510174440455613,2.8399021065667704,1.4137254359428004,1.5220889920603207,0.9239555424258947,1.417353922532413,1.0994546950916793,1.0243992135655533,0.04249219467629717,0.027791316954640943,0.08370618391310321,0.04395246821007239,0.03060138948348342,0.0586260310621312,0.029182833589948172,0.03141986475721208,0.019072383324762864,0.02925773888033742,0.022695213571720482,0.02114583652172378,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.45398850172904,17.500075335981233,28.186103309493053,22.487465730740077,18.348587971006587,24.68675224634615,17.875557354825574,18.54006417281082,14.469959914226104,17.958620706982785,21.94601779154219,12.598410615664655,26.717263811665354,26.717604249636594,26.71631820196956,26.717230087712498,26.71753904355396,26.716938294425177,26.717593489890067,26.717543706919983,26.717818493579777,26.717591822938132,26.717737868050495,26.717772349059842,-2.7573481886422337,-1.659652137788045,-0.027181087799764487,-7.34312852376941,-4.017237998428257,-5.628245552414728,-1.659652137788045,-1.8003824007180693,-1.0685850334819436,-5.318638973968675,-1.6033600326160355,-1.7722363481320644,True,True,True,True,True,True,True,True,True,True,True,True,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487,-0.027181087799764487
