year,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2009,117,6.8,8.693932411,1.233292,22.713378046695002,0.087279161,2.84,-2.275,18.51
2009,117,8.33333333333333,16.13504537,2.2155720000000003,21.548219539665,0.157362463,2.84,-2.65,20.28
2009,117,8.35,15.9872554,2.25085,21.797356193235,0.158324238,2.84,-2.65,20.39
2009,117,9.6,15.70880548,2.6853909999999996,21.19805831472,0.149568289,2.84,-1.9,23.45
2009,117,11.1,14.392771900000001,2.5100079999999996,19.413475805219996,0.123814757,2.84,-2.425,24.72
2009,117,12.1,10.40582182,1.6604010000000002,17.4390210165675,0.079990449,2.84,-2.275,24.81
2009,117,13.1166666666667,10.38241595,1.6032060000000001,17.97365987634,0.081590977,2.84,-2.35,24.92
2009,117,14.15,11.19282768,1.894285,22.030869200550004,0.10933432800000001,2.84,-2.3125,22.77
2009,117,15.166666666666698,5.137917928,1.357972,26.210699699152496,0.06498993900000001,2.84,-2.425,24.94
2009,169,6.33333333333333,6.048801608,0.523481,20.2179112631475,0.051001223,2.84,-2.75,24.89
2009,169,7.41666666666667,7.832191368999999,2.014388,27.219398960355,0.10969784,2.84,-2.8636904760000004,26.11
2009,169,8.46666666666667,9.49568955,1.790645,22.495478998965,0.09510228400000001,2.84,-2.6,26.96
2009,169,11.033333333333301,11.2704529,3.2695809999999996,25.807520927895,0.143343281,2.84,-2.933333333,30.28
2009,169,12.083333333333302,3.156744104,1.269436,24.4814816357475,0.036932617,2.84,-2.775,33.71
2009,169,13.3,4.682105605,1.7434229999999997,21.551782430639996,0.045577516,2.84,-2.6875,34.64
2009,169,14.45,10.15717409,2.688481,16.1509672206225,0.07586420099999999,2.84,-2.933333333,34.57
2009,202,6.6,3.8745870119999997,0.6554719999999999,17.548630703205,0.029236752,2.84,-2.273333333,24.92
2009,202,7.7833333333333306,5.592392822000001,0.942957,23.823655377217502,0.059065419,2.84,-1.505,24.92
2009,202,8.76666666666667,11.8494415,1.229921,16.893969108135,0.088200431,2.84,-1.335,25.1
2009,202,9.8,14.2395741,1.287205,18.636224801145,0.11579173,2.84,-1.65,25.03
2009,202,11.1333333333333,7.784323631,1.01299,17.804602639949998,0.059769094,2.84,-1.6,27.65
2009,202,13.25,10.90518733,1.486015,18.132744483314998,0.086478678,2.84,-1.98,28.21
2009,202,14.6333333333333,12.08957634,1.2525249999999999,17.805710101935,0.093929734,2.84,-1.775,26.12
2009,202,15.716666666666699,12.50616151,1.848073,24.3352591229475,0.142425583,2.84,-1.335,25.87
2009,235,7.35,3.5105192510000003,0.898038,19.315818223064998,0.029333441000000002,2.84,-3.45,29.93
2009,235,8.38333333333333,9.433713286,2.31049,15.41758622292,0.067613537,2.84,-2.555,32.18
2009,235,9.31666666666667,2.339066199,0.762207,18.46798580466,0.019036009,2.84,-2.9,33.99
2009,235,10.4666666666667,3.6006981369999997,1.1946700000000001,20.652268223264997,0.032949789,2.84,-2.81,32.92
2009,235,11.416666666666698,0.342638327,0.785535,34.61634665244,0.017760393,2.84,-3.1,35.18
2009,235,12.95,2.1938706740000002,0.852419,20.848788790305,0.020446548999999998,2.84,-2.9,34.85
2009,235,13.816666666666698,1.59842481,1.356516,30.948300541777503,0.035828925,2.84,-3.4,33.53
2009,275,8.21666666666667,5.696533082999999,0.794636,13.0136781279225,0.035517755,2.84,-3.16,24.14
2009,275,9.21666666666667,1.3012689309999999,0.270785,25.473397687394996,0.015123396,2.84,-3.87,22.59
2009,275,10.4,3.630457688,0.8717410000000001,23.14951041333,0.03721525,2.84,-3.15,25.32
2009,275,12.8,2.876194509,0.821293,26.655982513755,0.037617317000000004,2.84,-3.639,25.02
2009,275,13.8,0.08382987,0.19997499999999999,37.92620206893,0.010075551,2.84,-4.065,24.24
2009,332,9.1,11.66889157,1.3583560000000001,21.362834022705,0.109194065,2.84,-2.25,18.79
2009,332,10.0333333333333,13.41025577,1.65943,23.3272800697125,0.14272459,2.84,-2.5,19.25
2009,332,11.016666666666698,3.643061271,0.708115,30.639867079657503,0.065932436,2.84,-2.5,18.52
2009,332,11.916666666666698,7.631668591,1.416463,22.441086279885003,0.076019664,2.84,-2.19,24.03
2009,332,16.5,8.368846447000001,0.831445,18.5300533757325,0.066007779,2.84,-2.4,19.39
2009,333,11.216666666666699,14.15540399,1.674997,19.598674742325,0.121527575,2.84,-2.4,21.49
2009,333,12.2,7.310835694,0.9406210000000002,19.49267511345,0.060762125,2.84,-2.4,22.03
2009,333,13.283333333333301,8.180132685,1.294,22.568876174249997,0.081572289,2.84,-2.25,22.49
2009,333,14.1166666666667,8.359389217,1.158657,18.8519811189675,0.067889344,2.84,-2.675,22.8
