year,doy,hod,Ps,PPFD,Tair,VPD,Patm,u,CO2,gb,Patm,u,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,height,LAI,max_leaf_width,g1,g1T,Kappa,Lambda,Eta,P50,P88,kmax,kmaxT,kmaxWUE,kmaxCN,kmaxCM,kmaxLC,kmaxS1,kmaxS2,ksc_prev,krlC,krlM,ratiocrit,ksrmaxC,ksrmaxM,sref,srefT,PrefT,PcritC,PcritM,Alpha,Beta,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch
[-],[-],[h],[MPa],[umol m-2 s-1],[deg C],[kPa],[kPa],[m s-1],[Pa],[mol m-2 s-1],[kPa],[m s-1],[Pa],[kPa],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[m2 m-2],[m],[kPa0.5],[-],[umol m-2 s-1],[mol mol-1],[-],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[MPa-1],[MPa-1],[MPa],[MPa],[MPa],[mol m-2 s-1 MPa-2],[mol m-2 s-1 MPa-1],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-]
2009,163,14.45,-0.5,1498,22.58,1.9,98.98,0.0,39.336391500000005,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,163,15.333333333333302,-0.53,1502,22.28,1.88,98.93,0.0,39.5349885,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,185,12.583333333333302,-0.8125,1499,31.96,3.11,97.94,0.0,39.75993,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,185,13.566666666666698,-0.7,1498,30.49,2.51,97.89,0.0,39.83187075,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,185,14.433333333333302,-0.85,1501,30.96,2.19,97.88,0.0,39.67583025,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,186,5.4,-0.7,1499,22.93,2.55,98.01,0.0,39.30092775,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,186,6.2166666666666694,-1.0,1498,23.09,2.71,98.01,0.0,39.54005475,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,204,10.6333333333333,-1.45,1502,25.01,1.81,97.94,0.0,39.97777875,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,204,11.45,-1.5,1504,26.3,2.07,97.96,0.0,39.66569775,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,204,12.433333333333302,-1.2,1501,27.92,2.29,97.96,0.0,39.55829325,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
