year,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2010,124,7.86666666666667,0.17,0.18,34.8558,0.01,5.0,-1.6,16.23
2010,124,8.05,2.78,0.41,17.833199999999998,0.025,5.0,-2.1,16.78
2010,124,8.38333333333333,4.19,0.51,15.705375,0.034,5.0,-2.3,15.5
2010,124,9.41666666666667,0.2,0.23,34.146525,0.01,5.0,-1.6,19.37
2010,124,9.56666666666667,2.57,0.5,17.326575,0.023,5.0,-2.1,20.59
2010,124,9.96666666666667,3.4,0.63,19.657049999999998,0.034,5.0,-2.3,18.6
2010,124,11.3833333333333,1.85,0.54,17.326575,0.016,5.0,-2.1,25.89
2010,124,11.666666666666698,2.31,0.62,17.833199999999998,0.02,5.0,-2.3,24.23
2010,124,12.766666666666698,1.0,0.41,20.06235,0.01,5.0,-2.1,28.41
2010,124,13.1333333333333,2.43,0.8,17.0226,0.021,5.0,-2.3,27.45
2010,124,14.433333333333302,0.55,0.32,22.6968,0.006,5.0,-2.1,30.87
2010,124,14.783333333333301,0.51,0.47,28.269675,0.01,5.0,-2.3,29.62
2010,124,16.1833333333333,0.71,0.44,23.608725,0.009000000000000001,5.0,-2.1,30.63
2010,124,16.5,0.71,0.56,26.3445,0.011000000000000001,5.0,-2.3,30.67
2010,124,17.6166666666667,0.54,0.16,11.95635,0.004,5.0,-2.1,29.35
2010,124,17.9166666666667,0.97,0.47,22.798125,0.011000000000000001,5.0,-2.3,27.9
2010,152,7.5333333333333306,2.51,0.56,17.0226,0.0212,5.0,-2.5,23.37
2010,152,7.7,0.98,0.52,27.864375,0.0171,5.0,-2.1,25.0
2010,152,8.0,2.17,0.55,16.81995,0.0177,5.0,-2.1,25.07
2010,152,8.95,2.11,0.6,17.326575,0.018000000000000002,5.0,-2.5,26.44
2010,152,9.11666666666667,0.49,0.45,30.904125,0.0125,5.0,-2.1,27.01
2010,152,9.4,1.43,0.53,20.6703,0.0143,5.0,-2.1,27.3
2010,152,10.7166666666667,0.94,0.51,21.582225,0.0103,5.0,-2.5,31.58
2010,152,11.483333333333302,-0.11,0.39,38.807475,0.0073,5.0,-2.1,32.51
2010,152,16.0833333333333,0.16,0.26,31.512075,0.0052,5.0,-2.5,31.97
2010,152,16.483333333333302,-0.03,0.26,37.591575,0.0053,5.0,-2.1,31.22
2010,152,17.4,0.32,0.29,28.269675,0.0062,5.0,-2.5,31.25
2010,180,7.85,2.4,0.29,19.961025,0.0225,5.0,-2.3,20.56
2010,180,8.16666666666667,1.77,0.19,18.84645,0.0156,5.0,-2.22,21.39
2010,180,8.4,3.54,0.62,23.608725,0.0416,5.0,-2.55,21.97
2010,180,9.31666666666667,3.13,0.4,14.79345,0.0233,5.0,-2.3,23.74
2010,180,9.46666666666667,1.11,0.25,23.5074,0.0128,5.0,-2.22,24.53
2010,180,9.7,2.61,0.79,26.54715,0.0392,5.0,-2.55,25.18
2010,180,11.0,1.56,0.41,21.27825,0.0159,5.0,-2.3,23.74
2010,180,11.166666666666698,1.09,0.3,20.46765,0.0109,5.0,-2.22,27.17
2010,180,11.3833333333333,1.19,0.68,26.648475,0.0188,5.0,-2.55,29.44
2010,180,12.7,0.87,0.34,20.46765,0.0086,5.0,-2.3,30.19
2010,180,13.1,0.27,0.36,30.802799999999998,0.0076,5.0,-2.55,32.11
2010,180,14.1333333333333,0.11,0.2,31.714724999999998,0.0041,5.0,-2.3,31.68
2010,180,14.316666666666698,0.55,0.26,20.974275,0.0058,5.0,-2.22,31.41
2010,180,14.6,0.24,0.31,29.890875,0.0059,5.0,-2.55,33.31
2010,180,15.766666666666698,0.16,0.15,28.7763,0.0029,5.0,-2.3,32.51
2010,180,16.233333333333302,0.11,0.41,34.0452,0.0075,5.0,-2.55,33.52
2010,180,17.0833333333333,0.1,0.24,33.03195,0.0046,5.0,-2.3,32.72
2010,180,17.283333333333303,0.07,0.23,34.349175,0.0047,5.0,-2.22,31.86
2010,180,17.5,0.14,0.42,33.43725,0.0077,5.0,-2.55,33.54
2010,217,8.1,2.8,0.8,28.97895,0.0675,5.0,-2.25,24.13
2010,217,8.33333333333333,3.8,0.99,26.445825,0.0766,5.0,-2.15,25.58
2010,217,8.66666666666667,2.85,0.86,27.053774999999998,0.0539,5.0,-2.1,25.78
2010,217,9.53333333333333,3.46,1.37,27.9657,0.0877,5.0,-2.25,28.13
2010,217,9.66666666666667,3.27,1.16,26.040525,0.0624,5.0,-2.15,28.47
2010,217,9.95,2.59,0.89,26.243175,0.0456,5.0,-2.1,27.46
2010,217,11.233333333333302,2.44,1.37,26.3445,0.0474,5.0,-2.25,32.19
2010,217,11.3833333333333,1.79,1.41,28.067025,0.0422,5.0,-2.15,33.43
2010,217,11.6333333333333,1.32,1.13,27.661725,0.0273,5.0,-2.1,34.53
2010,217,13.0,1.8,1.87,26.648475,0.0383,5.0,-2.25,37.57
2010,217,13.1333333333333,0.3,1.03,32.829299999999996,0.0199,5.0,-2.15,36.8
2010,217,13.483333333333302,1.29,0.95,25.73655,0.0217,5.0,-2.1,34.18
