year,doy,hod,A,E,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2000,75,9,10.26,6.4,0.64,2.84,-1.05,35.57
2000,75,9,12.75,3.43,1.25,2.84,-1.6,27.7
2000,75,9,8.91,2.46,0.17,2.84,-1.75,33.91
2000,75,9,1.14,1.24,0.28,2.84,-1.25,25.96
2000,75,9,9.12,4.96,0.24,2.84,-1.2,37.57
2000,75,9,11.5,2.2,0.17,2.84,-1.55,30.33
2000,75,9,1.89,1.11,0.23,2.84,-1.5,25.81
2000,75,9,11.22,6.49,0.56,2.84,-0.95,36.13
2000,75,9,9.87,3.14,0.19,2.84,-1.85,35.49
2000,75,9,9.32,4.03,0.27,2.84,-1.9,35.78
2000,75,9,8.64,3.02,0.21,2.84,-1.45,32.33
2000,75,11,8.34,2.92,0.11,2.84,-2.0,36.09
2000,75,11,9.38,3.64,0.18,2.84,-1.8,34.89
2000,75,11,6.62,2.76,0.12,2.84,-1.8,35.86
2000,75,11,8.3,4.98,0.33,2.84,-2.45,36.09
2000,75,11,9.81,6.09,0.67,2.84,-1.4,34.84
2000,75,11,8.45,3.51,0.18,2.84,-1.9,35.63
2000,75,11,5.53,2.48,0.1,2.84,-1.85,36.12
2000,75,11,9.76,6.75,1.59,2.84,-1.15,33.83
2000,75,11,9.28,5.83,0.55,2.84,-2.3,35.52
2000,75,11,7.3,3.71,0.16,2.84,-2.1,37.53
2000,75,11,9.82,6.21,0.79,2.84,-1.5,34.57
2000,75,11,11.81,4.08,0.23,2.84,-2.5,34.56
2000,75,13,5.75,5.02,0.13,2.84,-1.95,42.17
2000,75,13,10.06,6.18,0.32,2.84,-1.45,37.27
2000,75,13,1.82,0.82,0.03,2.84,-1.95,34.56
2000,75,13,7.56,7.55,0.39,2.84,-2.05,39.26
2000,75,13,8.33,7.07,0.44,2.84,-1.15,38.2
2000,75,13,6.86,5.0,0.28,2.84,-1.25,36.99
2000,75,13,5.16,5.83,0.17,2.84,-1.85,41.59
2000,75,13,4.89,3.12,0.08,2.84,-1.55,40.58
2000,75,13,4.06,2.31,0.06,2.84,-1.55,39.06
2000,75,13,10.9,4.61,0.34,2.84,-1.35,34.19
2000,75,13,9.84,7.17,0.38,2.84,-1.65,39.03
2000,75,13,7.53,3.21,0.13,2.84,-1.9,36.63
2000,75,15,2.92,2.0,0.04,2.84,-1.2,40.89
2000,75,15,3.64,4.22,0.09,2.84,-2.25,42.99
2000,75,15,9.07,1.72,0.04,2.84,-1.65,36.15
2000,75,15,8.22,1.8,0.17,2.84,-1.15,30.09
2000,75,15,7.93,4.97,0.23,2.84,-1.65,38.17
2000,75,15,11.41,1.74,0.04,2.84,-1.75,37.41
2000,75,15,1.64,1.68,0.03,2.84,-2.35,45.42
2000,75,15,7.6,2.36,0.48,2.84,-1.35,28.22
2000,75,15,3.38,1.22,0.04,2.84,-1.45,37.12
2000,75,15,1.91,2.7,0.05,2.84,-2.0,44.64
2000,75,15,9.03,2.14,0.05,2.84,-1.5,38.5
2000,75,15,1.76,1.4,0.03,2.84,-1.1,41.39
2000,75,17,4.71,2.52,0.09,2.84,-2.3,36.89
2000,75,17,6.89,2.86,0.23,2.84,-0.9,32.81
2000,75,17,2.58,0.85,0.03,2.84,-1.5,35.99
2000,75,17,4.34,0.91,0.03,2.84,-1.1,36.7
2000,75,17,1.78,1.37,0.06,2.84,-1.15,34.68
2000,75,17,4.79,1.63,0.05,2.84,-1.5,36.69
2000,75,17,1.97,1.05,0.02,2.84,-2.3,40.12
2000,75,17,7.78,4.21,0.22,2.84,-1.1,36.38
2000,75,17,2.6,1.79,0.07,2.84,-1.15,36.71
2000,75,17,7.17,2.25,0.1,2.84,-1.0,34.93
2000,75,17,5.61,2.78,0.09,2.84,-2.15,37.64
2000,75,17,4.75,1.57,0.06,2.84,-1.05,36.01
2001,135,9,5.81,1.2,0.06,2.84,-1.3,31.48
2001,135,9,2.38,1.34,0.04,2.84,-1.55,36.13
2001,135,9,8.06,2.02,0.09,2.84,-1.4,33.66
2001,135,9,4.75,1.78,0.13,2.84,-1.6,30.47
2001,135,9,6.51,2.41,0.11,2.84,-1.45,34.25
2001,135,9,8.07,2.13,0.1,2.84,-0.85,33.3
2001,135,9,4.64,1.95,0.07,2.84,-1.55,35.48
2001,135,9,6.33,2.13,0.08,2.84,-1.1,35.57
2001,135,9,5.59,1.56,0.07,2.84,-0.9,33.51
2001,135,11,8.58,2.41,0.08,2.84,-1.5,36.34
2001,135,11,4.91,3.22,0.09,2.84,-1.95,38.75
2001,135,11,5.6,1.62,0.05,2.84,-1.0,36.33
2001,135,11,4.27,1.77,0.05,2.84,-2.02,38.14
2001,135,11,3.26,1.83,0.06,2.84,-1.4,36.11
2001,135,11,3.43,2.85,0.08,2.84,-1.8,39.32
2001,135,11,5.86,1.8,0.06,2.84,-1.0,36.68
2001,135,11,3.83,2.03,0.04,2.84,-1.95,40.96
2001,135,11,3.84,0.63,0.01,2.84,-1.4,39.29
2001,135,13,2.87,1.47,0.03,2.84,-1.7,40.2
2001,135,13,8.34,3.07,0.14,2.84,-1.9,35.14
2001,135,13,0.98,0.86,0.03,2.84,-1.7,36.92
2001,135,13,3.66,1.22,0.03,2.84,-1.45,39.91
2001,135,13,4.73,2.51,0.07,2.84,-1.6,39.25
2001,135,13,4.05,2.13,0.06,2.84,-1.5,38.13
2001,135,13,4.18,1.6,0.04,2.84,-1.2,39.73
2001,135,13,5.52,2.01,0.06,2.84,-2.05,37.59
2001,135,15,2.15,0.74,0.01,2.84,-1.7,42.56
2001,135,15,2.93,1.84,0.05,2.84,-2.1,38.66
2001,135,15,5.2,1.72,0.07,2.84,-1.65,35.36
2001,135,15,4.81,1.19,0.1,2.84,-1.0,29.69
2001,135,15,3.48,2.19,0.06,2.84,-1.85,39.13
2001,135,15,8.94,2.15,0.1,2.84,-1.42,34.58
2001,135,15,3.33,1.14,0.03,2.84,-1.25,37.16
2001,135,15,1.52,0.6,0.02,2.84,-1.5,34.27
2001,135,15,4.57,1.2,0.04,2.84,-1.2,36.7
2001,135,17,4.55,0.52,0.03,2.84,-1.1,30.98
2001,135,17,3.24,0.59,0.06,2.84,-1.25,27.99
2001,135,17,4.24,1.07,0.06,2.84,-1.9,32.13
2001,135,17,5.57,1.49,0.07,2.84,-1.5,33.52
2001,135,17,3.73,0.51,0.03,2.84,-1.0,31.45
2001,135,17,4.09,0.79,0.06,2.84,-1.0,29.99
2001,135,17,3.83,0.89,0.03,2.84,-1.85,35.38
2001,135,17,0.79,0.34,0.04,2.84,-1.3,27.54
2001,135,17,6.84,0.87,0.06,2.84,-1.2,30.75
