year,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2016,70,7.733333333333333,11.95991301,0.99639737,25.41992453,0.14714938,2.840000033,-2.0,27.42406273
2016,70,7.8,9.476752082,1.0485812970000001,28.51641948,0.148028767,2.840000033,-2.1,27.33954239
2016,70,9.933333333333334,13.244272800000001,1.658090365,26.41819221,0.18852544300000001,2.840000033,-2.45,30.85595512
2016,70,10.183333333333334,9.089214358,0.987840596,25.20645592,0.109254491,2.840000033,-2.0,30.29616547
2016,70,12.033333333333333,10.77229647,1.225418122,21.47890102,0.103980111,2.840000033,-2.25,31.34771919
2016,70,12.2,8.975123592000001,1.165816795,21.96914539,0.08749954,2.840000033,-2.9,31.88391495
2016,70,14.833333333333334,12.50520562,2.270608496,25.78177605,0.165717723,2.840000033,-2.5,31.641532899999998
2016,70,15.25,6.922824147999999,1.5429784169999998,29.76072004,0.12212996400000001,2.840000033,-2.35,30.61951256
2016,70,16.35,8.312213216,1.272983236,24.57532505,0.09473665,2.840000033,-1.7,30.609115600000003
2016,70,16.95,8.106489642,1.5101262819999999,29.60110391,0.14214569,2.840000033,-1.75,29.56001663
2016,70,17.533333333333335,4.04764706,0.5929538010000001,26.74830344,0.053117038,2.840000033,-1.8,27.85667229
2016,70,18.166666666666668,4.195749275,0.649542918,27.38957312,0.05827096,2.840000033,-1.65,27.84710693
2016,112,8.066666666666666,5.372751275,0.6872855859999999,28.88048127,0.08642539,2.840000033,-1.85,26.65286636
2016,112,8.85,11.37377124,1.231423618,26.28505666,0.14489506300000002,2.840000033,-2.25,28.92520142
2016,112,9.583333333333334,11.40027312,1.256398519,26.54249343,0.148180469,2.840000033,-2.0,28.91008377
2016,112,10.716666666666667,6.089402818,0.802310959,30.63179101,0.10700539,2.840000033,-2.0,29.07502937
2016,112,11.216666666666667,9.304754124,0.75707765,23.44871313,0.09383855199999999,2.840000033,-2.25,29.39782333
2016,112,12.583333333333334,12.87009016,1.218543442,24.14982843,0.14733606,2.840000033,-1.95,29.47019768
2016,112,12.7,6.314704997000001,0.755035033,26.8044762,0.081648809,2.840000033,-2.0,29.45699501
2016,112,13.5,7.163541196000001,1.171033818,27.835145,0.100283565,2.840000033,-2.6,30.84327126
2016,112,14.216666666666667,14.10933259,2.296287635,28.43778598,0.23254198899999998,2.840000033,-2.6,30.81296921
2016,112,15.066666666666666,6.60477272,1.596158775,34.67852737,0.220567875,2.840000033,-2.25,28.3281765
2016,112,17.933333333333334,6.226969465,0.545947388,23.41646774,0.063899983,2.840000033,-1.9,28.51534462
2016,145,7.75,6.070475778,0.9337461440000001,34.18148169,0.204936217,2.840000033,-0.6,26.953825
2016,145,10.033333333333333,9.133791358,0.5045892,25.9430554,0.11137271900000001,2.840000033,-1.75,29.16048622
2016,145,10.75,7.262023547,0.33316495100000004,23.12413787,0.071386066,2.840000033,-0.9,28.99611282
2016,145,12.416666666666666,12.99047321,1.5387490869999998,32.18519806,0.326652281,2.840000033,-1.6,29.30674744
2016,145,12.45,10.38769873,1.167548368,31.34852232,0.219272995,2.840000033,-1.8,29.24422836
2016,145,16.85,8.042963309,1.670643972,33.89856852,0.259271235,2.840000033,-1.5,30.09082794
2016,145,17.65,11.69912905,1.7667114990000001,31.67865714,0.282775816,2.840000033,-1.9,30.06306267
