year,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2016,70,7.6,5.9517403479999995,0.433936087,19.76889832,0.04842696,2.840000033,-1.05,27.45395088
2016,70,7.766666666666667,6.663678202000001,0.575488994,23.55292239,0.067854438,2.840000033,-1.4,27.48502922
2016,70,10.5,2.735701277,0.178602622,6.860430195,0.013288686000000001,2.840000033,-1.55,31.68403816
2016,70,10.566666666666666,7.814940636,0.43191282700000005,9.36000416,0.042730322,2.840000033,-1.9,30.609609600000002
2016,70,11.833333333333334,1.571614244,0.154322004,11.13209078,0.008817005,2.840000033,-1.9,32.67289734
2016,70,12.083333333333334,4.874395782,0.74751015,21.73870365,0.044662138,2.840000033,-1.8,32.36811829
2016,70,14.366666666666667,4.430785757,0.470714766,13.81053848,0.027711472999999997,2.840000033,-1.65,31.73343658
2016,70,14.45,3.220543099,0.276978642,6.277104981,0.015401508999999999,2.840000033,-1.55,32.26991272
2016,70,16.816666666666666,1.854712146,0.216859634,21.91866419,0.016556855,2.840000033,-1.45,30.22755241
2016,70,16.85,2.071796097,0.166868249,10.41869266,0.011229998,2.840000033,-1.5,30.97518349
2016,70,17.783333333333335,3.63499474,0.43012759700000003,20.4996341,0.031376727,2.840000033,-1.1,28.90203667
2016,70,17.833333333333332,2.4209162319999997,0.299483122,21.74718056,0.022147965,2.840000033,-1.3,28.78939629
2016,112,7.383333333333333,7.375732896000001,1.040889538,28.12786131,0.11445671800000001,2.840000033,-1.45,27.16251945
2016,112,7.75,4.62756218,0.594842114,25.82986937,0.05676014099999999,2.840000033,-1.05,27.25875854
2016,112,9.1,6.6126652660000005,0.59975247,20.06762728,0.054005682,2.840000033,-1.55,29.36659622
2016,112,9.533333333333333,7.933614096,0.881507087,23.98291295,0.08240302599999999,2.840000033,-1.15,29.5243206
2016,112,10.466666666666667,6.085992712,0.320815423,8.668513017999999,0.031575372000000004,2.840000033,-1.7,30.03792191
2016,112,11.233333333333334,8.964300027,0.577686703,14.40350483,0.058496353,2.840000033,-1.55,30.0369854
2016,112,12.016666666666666,8.469338577,0.773036266,21.04933873,0.076142366,2.840000033,-2.0,29.92721176
2016,112,12.066666666666666,7.340941914,0.5964144379999999,17.08616346,0.053411467000000004,2.840000033,-1.55,30.16928482
2016,112,13.233333333333333,6.883337395,0.590272467,14.03990094,0.043983575999999996,2.840000033,-1.8,31.00228119
2016,112,13.95,8.262113695,0.724782257,15.87554665,0.057551476,2.840000033,-1.9,30.88695335
2016,112,15.25,4.923873193,0.501419313,20.91491377,0.043925374,2.840000033,-1.8,29.35004997
2016,112,15.483333333333334,4.690229396,0.576673925,23.66623853,0.049443254000000006,2.840000033,-1.4,29.46986961
2016,112,16.383333333333333,4.8242305089999995,0.632645039,26.66072242,0.059759185,2.840000033,-1.2,29.09605789
2016,112,16.7,6.011867375,0.507388583,19.02403317,0.046942588,2.840000033,-1.7,29.10821533
2016,112,17.75,7.201923515,0.499437433,17.13080817,0.052873780999999995,2.840000033,-1.65,28.82309723
2016,112,17.783333333333335,7.525103371,0.569481544,20.04122058,0.064031452,2.840000033,-1.35,28.65106392
2016,145,7.466666666666667,5.339218075,0.698424898,31.80448699,0.126346247,2.840000033,-0.8,27.021024699999998
2016,145,8.05,6.654572329,0.722244478,30.3684689,0.133302458,2.840000033,-0.85,27.03756523
2016,145,9.916666666666666,13.36799508,0.662483109,17.73610923,0.103455216,2.840000033,-1.3,30.01041985
2016,145,9.933333333333334,5.613175325,0.44192801200000004,24.26923567,0.058705105,2.840000033,-1.15,30.37040901
2016,145,12.183333333333334,13.12847833,1.219537257,27.93065932,0.198198879,2.840000033,-1.35,29.33512688
2016,145,12.2,12.40957918,1.065102412,26.81315724,0.168307725,2.840000033,-1.35,29.40429497
2016,145,17.0,6.701349104,0.459685922,18.84108114,0.052381740999999996,2.840000033,-1.25,30.27576637
2016,145,17.516666666666666,1.912830026,0.18961087699999998,23.84128198,0.018987247,2.840000033,-1.15,30.57667732
