year,doy,hod,Ps,PPFD,Tair,Tleaf,VPD,Patm,u,CO2,gb,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,height,LAI,max_leaf_width,g1,g1T,Kappa,Lambda,Eta,P50,P88,kmax,kmax2,kmaxT,kmaxWUE,kmaxCN,kmaxCM,kmaxLC,kmaxS1,kmaxS2,krlC,krlM,ratiocrit,sref,srefT,PrefT,PcritC,PcritM,Alpha,Beta,ground_area,Ztop,Zbottom,Psie,hyds,theta_sat,fc,pwp,bch
[-],[-],[h],[MPa],[umol m-2 s-1],[deg C],[deg C],[kPa],[kPa],[m s-1],[Pa],[mol m-2 s-1],[kPa],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[m2 m-2],[m],[kPa0.5],[-],[umol m-2 s-1],[mol mol-1],[mol mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[MPa-1],[MPa-1],[MPa],[MPa],[MPa],[mol m-2 s-1 MPa-2],[mol m-2 s-1 MPa-1],[m2],[m],[m],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-]
2016,44,7.95,-1.125,59.68634415,27.90848923,27.14924622,0.807918383,100.3592834,0,39.97555153,2.840000033,20.8,77.38204143,4.22,25,1.448183257,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.2,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,20.1,1,0.001,2.4942,3.5,5,5,5,2.87,4.3,1,1,1,1,1,1,1,1,1,1,1,0.05,2,0.282850403,-0.4,-2.87,-2.87,5,1,1,0.02,1,-0.001479604,9.31E-06,0.4079013,0.213388,0.1027524,8.636588542
2016,44,8.066666667,-1.125,59.89028549,27.87635422,26.99130058,0.801160887,100.3605499,0,39.95824301,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,8.216666667,-1.125,59.58322144,27.92887497,27.34313393,0.814809961,100.3596115,0,39.92533705,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,11.78333333,-1.125,1800.546021,33.64236069,35.64610672,1.299229966,100.3559341,0,39.89274263,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,11.95,-1.125,1800.51123,33.75984573,35.70587921,1.219302704,100.3503265,0,39.36859559,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,14.75,-1.125,1985.158325,34.58976746,35.94765472,1.924556868,100.0188065,0,40.0467878,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,15.3,-1.125,1984.609619,34.5635643,35.40724945,1.844179538,100.0085754,0,40.1549263,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,17.1,-1.125,800.4083252,32.10263824,32.37614822,1.830271048,100.0251312,0,40.455425,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,44,17.48333333,-1.125,799.8345337,32.12520599,32.32617188,1.711787456,100.0278702,0,40.24622943,2.840000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
