year,doy,hod,A,E,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2000,75,9,7.38,7.2,0.38,2.84,-1.5,39.02
2000,75,9,11.37,7.05,1.34,2.84,-0.9,34.95
2000,75,9,7.69,3.32,0.21,2.84,-1.1,33.23
2000,75,9,8.22,9.08,1.08,2.84,-1.45,37.72
2000,75,9,10.02,7.0,1.17,2.84,-0.65,35.01
2000,75,9,6.67,3.01,0.17,2.84,-1.15,33.64
2000,75,9,9.77,6.49,0.83,2.84,-0.7,35.2
2000,75,9,4.36,2.38,0.21,2.84,-1.25,30.54
2000,75,11,7.69,7.24,0.59,2.84,-1.1,37.01
2000,75,11,7.27,7.35,0.34,2.84,-1.5,40.04
2000,75,11,5.83,5.05,0.24,2.84,-1.75,36.87
2000,75,11,7.75,6.47,0.35,2.84,-1.0,38.16
2000,75,11,7.37,3.93,0.17,2.84,-1.7,36.23
2000,75,11,8.35,8.05,0.61,2.84,-0.95,38.0
2000,75,11,9.58,7.77,0.53,2.84,-1.35,38.71
2000,75,11,6.52,3.6,0.37,2.84,-1.6,31.37
2000,75,11,6.33,8.31,0.62,2.84,-1.4,38.94
2000,75,13,8.52,5.06,0.26,2.84,-1.5,36.74
2000,75,13,3.37,3.74,0.1,2.84,-0.95,41.38
2000,75,13,5.48,4.12,0.17,2.84,-1.55,37.43
2000,75,13,7.01,4.99,0.2,2.84,-1.15,39.39
2000,75,13,3.72,2.36,0.07,2.84,-1.45,38.98
2000,75,13,6.62,5.14,0.15,2.84,-1.35,40.85
2000,75,13,6.04,5.92,0.24,2.84,-1.4,39.29
2000,75,13,4.92,3.33,0.08,2.84,-1.15,42.8
2000,75,13,4.6,4.03,0.1,2.84,-1.4,41.57
2000,75,15,3.83,0.83,0.02,2.84,-1.15,39.58
2000,75,15,5.75,2.92,0.1,2.84,-1.35,37.85
2000,75,15,7.29,3.13,0.2,2.84,-1.5,33.84
2000,75,15,1.72,1.83,0.04,2.84,-1.5,41.68
2000,75,15,3.88,3.78,0.1,2.84,-1.35,40.17
2000,75,15,3.44,0.8,0.01,2.84,-1.1,40.86
2000,75,15,5.0,2.72,0.09,2.84,-1.55,38.09
2000,75,15,3.66,3.25,0.08,2.84,-1.5,39.85
2000,75,15,3.97,1.21,0.02,2.84,-0.95,42.35
2000,75,17,2.82,1.55,0.03,2.84,-0.9,41.4
2000,75,17,3.98,1.42,0.1,2.84,-1.05,31.38
2000,75,17,4.99,1.87,0.09,2.84,-1.15,34.35
2000,75,17,5.77,2.24,0.07,2.84,-1.45,37.1
2000,75,17,5.58,2.13,0.07,2.84,-1.35,37.07
2000,75,17,2.95,1.65,0.04,2.84,-0.8,40.79
2000,75,17,1.46,1.33,0.03,2.84,-1.0,39.83
2000,75,17,2.06,1.08,0.03,2.84,-1.55,38.31
2001,135,9,8.51,3.2,0.26,2.84,-1.3,31.17
2001,135,9,5.19,2.12,0.12,2.84,-1.3,31.99
2001,135,9,5.81,4.6,0.21,2.84,-0.9,36.27
2001,135,9,8.33,2.24,0.17,2.84,-1.05,30.48
2001,135,9,4.49,1.57,0.05,2.84,-0.85,37.07
2001,135,9,0.3,0.61,0.02,2.84,-1.15,37.05
2001,135,9,6.94,2.02,0.12,2.84,-1.2,31.46
2001,135,9,5.98,4.11,0.2,2.84,-1.15,35.48
2001,135,9,10.4,3.75,0.55,2.84,-1.1,29.54
2001,135,9,2.38,1.63,0.04,2.84,-0.95,38.68
2001,135,11,5.03,4.49,0.21,2.84,-1.4,35.85
2001,135,11,6.73,4.4,0.17,2.84,-1.45,37.47
2001,135,11,5.89,5.11,0.23,2.84,-1.1,36.82
2001,135,11,0.36,0.57,0.01,2.84,-1.65,39.84
2001,135,11,10.57,5.0,0.31,2.84,-1.35,34.59
2001,135,11,1.96,1.48,0.03,2.84,-1.4,40.08
2001,135,11,3.0,2.04,0.06,2.84,-1.05,37.97
2001,135,11,8.95,5.43,0.32,2.84,-1.55,35.34
2001,135,11,5.16,3.34,0.11,2.84,-1.375,37.71
2001,135,11,3.53,1.34,0.04,2.84,-1.0,36.48
2001,135,11,5.42,3.46,0.11,2.84,-1.45,38.43
2001,135,13,5.3,1.92,0.1,2.84,-1.3,32.87
2001,135,13,6.03,2.73,0.09,2.84,-1.25,37.19
2001,135,13,5.76,2.55,0.1,2.84,-1.3,35.45
2001,135,13,7.01,2.55,0.1,2.84,-1.35,35.98
2001,135,13,4.35,2.58,0.1,2.84,-1.2,35.78
2001,135,13,6.41,3.04,0.11,2.84,-1.17,37.22
2001,135,13,5.57,2.57,0.13,2.84,-1.3,33.93
2001,135,15,7.92,2.71,0.15,2.84,-1.25,34.11
2001,135,15,3.78,2.09,0.08,2.84,-1.3,35.53
2001,135,15,5.82,1.63,0.08,2.84,-1.15,33.17
2001,135,15,3.34,1.22,0.04,2.84,-1.1,36.93
2001,135,15,4.31,2.52,0.09,2.84,-1.4,37.01
2001,135,15,5.37,1.69,0.09,2.84,-1.1,32.93
2001,135,15,7.89,2.31,0.11,2.84,-1.225,34.28
2001,135,15,2.43,1.44,0.03,2.84,-0.95,40.91
2001,135,15,4.47,2.86,0.09,2.84,-1.3,38.36
2001,135,17,3.23,1.03,0.05,2.84,-1.2,32.7
2001,135,17,3.54,0.87,0.04,2.84,-1.0,34.55
2001,135,17,5.07,0.92,0.05,2.84,-1.15,32.64
2001,135,17,4.33,1.16,0.08,2.84,-1.15,30.61
