year,doy,hod,A,E,Ci,gs,gb,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[mol m-2 s-1],[deg C]
2006,89,9.0,10.9,3.0,23.811374999999998,0.183,2.84,20.32
2006,89,9.0,14.9,4.64,18.137175,0.168,2.84,26.76
2006,89,9.0,9.72,4.45,23.9127,0.16899999999999998,2.84,26.07
2006,89,9.0,14.8,3.94,23.406075,0.245,2.84,20.34
2006,89,9.0,13.3,3.21,21.27825,0.184,2.84,21.04
2006,89,9.0,10.6,2.98,23.406075,0.17300000000000001,2.84,20.86
2006,89,9.0,12.4,3.18,18.2385,0.132,2.84,24.71
2006,89,9.0,15.3,3.79,17.326575,0.156,2.84,24.92
2006,89,11.5,12.2,2.61,10.74045,0.086,2.84,29.04
2006,89,11.5,9.72,2.28,11.855025,0.07200000000000001,2.84,29.36
2006,89,11.5,10.8,2.47,13.17225,0.0858,2.84,28.23
2006,89,11.5,9.24,1.8,9.48402,0.0624,2.84,28.14
2006,89,13.0,6.59,2.38,20.366325,0.0807,2.84,29.29
2006,89,13.0,6.23,1.57,8.9064675,0.0408,2.84,32.49
2006,89,13.0,12.4,2.4,2.7864375,0.0655,2.84,31.92
2006,89,13.0,8.08,1.89,8.369444999999999,0.0518,2.84,31.85
2006,89,13.0,3.25,1.9,25.432575,0.0618,2.84,29.72
2006,306,8.0,10.5,1.87,19.0491,0.115,2.84,23.39
2006,306,8.0,12.1,2.53,20.974275,0.157,2.84,23.93
2006,306,8.0,12.1,2.13,20.6703,0.151,2.84,22.85
2006,306,8.0,8.86,1.69,20.6703,0.106,2.84,23.28
2006,306,8.0,9.87,1.62,21.582225,0.128,2.84,21.27
2006,306,8.0,10.6,1.72,21.27825,0.135,2.84,21.51
2006,306,8.0,7.88,1.76,25.73655,0.14800000000000002,2.84,20.73
2006,306,8.0,15.4,2.77,21.379575,0.214,2.84,22.34
2006,306,8.0,11.5,2.01,21.379575,0.15,2.84,21.85
2006,306,8.0,11.7,1.98,20.46765,0.14300000000000002,2.84,22.11
2006,306,10.0,12.9,3.46,19.758375,0.154,2.84,25.9
2006,306,10.0,10.6,2.89,19.150425,0.121,2.84,26.46
2006,306,10.0,11.0,2.64,18.84645,0.11800000000000001,2.84,25.71
2006,306,10.0,8.57,2.45,22.6968,0.122,2.84,24.56
2006,306,10.0,3.17,2.02,31.208099999999998,0.132,2.84,22.73
2006,306,10.0,7.65,1.71,22.595475,0.10300000000000001,2.84,23.26
2006,306,10.0,10.1,3.03,21.27825,0.135,2.84,25.83
2006,306,10.0,13.0,3.47,19.25175,0.15,2.84,26.16
2006,306,10.0,10.2,2.43,17.731875,0.106,2.84,25.89
2006,306,10.0,9.06,2.08,16.718625,0.0886,2.84,26.1
2006,306,12.0,10.5,2.85,16.921275,0.1,2.84,28.43
2006,306,12.0,9.57,2.62,17.63055,0.0951,2.84,27.99
2006,306,12.0,9.05,2.86,18.745124999999998,0.0966,2.84,28.93
2006,306,12.0,9.74,3.24,19.8597,0.113,2.84,28.69
2006,306,12.0,6.96,2.42,16.00935,0.0652,2.84,31.67
2006,306,12.0,8.81,3.38,16.414649999999998,0.0851,2.84,32.65
2006,306,12.0,9.46,3.24,22.08885,0.129,2.84,27.24
2006,306,12.0,9.94,2.46,14.5908,0.0824,2.84,28.92
2006,306,12.0,9.47,2.12,13.070924999999999,0.0742,2.84,28.38
2006,306,12.0,6.3,2.23,22.2915,0.0862,2.84,27.24
2006,306,14.0,9.49,3.32,19.8597,0.111,2.84,29.26
2006,306,14.0,5.1,1.98,21.176925,0.0641,2.84,29.33
2006,306,14.0,5.86,3.22,25.027275,0.10400000000000001,2.84,29.58
2006,306,14.0,7.04,3.66,23.811374999999998,0.113,2.84,30.29
2006,306,14.0,8.96,2.65,13.476225,0.0727,2.84,31.54
