year,doy,hod,A,E,gs,gb,Pleaf,Tleaf
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[MPa],[deg C]
2000,75,11,5.03,2.68,0.16,2.84,-1.7,34.54
2000,75,11,4.32,2.21,0.09,2.84,-1.3,36.55
2000,75,11,7.34,2.27,0.11,2.84,-1.4,35.55
2000,75,13,4.63,1.05,0.07,2.84,-1.45,32.64
2000,75,13,3.18,1.23,0.03,2.84,-1.5,40.45
2000,75,13,1.16,1.15,0.09,2.84,-1.7,31.57
2000,75,13,1.54,1.28,0.03,2.84,-1.6,41.4
2000,75,13,1.13,1.35,0.03,2.84,-1.8,41.2
2000,75,13,4.31,1.04,0.11,2.84,-1.4,30.12
2000,75,13,6.89,3.32,0.55,2.84,-1.5,30.3
2000,75,15,6.21,1.94,0.1,2.84,-1.05,34.54
2000,75,15,6.24,1.88,0.33,2.84,-1.35,29.63
2000,75,15,4.82,1.31,0.07,2.84,-1.15,33.48
2000,75,15,4.69,1.73,0.07,2.84,-1.25,35.78
2000,75,15,5.84,1.19,0.11,2.84,-1.2,30.82
2000,75,17,0.98,1.17,0.13,2.84,-1.0,29.93
2000,228,11,3.34,1.19,0.08,2.84,-2.05,28.53
2000,228,11,0.27,0.32,0.02,2.84,-1.4,26.7
2000,228,11,1.04,0.48,0.04,2.84,-1.1,26.5
2000,228,11,2.22,1.05,0.06,2.84,-1.75,30.16
2000,228,11,2.31,1.2,0.07,2.84,-1.7,30.11
2000,228,13,2.84,0.73,0.04,2.84,-2.35,31.16
2000,228,13,3.15,0.71,0.04,2.84,-1.85,30.13
2000,228,13,0.6,0.35,0.03,2.84,-2.4,27.62
2000,228,13,2.7,1.0,0.06,2.84,-2.5,30.61
2000,228,13,1.38,0.31,0.03,2.84,-1.95,25.81
2000,228,13,0.44,0.24,0.02,2.84,-2.1,27.65
2000,228,13,0.54,0.18,0.01,2.84,-1.9,27.72
2000,228,13,1.58,0.15,0.01,2.84,-2.4,25.75
2000,228,13,2.01,0.54,0.04,2.84,-2.1,28.4
2000,228,15,0.53,0.63,0.04,2.84,-2.65,28.07
2000,228,15,0.32,0.22,0.02,2.84,-2.35,26.25
2000,228,15,1.26,0.24,0.01,2.84,-2.5,28.68
2000,228,15,1.0,0.34,0.02,2.84,-2.6,28.36
2000,228,17,1.33,0.19,0.01,2.84,-1.8,28.55
2001,135,11,2.4,0.93,0.04,2.84,-0.9,30.56
2001,135,11,1.83,0.36,0.01,2.84,-1.2,29.98
2001,135,11,2.03,0.55,0.02,2.84,-1.15,28.62
2001,135,13,2.19,0.85,0.06,2.84,-1.7,31.21
2001,135,13,0.9,0.61,0.06,2.84,-1.55,28.57
2001,135,13,1.49,1.08,0.09,2.84,-1.6,30.37
2001,135,13,5.17,1.31,0.05,2.84,-1.5,36.43
2001,135,13,5.73,1.55,0.06,2.84,-2.2,35.75
2001,135,13,-0.05,0.89,0.09,2.84,-1.55,29.34
2001,135,13,5.23,1.64,0.06,2.84,-2.15,36.27
2001,135,13,1.42,1.21,0.13,2.84,-1.45,29.91
2001,135,13,0.47,0.67,0.06,2.84,-1.6,29.55
2001,135,15,1.77,0.66,0.04,2.84,-1.9,31.3
2001,135,15,1.36,0.87,0.06,2.84,-1.75,30.9
2001,135,15,1.0,0.6,0.05,2.84,-2.0,29.17
2001,135,15,1.98,0.31,0.03,2.84,-1.0,27.98
2001,135,15,0.18,0.85,0.09,2.84,-1.8,29.02
2001,135,15,0.77,0.64,0.06,2.84,-1.55,29.12
2001,135,15,3.53,0.62,0.04,2.84,-1.8,31.93
2001,135,15,2.68,0.44,0.04,2.84,-0.85,28.5
