,xpe,gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gs(std1),gs(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),A(std1),A(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),E(std1),E(std2)
day,highCa_inter_inter,3.8200466945315545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highCa_wet_wet,4.987695507942588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highD_inter_inter,3.7446536078315376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,highD_wet_wet,5.865277539687489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_dry_inter,5.10340413678632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_dry_wet,7.074618215567321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_inter_inter,6.312098981008271,52.33011935032641,61.117032815411534,83.98493827713014,58.37666677518188,64.14742847368242,61.32059932493535,74.06822792426074,66.29156408091593,18.403222032335094,18.064018579093336,,,20.55639332133304,16.977714639421396,22.075221306859525,29.141189596301352,21.24189072085141,22.847759317439973,22.674075426979286,26.395494711688823,23.50179942824189,-14.752783141872458,-12.282250477211292,,,52.88229067009539,52.32698499876768,61.113130429086674,83.97869930415042,58.37296318118684,64.14326893326361,61.31668804056515,74.0631431648617,66.28714163912348,18.402186467149495,18.062859045165073,,
day,insample_inter_wet,7.462572916853118,71.17153612213919,83.0087288208261,115.84339250662241,88.0553242560738,79.21524274244024,87.92876653674867,101.1057876899536,96.46274560500142,84.02022164932652,84.50818727626276,,,29.440831302485144,22.06481000680913,27.43553438561878,34.94085281195112,27.910404729152642,26.60187287043318,28.936757488877728,31.942255465234364,30.23464958954435,-1.358164917203997,-0.3480593981392833,,,88.77558066818415,71.16674820915323,83.00273150543468,115.8332545260543,88.04866919542391,79.2096446098678,87.92225264550989,101.09774080161911,96.45516678556666,84.01416143091754,84.50197712534124,,
day,insample_wet_inter,5.2862512401894515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day,insample_wet_wet,7.6179937465590974,16.131418145842222,16.355342977676894,2.5425130283253345,6.593034751858721,13.391966068051092,12.211051247420153,6.723723949784429,2.959910776078236,23.55252491394638,15.892269648347163,,,0.2494675236284515,0.04743297023998981,1.1151096015979471,1.8695291123130806,0.3544586695278138,0.6234340440676667,1.0821456617148248,2.1923415156875192,0.7424709087953161,-11.661116629415002,-10.083203896344251,,,-0.4214023713979808,16.13018576067116,16.354015494761427,2.542195199777476,6.592546569174752,13.390930304422675,12.210123563827157,6.723329440920235,2.959480096876606,23.550092742332232,15.89100751487906,,
