doy,hod,A(std1),E(std1),gs(std1),gb(std1),Ci(std1),Tleaf(std1),Pleaf(std1),Rublim(std1),Ps(std1)
200.0,11.0,5.569368454239803,0.6344045593405945,0.0404558434995799,1000.0,19.650194489346116,19.521932677968575,-0.651900572572642,True,-0.0015827627069148452
200.0,11.5,5.50902547158482,0.6450080533229018,0.03947733087549341,1000.0,19.350588204310835,20.18443567910121,-0.6519052179932172,True,-0.001588015199497043
200.0,12.0,5.44661279660406,0.6521769575612137,0.038603066587338586,1000.0,19.105061857711203,20.72664955465601,-0.6519098758702474,True,-0.0015932817763664457
200.0,12.5,5.390197675018518,0.6566662083048525,0.03788362227137061,1000.0,18.915727956586228,21.14437913356487,-0.651914546229208,True,-0.0015985624663274682
200.0,13.0,5.346410521506696,0.659181541702471,0.03735877221462702,1000.0,18.784192994456163,21.434392842439753,-0.6519192290956098,True,-0.0016038572982251232
200.0,13.5,5.320014707542111,0.6602752160036884,0.03705613767026491,1000.0,18.71156103286125,21.5944476648884,-0.6519239244950005,True,-0.0016091663009450653
200.0,14.0,5.313602310396182,0.6602646121287381,0.03699028266448377,1000.0,18.698437397066503,21.62330645818637,-0.6519286324529624,True,-0.001614489503413613
200.0,14.5,5.3273990188202545,0.6591814212573364,0.03716203391447015,1000.0,18.744931145918247,21.520747499875014,-0.6519333529951153,True,-0.0016198269345977822
200.0,15.0,5.359145726609769,0.6567535506921823,0.03755773116064616,1000.0,18.85065555655981,21.28756619411495,-0.651938086147114,True,-0.0016251786235053226
200.0,15.5,5.403993135290685,0.6524141881712245,0.03814791440186135,1000.0,19.014726489404524,20.92556892683384,-0.6519428319346495,True,-0.0016305445991847425
200.0,16.0,5.454237366476078,0.6453167748598201,0.03888416142339854,1000.0,19.23575913661685,20.437559121892704,-0.6519475903834493,True,-0.001635924890725342
200.0,16.5,5.498297835699253,0.6342866209653109,0.03968956622712715,1000.0,19.511864290947607,19.82731562335335,-0.6519523615192765,True,-0.0016413195272572496
200.0,17.0,5.516323574217145,0.6174307434448317,0.04042294323609617,1000.0,19.84064595644382,19.099563631871288,-0.623682779418801,True,-0.0016467285379514474
200.0,17.5,5.456711670169807,0.5897982210192657,0.040695930650801855,1000.0,20.21920350760132,18.25993866215191,-0.5954132645636624,True,-0.0016521519520198038
200.0,18.0,5.063308878430011,0.5261364473681539,0.03852959791673849,1000.0,20.644150344218588,17.314945140417137,-0.5388695058273796,False,-0.0016575897987151109
200.0,18.5,1.8968315761621235,0.18869683173850796,0.014764055289459526,1000.0,21.111775310306598,16.27188952281403,-0.1995830299070888,False,-0.001663042107331104
200.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
200.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001663042107331104
