Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
MES,Richmond_Eucalyptus_cladocalyx,Powell,2,1056.68383,5490.0,krlM,80.0,PcritM,-8.12507634
MES,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,1056.68031,626580.0,krlM,70.2432068,PcritM,-8.10518816
ProfitMax,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,740.444581,33480.0,kmax,3.11700623,,
ProfitMax,Richmond_Eucalyptus_cladocalyx,Powell,3,740.467919,6480.0,kmax,3.03039538,,
ProfitMax,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,739.74218,202230.0,kmax,3.04607958,,
SOX-OPT,Richmond_Eucalyptus_cladocalyx,differential_evolution,3,756.769865,24570.0,kmaxS2,1.76245296,ksc_prev,1.63994084
SOX-OPT,Richmond_Eucalyptus_cladocalyx,Powell,1,756.426471,9990.0,kmaxS2,1.74498047,ksc_prev,1.58861341
SOX-OPT,Richmond_Eucalyptus_cladocalyx,dual_annealing,2,756.561718,368190.0,kmaxS2,1.7448796,ksc_prev,1.5786363
SOX,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,776.034911,11700.0,kmaxS1,1.05288632,,
SOX,Richmond_Eucalyptus_cladocalyx,Powell,2,776.034911,2880.0,kmaxS1,1.05288633,,
SOX,Richmond_Eucalyptus_cladocalyx,dual_annealing,2,776.034911,181530.0,kmaxS1,1.0686055,,
Tuzet,Richmond_Eucalyptus_cladocalyx,differential_evolution,3,1010.65281,55350.0,g1T,8.06706719,PrefT,-8.12999802
Tuzet,Richmond_Eucalyptus_cladocalyx,Powell,2,1010.63044,14040.0,g1T,8.04918061,PrefT,-8.12993852
Tuzet,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,1006.91232,505620.0,g1T,13.6326745,PrefT,-8.13
WUE-LWP,Richmond_Eucalyptus_cladocalyx,differential_evolution,3,854.768339,19080.0,Lambda,7.58857188,,
WUE-LWP,Richmond_Eucalyptus_cladocalyx,Powell,2,854.029085,8010.0,Lambda,7.47200248,,
WUE-LWP,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,853.949091,182070.0,Lambda,7.58491713,,
CAP,Richmond_Eucalyptus_dunnii,differential_evolution,1,1098.58095,113988.0,krlC,25.8464873,PcritC,-8.38099269
CAP,Richmond_Eucalyptus_dunnii,Powell,3,1098.95973,19504.0,krlC,17.6328832,PcritC,-8.42592228
CAP,Richmond_Eucalyptus_dunnii,dual_annealing,2,1098.92582,531484.0,krlC,24.8730274,PcritC,-8.23460882
CGainNet,Richmond_Eucalyptus_dunnii,differential_evolution,2,944.87241,11224.0,beta,13.3580195,,
CGainNet,Richmond_Eucalyptus_dunnii,Powell,3,955.89914,4324.0,beta,12.3216038,,
CGainNet,Richmond_Eucalyptus_dunnii,dual_annealing,1,943.880232,186484.0,beta,12.5103948,,
CMax,Richmond_Eucalyptus_dunnii,differential_evolution,1,979.909313,38916.0,Alpha,22.3837522,Beta,0.40218269
CMax,Richmond_Eucalyptus_dunnii,Powell,3,986.239211,12052.0,Alpha,27.0659773,Beta,1.97546029
CMax,Richmond_Eucalyptus_dunnii,dual_annealing,2,980.097342,370576.0,Alpha,22.321683,Beta,0.22687212
LeastCost,Richmond_Eucalyptus_dunnii,differential_evolution,2,984.126492,49680.0,kmaxLC,1.3230863,BoA,249.847103
LeastCost,Richmond_Eucalyptus_dunnii,Powell,3,984.308179,13248.0,kmaxLC,1.35047991,BoA,249.996202
LeastCost,Richmond_Eucalyptus_dunnii,dual_annealing,1,984.101611,635812.0,kmaxLC,1.28946279,BoA,249.863257
Medlyn-LWP,Richmond_Eucalyptus_dunnii,differential_evolution,2,925.106356,27048.0,sref,0.9352813,g1,11.9588659
Medlyn-LWP,Richmond_Eucalyptus_dunnii,Powell,2,925.106356,10396.0,sref,0.93526034,g1,11.9588208
Medlyn-LWP,Richmond_Eucalyptus_dunnii,dual_annealing,2,925.106356,371404.0,sref,0.93527942,g1,11.9776774
MES,Richmond_Eucalyptus_dunnii,differential_evolution,1,1098.86276,38916.0,krlM,1.46416396,PcritM,-8.43731921
MES,Richmond_Eucalyptus_dunnii,Powell,3,1104.59089,15456.0,krlM,2.72791021,PcritM,-4.99404168
MES,Richmond_Eucalyptus_dunnii,dual_annealing,2,1099.03047,617320.0,krlM,1.56632245,PcritM,-8.09217333
ProfitMax,Richmond_Eucalyptus_dunnii,differential_evolution,2,935.212222,28704.0,kmax,5.64150163,,
ProfitMax,Richmond_Eucalyptus_dunnii,Powell,3,948.960801,8924.0,kmax,5.46939779,,
ProfitMax,Richmond_Eucalyptus_dunnii,dual_annealing,1,934.804847,236532.0,kmax,5.67015324,,
SOX-OPT,Richmond_Eucalyptus_dunnii,differential_evolution,3,927.720048,25116.0,kmaxS2,3.55842102,ksc_prev,1.00210707
SOX-OPT,Richmond_Eucalyptus_dunnii,Powell,2,927.357361,12236.0,kmaxS2,3.55700426,ksc_prev,0.35759847
SOX-OPT,Richmond_Eucalyptus_dunnii,dual_annealing,1,927.332467,373336.0,kmaxS2,3.55425732,ksc_prev,0.35542573
SOX,Richmond_Eucalyptus_dunnii,differential_evolution,2,946.168357,7820.0,kmaxS1,2.45189113,,
SOX,Richmond_Eucalyptus_dunnii,Powell,2,946.168357,3036.0,kmaxS1,2.45189115,,
SOX,Richmond_Eucalyptus_dunnii,dual_annealing,2,946.168357,185748.0,kmaxS1,2.47576978,,
Tuzet,Richmond_Eucalyptus_dunnii,differential_evolution,3,1106.25962,52992.0,g1T,4.5904846,PrefT,-8.42167556
Tuzet,Richmond_Eucalyptus_dunnii,Powell,1,1106.21264,10212.0,g1T,4.58366465,PrefT,-8.43993613
Tuzet,Richmond_Eucalyptus_dunnii,dual_annealing,1,1106.21264,502504.0,g1T,4.58366464,PrefT,-8.44
WUE-LWP,Richmond_Eucalyptus_dunnii,differential_evolution,1,946.455176,15364.0,Lambda,3.86851993,,
WUE-LWP,Richmond_Eucalyptus_dunnii,Powell,3,947.655206,6256.0,Lambda,3.96752613,,
WUE-LWP,Richmond_Eucalyptus_dunnii,dual_annealing,2,946.914224,186116.0,Lambda,3.66801205,,
CAP,Richmond_Eucalyptus_saligna,differential_evolution,2,877.75822,12012.0,krlC,80.0,PcritC,-5.14284799
CAP,Richmond_Eucalyptus_saligna,Powell,1,877.715136,8932.0,krlC,38.7006185,PcritC,-5.15994796
CAP,Richmond_Eucalyptus_saligna,dual_annealing,3,877.758598,450373.0,krlC,25.1156815,PcritC,-5.07545537
CGainNet,Richmond_Eucalyptus_saligna,differential_evolution,3,736.949984,9394.0,beta,14.8037269,,
CGainNet,Richmond_Eucalyptus_saligna,Powell,2,736.334145,4543.0,beta,27.8795128,,
CGainNet,Richmond_Eucalyptus_saligna,dual_annealing,1,728.721391,154539.0,beta,19.8327892,,
CMax,Richmond_Eucalyptus_saligna,differential_evolution,2,787.605623,34881.0,Alpha,28.2184065,Beta,0.1763496
CMax,Richmond_Eucalyptus_saligna,Powell,3,790.340764,7623.0,Alpha,35.8589851,Beta,5.02487228
CMax,Richmond_Eucalyptus_saligna,dual_annealing,1,787.183313,309694.0,Alpha,35.8047029,Beta,0.49849068
LeastCost,Richmond_Eucalyptus_saligna,differential_evolution,3,700.623966,42504.0,kmaxLC,1.93782898,BoA,180.890552
LeastCost,Richmond_Eucalyptus_saligna,Powell,1,700.271004,13783.0,kmaxLC,1.94668158,BoA,176.799091
LeastCost,Richmond_Eucalyptus_saligna,dual_annealing,1,700.271004,396319.0,kmaxLC,1.94668157,BoA,177.45711
Medlyn-LWP,Richmond_Eucalyptus_saligna,differential_evolution,2,732.855134,24717.0,sref,0.87822342,g1,6.19158109
Medlyn-LWP,Richmond_Eucalyptus_saligna,Powell,2,732.855134,8316.0,sref,0.87821974,g1,6.19157847
Medlyn-LWP,Richmond_Eucalyptus_saligna,dual_annealing,2,732.855134,310849.0,sref,0.87822264,g1,6.22077719
MES,Richmond_Eucalyptus_saligna,differential_evolution,3,875.346931,23793.0,krlM,50.1283422,PcritM,-5.15977422
MES,Richmond_Eucalyptus_saligna,Powell,1,875.27833,10780.0,krlM,45.8193497,PcritM,-5.15992175
MES,Richmond_Eucalyptus_saligna,dual_annealing,2,875.313139,498883.0,krlM,62.9403162,PcritM,-5.1559039
ProfitMax,Richmond_Eucalyptus_saligna,differential_evolution,2,734.385943,32109.0,kmax,4.72560886,,
ProfitMax,Richmond_Eucalyptus_saligna,Powell,3,735.401285,6699.0,kmax,4.83649126,,
ProfitMax,Richmond_Eucalyptus_saligna,dual_annealing,1,730.804045,190575.0,kmax,5.27171038,,
SOX-OPT,Richmond_Eucalyptus_saligna,differential_evolution,3,740.852892,21021.0,kmaxS2,2.65375224,ksc_prev,2.65344603
SOX-OPT,Richmond_Eucalyptus_saligna,Powell,2,740.80078,10934.0,kmaxS2,2.62177005,ksc_prev,2.27757127
SOX-OPT,Richmond_Eucalyptus_saligna,dual_annealing,1,740.745079,316162.0,kmaxS2,2.65484283,ksc_prev,2.40363971
SOX,Richmond_Eucalyptus_saligna,differential_evolution,2,745.859578,7546.0,kmaxS1,1.35057322,,
SOX,Richmond_Eucalyptus_saligna,Powell,2,745.859578,2618.0,kmaxS1,1.35057323,,
SOX,Richmond_Eucalyptus_saligna,dual_annealing,2,745.859578,157927.0,kmaxS1,1.36886243,,
Tuzet,Richmond_Eucalyptus_saligna,differential_evolution,2,823.400927,32802.0,g1T,15.0,PrefT,-5.1599614
Tuzet,Richmond_Eucalyptus_saligna,Powell,2,823.400927,6237.0,g1T,15.0,PrefT,-5.1599614
Tuzet,Richmond_Eucalyptus_saligna,dual_annealing,1,823.393345,323554.0,g1T,14.9624555,PrefT,-5.16
WUE-LWP,Richmond_Eucalyptus_saligna,differential_evolution,3,768.704242,9394.0,Lambda,6.49380686,,
WUE-LWP,Richmond_Eucalyptus_saligna,Powell,2,768.405883,4774.0,Lambda,6.67443228,,
WUE-LWP,Richmond_Eucalyptus_saligna,dual_annealing,1,768.298219,155463.0,Lambda,6.68411824,,
CAP,Sevilleta_Juniperus_monosperma,differential_evolution,3,294.610006,5130.0,krlC,79.9167268,PcritC,-11.2519988
CAP,Sevilleta_Juniperus_monosperma,Powell,2,294.562944,4522.0,krlC,80.0,PcritC,-11.4190605
CAP,Sevilleta_Juniperus_monosperma,dual_annealing,1,294.538814,186694.0,krlC,0.28433835,PcritC,-11.217806
CGainNet,Sevilleta_Juniperus_monosperma,differential_evolution,3,231.098206,4636.0,beta,8.63831923,,
CGainNet,Sevilleta_Juniperus_monosperma,Powell,1,230.929561,1976.0,beta,11.8320237,,
CGainNet,Sevilleta_Juniperus_monosperma,dual_annealing,2,231.012134,76950.0,beta,8.37803583,,
CMax,Sevilleta_Juniperus_monosperma,differential_evolution,2,238.204395,20634.0,Alpha,1.78138194,Beta,7.93304218
CMax,Sevilleta_Juniperus_monosperma,Powell,3,239.831065,7068.0,Alpha,1.37423356,Beta,5.1471203
CMax,Sevilleta_Juniperus_monosperma,dual_annealing,1,238.166445,155116.0,Alpha,1.78283896,Beta,7.77621461
LeastCost,Sevilleta_Juniperus_monosperma,differential_evolution,2,233.515526,27132.0,kmaxLC,0.21955468,BoA,30.8998324
LeastCost,Sevilleta_Juniperus_monosperma,Powell,3,240.19788,5168.0,kmaxLC,0.16836486,BoA,239.75459
LeastCost,Sevilleta_Juniperus_monosperma,dual_annealing,1,233.509902,198892.0,kmaxLC,0.22024889,BoA,31.6048394
Medlyn-LWP,Sevilleta_Juniperus_monosperma,differential_evolution,1,227.076381,16872.0,sref,0.41805615,g1,3.28605477
Medlyn-LWP,Sevilleta_Juniperus_monosperma,Powell,3,227.076384,4142.0,sref,0.41801914,g1,3.28551237
Medlyn-LWP,Sevilleta_Juniperus_monosperma,dual_annealing,1,227.076381,154090.0,sref,0.41805627,g1,3.30734679
MES,Sevilleta_Juniperus_monosperma,differential_evolution,2,294.490274,5244.0,krlM,80.0,PcritM,-11.4838509
MES,Sevilleta_Juniperus_monosperma,Powell,3,294.490499,2774.0,krlM,80.0,PcritM,-11.4983047
MES,Sevilleta_Juniperus_monosperma,dual_annealing,1,294.489378,200488.0,krlM,79.9715237,PcritM,-11.4965485
ProfitMax,Sevilleta_Juniperus_monosperma,differential_evolution,3,230.75374,10032.0,kmax,0.31121379,,
ProfitMax,Sevilleta_Juniperus_monosperma,Powell,2,230.589172,2584.0,kmax,0.33510761,,
ProfitMax,Sevilleta_Juniperus_monosperma,dual_annealing,1,230.502402,91010.0,kmax,0.3198522,,
SOX-OPT,Sevilleta_Juniperus_monosperma,differential_evolution,3,238.415779,12654.0,kmaxS2,0.1878487,ksc_prev,0.18602488
SOX-OPT,Sevilleta_Juniperus_monosperma,Powell,2,238.382822,5700.0,kmaxS2,0.19165985,ksc_prev,0.19165669
SOX-OPT,Sevilleta_Juniperus_monosperma,dual_annealing,1,238.353723,155458.0,kmaxS2,0.18783381,ksc_prev,0.18666447
SOX,Sevilleta_Juniperus_monosperma,differential_evolution,2,217.880461,6384.0,kmaxS1,0.03261288,,
SOX,Sevilleta_Juniperus_monosperma,Powell,2,217.880461,2546.0,kmaxS1,0.03953221,,
SOX,Sevilleta_Juniperus_monosperma,dual_annealing,2,217.880461,77102.0,kmaxS1,0.03040635,,
Tuzet,Sevilleta_Juniperus_monosperma,differential_evolution,3,226.628484,29184.0,g1T,2.2168073,PrefT,-8.12166979
Tuzet,Sevilleta_Juniperus_monosperma,Powell,2,226.526176,9538.0,g1T,2.21605173,PrefT,-8.12054363
Tuzet,Sevilleta_Juniperus_monosperma,dual_annealing,1,226.524371,277096.0,g1T,2.21605112,PrefT,-8.09754252
WUE-LWP,Sevilleta_Juniperus_monosperma,differential_evolution,3,274.198568,4066.0,Lambda,9.85752089,,
WUE-LWP,Sevilleta_Juniperus_monosperma,Powell,2,274.187744,2052.0,Lambda,10.3948667,,
WUE-LWP,Sevilleta_Juniperus_monosperma,dual_annealing,1,274.099448,76874.0,Lambda,9.9040846,,
CAP,Sevilleta_Pinus_edulis,differential_evolution,2,369.575218,6678.0,krlC,76.948818,PcritC,-4.20119796
CAP,Sevilleta_Pinus_edulis,Powell,3,369.585331,8056.0,krlC,1.51758962,PcritC,-4.03931378
CAP,Sevilleta_Pinus_edulis,dual_annealing,1,369.431908,247033.0,krlC,9.25316848,PcritC,-4.21843106
CGainNet,Sevilleta_Pinus_edulis,differential_evolution,2,290.315787,8851.0,beta,7.92437313,,
CGainNet,Sevilleta_Pinus_edulis,Powell,1,289.641361,2491.0,beta,27.9240028,,
CGainNet,Sevilleta_Pinus_edulis,dual_annealing,3,290.856516,106583.0,beta,9.96847845,,
CMax,Sevilleta_Pinus_edulis,differential_evolution,2,304.974206,17649.0,Alpha,0.51065741,Beta,7.84009025
CMax,Sevilleta_Pinus_edulis,Powell,3,307.957195,7738.0,Alpha,0.515609,Beta,7.47279486
CMax,Sevilleta_Pinus_edulis,dual_annealing,1,304.381296,213961.0,Alpha,0.52259757,Beta,7.98494146
LeastCost,Sevilleta_Pinus_edulis,differential_evolution,2,290.673278,31800.0,kmaxLC,0.34049248,BoA,20.2490763
LeastCost,Sevilleta_Pinus_edulis,Powell,3,290.700755,10017.0,kmaxLC,0.3322671,BoA,19.9860743
LeastCost,Sevilleta_Pinus_edulis,dual_annealing,1,290.58626,392359.0,kmaxLC,0.3402393,BoA,20.7914772
Medlyn-LWP,Sevilleta_Pinus_edulis,differential_evolution,2,263.942803,24009.0,sref,1.13215424,g1,4.73735481
Medlyn-LWP,Sevilleta_Pinus_edulis,Powell,2,263.942803,7367.0,sref,1.13216063,g1,4.73737505
Medlyn-LWP,Sevilleta_Pinus_edulis,dual_annealing,2,263.942803,215869.0,sref,1.1321548,g1,4.7604166
MES,Sevilleta_Pinus_edulis,differential_evolution,1,369.249379,18921.0,krlM,25.0527857,PcritM,-4.38989857
MES,Sevilleta_Pinus_edulis,Powell,3,369.250063,7049.0,krlM,80.0,PcritM,-4.38882477
MES,Sevilleta_Pinus_edulis,dual_annealing,2,369.249538,296323.0,krlM,35.9428593,PcritM,-4.39
ProfitMax,Sevilleta_Pinus_edulis,differential_evolution,2,289.659928,14787.0,kmax,0.4162351,,
ProfitMax,Sevilleta_Pinus_edulis,Powell,3,289.879814,6890.0,kmax,0.4454078,,
ProfitMax,Sevilleta_Pinus_edulis,dual_annealing,1,289.532047,148135.0,kmax,0.41730943,,
SOX-OPT,Sevilleta_Pinus_edulis,differential_evolution,3,311.972969,17649.0,kmaxS2,0.25150575,ksc_prev,0.20733289
SOX-OPT,Sevilleta_Pinus_edulis,Powell,1,311.883592,12455.0,kmaxS2,0.25814763,ksc_prev,0.20948854
SOX-OPT,Sevilleta_Pinus_edulis,dual_annealing,2,311.910845,216823.0,kmaxS2,0.26030457,ksc_prev,0.20401811
SOX,Sevilleta_Pinus_edulis,differential_evolution,2,432.410886,11342.0,kmaxS1,0.01011548,,
SOX,Sevilleta_Pinus_edulis,Powell,2,432.410886,1166.0,kmaxS1,0.01011548,,
SOX,Sevilleta_Pinus_edulis,dual_annealing,2,432.410886,106265.0,kmaxS1,0.01,,
Tuzet,Sevilleta_Pinus_edulis,differential_evolution,2,294.139996,48336.0,g1T,1.7238524,PrefT,-4.3896404
Tuzet,Sevilleta_Pinus_edulis,Powell,3,311.494542,6413.0,g1T,6.20517637,PrefT,-4.0375379
Tuzet,Sevilleta_Pinus_edulis,dual_annealing,1,294.125936,300298.0,g1T,1.72560705,PrefT,-4.39
WUE-LWP,Sevilleta_Pinus_edulis,differential_evolution,1,321.806331,4876.0,Lambda,1.67559639,,
WUE-LWP,Sevilleta_Pinus_edulis,Powell,3,330.381843,2809.0,Lambda,3.86559651,,
WUE-LWP,Sevilleta_Pinus_edulis,dual_annealing,2,322.052413,107007.0,Lambda,4.04449449,,
CAP,Vic_la_Gardiole_Quercus_ilex,differential_evolution,2,400.812821,54675.0,krlC,21.6447099,PcritC,-5.9198355
CAP,Vic_la_Gardiole_Quercus_ilex,Powell,3,401.614792,5490.0,krlC,80.0,PcritC,-5.92057521
CAP,Vic_la_Gardiole_Quercus_ilex,dual_annealing,1,400.641973,273870.0,krlC,44.4277085,PcritC,-5.92556208
CGainNet,Vic_la_Gardiole_Quercus_ilex,differential_evolution,1,313.428207,5490.0,beta,16.1185067,,
CGainNet,Vic_la_Gardiole_Quercus_ilex,Powell,3,313.923576,1800.0,beta,13.7051128,,
CGainNet,Vic_la_Gardiole_Quercus_ilex,dual_annealing,2,313.621677,90855.0,beta,16.31027,,
CMax,Vic_la_Gardiole_Quercus_ilex,differential_evolution,3,327.100536,17685.0,Alpha,4.61371108,Beta,7.78059899
CMax,Vic_la_Gardiole_Quercus_ilex,Powell,1,326.258071,10170.0,Alpha,3.20907688,Beta,4.97870218
CMax,Vic_la_Gardiole_Quercus_ilex,dual_annealing,2,327.056256,183420.0,Alpha,4.68579295,Beta,7.81609044
LeastCost,Vic_la_Gardiole_Quercus_ilex,differential_evolution,3,309.398509,34155.0,kmaxLC,0.46605325,BoA,10.1179404
LeastCost,Vic_la_Gardiole_Quercus_ilex,Powell,2,309.392587,9180.0,kmaxLC,0.4527696,BoA,10.7694843
LeastCost,Vic_la_Gardiole_Quercus_ilex,dual_annealing,1,309.268522,255375.0,kmaxLC,0.45855915,BoA,10.3892695
Medlyn-LWP,Vic_la_Gardiole_Quercus_ilex,differential_evolution,1,312.157207,21465.0,sref,0.35050725,g1,1.58333834
Medlyn-LWP,Vic_la_Gardiole_Quercus_ilex,Powell,3,312.15721,7785.0,sref,0.35039143,g1,1.58326395
Medlyn-LWP,Vic_la_Gardiole_Quercus_ilex,dual_annealing,1,312.157207,182610.0,sref,0.3505068,g1,1.60135815
MES,Vic_la_Gardiole_Quercus_ilex,differential_evolution,3,397.855474,22005.0,krlM,59.8962461,PcritM,-6.04830483
MES,Vic_la_Gardiole_Quercus_ilex,Powell,1,397.844427,7470.0,krlM,80.0,PcritM,-6.04921938
MES,Vic_la_Gardiole_Quercus_ilex,dual_annealing,2,397.844587,307215.0,krlM,78.5293835,PcritM,-6.05853683
ProfitMax,Vic_la_Gardiole_Quercus_ilex,differential_evolution,2,309.781445,7290.0,kmax,0.64885152,,
ProfitMax,Vic_la_Gardiole_Quercus_ilex,Powell,3,310.096322,4500.0,kmax,0.59579175,,
ProfitMax,Vic_la_Gardiole_Quercus_ilex,dual_annealing,1,309.362158,104985.0,kmax,0.64829776,,
SOX-OPT,Vic_la_Gardiole_Quercus_ilex,differential_evolution,3,318.145156,14985.0,kmaxS2,0.38279731,ksc_prev,0.27832733
SOX-OPT,Vic_la_Gardiole_Quercus_ilex,Powell,2,318.143099,11700.0,kmaxS2,0.37929827,ksc_prev,0.27910793
SOX-OPT,Vic_la_Gardiole_Quercus_ilex,dual_annealing,1,318.13553,185175.0,kmaxS2,0.3828072,ksc_prev,0.27347983
SOX,Vic_la_Gardiole_Quercus_ilex,differential_evolution,2,305.143468,9495.0,kmaxS1,0.06496478,,
SOX,Vic_la_Gardiole_Quercus_ilex,Powell,2,305.143468,1440.0,kmaxS1,0.0754821,,
SOX,Vic_la_Gardiole_Quercus_ilex,dual_annealing,2,305.143468,91215.0,kmaxS1,0.06455778,,
Tuzet,Vic_la_Gardiole_Quercus_ilex,differential_evolution,1,329.058261,48735.0,g1T,7.90661609,PrefT,-5.95634024
Tuzet,Vic_la_Gardiole_Quercus_ilex,Powell,2,329.242748,8865.0,g1T,14.5330331,PrefT,-5.57450173
Tuzet,Vic_la_Gardiole_Quercus_ilex,dual_annealing,3,330.070914,305325.0,g1T,5.15535922,PrefT,-6.05681457
WUE-LWP,Vic_la_Gardiole_Quercus_ilex,differential_evolution,3,353.844838,5490.0,Lambda,12.4241775,,
WUE-LWP,Vic_la_Gardiole_Quercus_ilex,Powell,1,353.618113,4230.0,Lambda,12.2254413,,
WUE-LWP,Vic_la_Gardiole_Quercus_ilex,dual_annealing,2,353.797186,90405.0,Lambda,12.5698129,,
