Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
LeastCost,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,1,1636.71519,728203.0,kmaxLC,15.0,BoA,80.4293302
Medlyn-LWP,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,2,1649.77091,52647.0,sref,0.64899016,g1,6.23143024
Medlyn-LWP,ManyPeaksRange_Alphitonia_excelsa,Powell,2,1649.77091,18032.0,sref,0.64901134,g1,6.23144008
Medlyn-LWP,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,2,1649.77091,652372.0,sref,0.64898938,g1,6.26063742
MES,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,2,1727.40323,42504.0,krlM,64.9665098,PcritM,-9.04995641
MES,ManyPeaksRange_Alphitonia_excelsa,Powell,3,1727.41771,22862.0,krlM,72.1824088,PcritM,-9.04829412
MES,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,1,1727.38927,823354.0,krlM,40.424204,PcritM,-9.05
ProfitMax,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,3,1669.88648,28658.0,kmax,1.45966295,,
ProfitMax,ManyPeaksRange_Alphitonia_excelsa,Powell,2,1669.20032,18676.0,kmax,1.50698989,,
ProfitMax,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,1,1668.93004,433573.0,kmax,1.67226687,,
SOX-OPT,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,3,1679.64167,34293.0,kmaxS2,0.86783721,ksc_prev,0.83897277
SOX-OPT,ManyPeaksRange_Alphitonia_excelsa,Powell,2,1679.61249,24150.0,kmaxS2,0.85059246,ksc_prev,0.81968774
SOX-OPT,ManyPeaksRange_Alphitonia_excelsa,dual_annealing,1,1679.61079,654787.0,kmaxS2,0.86565836,ksc_prev,0.82356101
SOX,ManyPeaksRange_Alphitonia_excelsa,differential_evolution,2,1651.68628,16100.0,kmaxS1,0.63354076,,
SOX,ManyPeaksRange_Alphitonia_excelsa,Powell,2,1651.68628,7567.0,kmaxS1,0.63354081,,
