doy,hod,A(std1),A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std1),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std1),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std1),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std1),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std1),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std1),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std1),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std1),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
197.0,13.5,6.6171060565287565,5.972859339486076,6.9923100813067105,6.777966953825926,6.785401444697359,7.199143438194099,6.432747162826254,6.7165175138303175,6.957192313156315,7.063856570284917,6.857574140276858,5.717907287194222,5.37878387607465,1.2656634154207471,0.9979453876349763,1.4738325255347522,1.4621579722667264,1.3528365547428265,1.6153630780625419,1.1785622827475566,1.317335972991637,1.45333267019424,1.5205009162212177,1.3941993282355396,1.4895124343549921,1.3766058511250894,0.06065603418404299,0.04782511133954716,0.07063322423586885,0.07007367651345757,0.06483406536019064,0.07741667601336373,0.05648149533297709,0.06313258978736713,0.06965069075241957,0.07286999272824253,0.06681651333869787,0.07138474499917927,0.065973286529707,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.19461902403461,21.681671799920956,25.800903886969234,26.16178242682276,24.899905091094258,26.744086398095938,23.447269467460494,24.608412536380953,25.64514742016924,26.12204546701602,25.209718768857805,28.81778415519914,28.589474473617273,24.203659863376075,24.203686720163923,24.203638980383346,24.203640151544672,24.203651118389686,24.203624782400286,24.20366860113894,24.203654679717253,24.203641036876405,24.20363429872975,24.203646968982035,24.203637407414995,24.20364873391466,-1.5107461863632068,-1.1886288890190402,-1.7208226846311416,-5.628245552414728,-3.318188031022139,-1.9028889831300184,-1.356690087633388,-1.5807716857858518,-1.6928124848620836,-0.8104911921367577,-5.572225152876611,-0.7964860922522287,-1.202633988903569,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355,-0.04021069848766355
197.0,14.0,6.5900248756350255,5.964314530053182,6.984132617402485,6.769717218352834,6.774485980505781,7.230503135826717,6.193151529422813,6.664958793409559,6.893071157786898,7.132966086013359,6.850217675672196,5.708213162258975,5.372572913601009,1.2567853903041004,0.9978829813151633,1.4746346207077647,1.4634058750386865,1.3518780304795703,1.646446813707619,1.083213471163346,1.295153517828526,1.4197174990803583,1.5745841436665495,1.3951693499606372,1.4889904234535056,1.3596635733257663,0.060118945828726685,0.047733524713169044,0.07054073785613667,0.07000355423952784,0.06466809596149936,0.07876032304064078,0.05181554045429736,0.061954438218702196,0.06791350764450539,0.07532235592590356,0.0667391316411522,0.07122752086658113,0.06504055181922976,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.11124186961185,21.672030245761402,25.79869909081323,26.165117465170916,24.884028946771767,26.930700425247487,22.53494423264993,24.42180184174419,25.396332695773708,26.474537045946366,25.20972040452541,28.797050418951294,28.423598737294416,24.23463426163605,24.23466025092696,24.234612393368984,24.23461352053941,24.23462471599181,24.234595146418354,24.234651685232524,24.234630410144547,24.234617906091156,24.234602360178336,24.234620370297616,24.234610952296517,24.23462393445896,-1.5112781573783103,-1.1892024768142366,-1.7213275142679234,-5.628245552414728,-3.3203746866911192,-1.945380161616844,-1.245215638651467,-1.553288028756233,-1.6513110619713856,-0.8391202153315481,-5.628245552414728,-0.7971103439536256,-1.1892024768142366,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821,-0.04093265915101821
197.0,14.5,6.5824824521754906,5.980077747092956,6.996301144562774,6.770308874502829,6.781547544798408,7.156739491936045,6.272980368961924,6.7448028977331065,6.906766432914973,7.067561232041354,6.864445845844401,5.714506461910099,5.386238513597309,1.2441842039537767,0.9956503717795168,1.47315228039447,1.455073106859754,1.34659331408895,1.5830314925988755,1.106963056888871,1.3277969639144858,1.4194609271332088,1.5200435800530272,1.3945306042451004,1.5160155401466782,1.375873429623757,0.05991023021042029,0.04794209874075545,0.07093647266342665,0.07006583707657477,0.06484183285699655,0.07622794446576835,0.053302312582439296,0.06393667346709794,0.06835087307933324,0.07319461684079609,0.06715031580037782,0.07300063806337043,0.06625185365416857,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.07052048292672,21.70619904908021,25.859275037502243,26.177449105459587,24.911355111158194,26.59894850437541,22.82523281785091,24.753560062842723,25.458539916544105,26.184254472246028,25.271927602287466,29.108079629662875,28.630949242036507,24.124568613680083,24.124593504571912,24.124545682316683,24.124547492962535,24.124558357313536,24.12453467781254,24.124582356504142,24.12456023978529,24.12455105955508,24.124540986109903,24.124553556349845,24.124541389521802,24.124555424883038,-1.4838149147252995,-1.189784362727063,-1.7218396472953004,-5.628245552414728,-3.3090983968598913,-1.8618541958658892,-1.2737930918694162,-1.5958265535817706,-1.6518323730100062,-0.8117450815864734,-5.614244097557669,-0.8117450815864734,-1.203785817584122,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506,-0.04166506444823506
197.0,15.0,6.5912163050144565,6.016953210494273,7.033873237803161,6.7769220991968515,6.807077531324079,7.202231287530935,6.290897653348725,6.764796072059747,6.868132936851067,7.018598793493341,6.900505209616867,5.730758189600705,5.420729770522235,1.2273887365186846,0.9907361715019688,1.4747474604142243,1.4371253336434044,1.3387300213160538,1.5933402410265718,1.0948243899782077,1.3166313965271677,1.374286321212516,1.4654071898240828,1.3932245185590746,1.4878954602186725,1.3589191152890427,0.059996133912236405,0.048427633723945575,0.07208832907665545,0.07024913945609636,0.06543903889475934,0.07788588964376457,0.053515833020855906,0.06435874482648626,0.06717721889926329,0.07163172129404004,0.06810302104532016,0.07273108206034663,0.06642598772703145,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.07238746902179,21.7840064276547,26.02705442280701,26.202581746744684,25.001125263766713,26.827035575706752,22.845972075731,24.815769118399523,25.271932644475324,25.956177933902048,25.417075584627668,29.025139713913003,28.568750840283347,23.874310305051708,23.87433387913668,23.874285664475444,23.874289412194017,23.874299213817988,23.874273850885814,23.874323510415316,23.874301415166865,23.87429567188623,23.87428659490412,23.87429378536253,23.874284354740794,23.874297202686535,-1.4703664938600358,-1.1763750452753605,-1.7223591640754716,-5.628245552414728,-3.2870533227604453,-1.8763546847626824,-1.2603726020138393,-1.5823632361780073,-1.5963628289677536,-0.7843864471624603,-5.572247181255742,-0.7983860399522067,-1.190374638065107,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903,-0.04240802930589903
197.0,15.5,6.609004668085769,6.068164912456857,7.040368753936696,6.783829283504358,6.8345899605482625,7.229664264024556,6.602881715168529,6.781806967039223,6.922292168562572,7.066440953837145,6.953333798757139,5.752229088771793,5.474781189186623,1.2053023333991926,0.9820926167303161,1.4468639381013253,1.4095388560364701,1.3223257465182112,1.5824237488854098,1.2012700374288912,1.294454396132898,1.3740333038689898,1.465179939835741,1.3928901789031736,1.4597783667284059,1.341963210596639,0.06031027805372295,0.04914078669879899,0.0723984331584862,0.07053059993526008,0.06616628675412811,0.07918222726654506,0.06010849801543917,0.06477155969557058,0.06875382789286331,0.07331501109652963,0.06969746444937298,0.07304470284062907,0.06714897968193052,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.116497037674407,21.905055114135653,26.07926603627533,26.248243498001507,25.11685447993484,27.013656344671357,24.090061921031953,24.87798098489519,25.520757063600136,26.205002567145975,25.665900049167817,29.0251414067717,28.589494456570343,23.485784070889384,23.485806114371155,23.485760215033512,23.48576390113992,23.48577251402926,23.485746827577703,23.48578446910611,23.485775266515187,23.485767407555336,23.48575840620343,23.485765545310326,23.485758939645613,23.485770574695756,-1.4429320662353362,-1.1769756908593882,-1.694890737644129,-5.628245552414728,-3.241787387826923,-1.8628631852499908,-1.3869412503667156,-1.5549136979725773,-1.5969068098740429,-0.7850399797790437,-5.572254736546108,-0.7850399797790437,-1.1769756908593882,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395,-0.043161669519820395
197.0,16.0,6.624091757907043,6.12288258185548,7.048885334109963,6.781844012708282,6.8675341840556765,7.128454962688213,6.361151775949868,6.828251240315206,7.014913320920765,7.1164829725287495,7.01078325948632,5.772414008828924,5.536413365983012,1.1762235930349105,0.9681592150162951,1.4174509603635719,1.3723634714483204,1.3046870831600554,1.4740333457378934,1.0584681155956697,1.283204612808471,1.3962877692057936,1.4649493773851083,1.393527120057926,1.404132661751017,1.3250057756128086,0.060746693536366525,0.050000472986955535,0.07320607028134953,0.07087727712468583,0.06738177893297555,0.07612859883262088,0.054664762528856416,0.0662722112182153,0.07211297848085932,0.075659402766516,0.07197038946449565,0.07251817166706787,0.06843124025009574,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.202224270980864,22.0687104735626,26.231425709047077,26.327539283018517,25.33548791616388,26.640444277854073,23.053337341757768,25.147544280125388,26.059872056278294,26.578240111220595,26.039137334082255,28.879998338932857,28.672447036552775,22.961977327869036,22.96199762482748,22.96195379581662,22.961958194161486,22.961964796083706,22.961948276129228,22.961988815073404,22.961966891727428,22.96195586031423,22.961949162282494,22.96195612961925,22.96195509503447,22.961962813968075,-1.4015175471562344,-1.1495933614123506,-1.653441732900118,-5.628245552414728,-3.1860974170131025,-1.7234206733845303,-1.2195723018967628,-1.5414754281250587,-1.6254501567063533,-0.7857028708934076,-5.6142497643178455,-0.7577112946996428,-1.1635891495092332,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884,-0.04392610175863884
197.0,16.5,6.617970988900634,6.1644394069732975,7.015602454520587,6.7564202865456195,6.8684612967953305,7.038061811094959,6.475191170240357,6.7877307760350645,6.954452894527071,6.95445289427553,7.049268000767547,5.780936036196995,5.603802370148372,1.1376484723912947,0.9467380361877071,1.3683043573091307,1.3258166185648061,1.2735367993805062,1.384785074788714,1.0702952149463663,1.2274908182722506,1.328124634905559,1.3283286995350063,1.3931830115597335,1.3485134602645603,1.3080468767411897,0.061136162665625535,0.05087621182537579,0.073532446618335,0.0712489747069013,0.0684392513469678,0.074418193745816,0.05751642128054649,0.06596457404099043,0.0713730170565298,0.07138398433239582,0.07486953695152003,0.0724687980994533,0.0702939567807661,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.32866006360043,22.27408300175207,26.371422270484718,26.463716155486697,25.583850488857745,26.495320661406083,23.65466163164934,25.16829746429323,26.039156437225625,26.039156437233633,26.557524873827273,28.859269507749584,28.87981545465664,22.306917255037828,22.306935575832966,22.306895120055056,22.306899197407628,22.30690421446105,22.30689353847652,22.306923718619682,22.306908633281747,22.30689897591793,22.306898956334788,22.306892732565213,22.306897019296283,22.306900902687893,-1.3601228626943627,-1.1362213445450977,-1.598018225727957,-5.628245552414728,-3.09735434277905,-1.612012070612286,-1.234178258735401,-1.4720736217689954,-1.5420428461906406,-0.7164059980152259,-5.614251707530398,-0.730399842899555,-1.1502151894294268,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075,-0.04470144356743075
197.0,17.0,6.556533708926484,6.162957967518547,6.929667125910609,6.680545608355599,6.809033177558627,6.916895133816726,6.933447334290858,6.786939847511071,6.916895133816726,6.873270531210983,7.027023381786973,5.754022008399711,5.650032847813527,1.0850917026258404,0.9141249419860938,1.3134644583363113,1.2704693832948784,1.2297461085814168,1.3049968701022405,1.3164495708224324,1.2160834618496321,1.3049968701022405,1.273404006678754,1.3915208459054074,1.2654133471143578,1.2745341949645455,0.06115792337453617,0.05152132840818544,0.07403055718203498,0.07160703479027172,0.06931158045200825,0.07355325983568228,0.07419882083427115,0.06854145886283691,0.07355325983568228,0.0717724515995453,0.07843043041440402,0.07132203987836291,0.07183615727324841,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.49460300359645,22.520006784739078,26.65821783187582,26.707720006921974,25.921186312809006,26.57829020464691,26.681964011708246,25.79036927102584,26.57829020464691,26.3087383062317,27.283272093094688,28.714135939856487,29.02499203896864,21.525640177246057,21.525656241450704,21.525618719117762,21.525622758977217,21.52562658537608,21.525619514740665,21.52561843863366,21.525627869131778,21.525619514740665,21.52562248323712,21.525611384862966,21.525623234047337,21.525622377043522,-1.2907646022807506,-1.094878365823087,-1.5286264608364848,-5.628245552414728,-2.9718828074150974,-1.5146345868037945,-1.5286264608364848,-1.4586670906730335,-1.5146345868037945,-0.6891140188750698,-5.558286182251277,-0.6891140188750698,-1.1228621138884676,True,True,False,True,True,False,False,True,False,False,False,False,True,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304,-0.045487813371318304
197.0,17.5,6.3508298720231915,6.039745130744859,6.661440274403275,6.483866531546798,6.586443023448624,6.611149615909293,6.439136273086999,6.541503227822772,6.611149615909293,6.594688581230798,6.840323770856821,5.642418470220481,5.633468235641379,1.0064941109454866,0.8605030989532398,1.2163933368943831,1.207983220044556,1.1572954451428028,1.176895420977154,1.0579027644093697,1.1254909159134243,1.176895420977154,1.1635341230497918,1.3908235597473961,1.182367109838074,1.2244837537000157,0.05995605322933425,0.051258978786338366,0.07246061158406843,0.07195957956721044,0.06893987174983975,0.07010753151361444,0.06301864488973483,0.06704513771261325,0.07010753151361444,0.0693115378325339,0.0828524059190167,0.07043350548175817,0.07294259802229915,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.69855158569245,22.80501747782433,26.924495826461104,27.21525523585779,26.35059203011451,26.536872441721588,25.292784322309476,26.018502391841345,26.536872441721588,26.412463629702504,28.403004623182742,28.81783673114097,29.253131494682602,20.624153706799472,20.624167064611214,20.624134501546305,20.62413527105092,20.6241399088553,20.624138115506632,20.62414900303651,20.624142818890025,20.624138115506632,20.624139338031906,20.62411854161804,20.62413761486081,20.624133761293443,-1.20744497564364,-1.025576597485336,-1.4033032290448908,-5.628245552414728,-2.7765791109751543,-1.3613336033160512,-1.2214348508865864,-1.3473437280731049,-1.3613336033160512,-0.6338600906828344,-5.544306300957049,-0.6478499659257809,-1.0815360984571216,False,True,False,False,False,False,False,False,False,False,False,False,True,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233,-0.04628533047908233
197.0,18.0,5.677916542204144,5.4788543451997045,5.899522212677397,5.894965558495668,5.895193246944045,5.7383434994843645,5.858770530394365,5.882685363131763,5.8826853634368295,5.858770528893577,5.9960118408842975,5.244742430390389,5.293169081967804,0.8573264579333449,0.7459312062488177,1.0376344921848741,1.1453784089364052,1.0332710161966752,0.8997026669470147,0.9973511682807982,1.0217432735778826,1.0215597834903098,0.9983053783152197,1.1485835787814729,1.0993776551004628,1.14137091212968,0.05437799566258969,0.047312107828361843,0.06581531294617958,0.07264987618990666,0.065538525055005,0.05706598117010631,0.06326003160676821,0.06480728776268704,0.06479564847800835,0.06332055958765354,0.07285319262905735,0.06973187901278127,0.07239566515399512,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,24.938708079449448,23.12734225653053,27.289590950450602,28.641042236968243,27.239786620287987,25.54170100000163,26.827263727267734,27.096817202526804,27.096817202520064,26.827263727302416,28.444584579278555,29.585095367071432,29.916761246966146,19.6093935476295,19.609403409967033,19.609377584124175,19.609368045056236,19.609377970442914,19.60938979586746,19.609381150593403,19.609378991047357,19.609379007292585,19.60938106611277,19.609367761287707,19.609372117716013,19.60936839985849,-1.026243490056593,-0.9003528561319025,-1.1940976686228473,-5.628245552414728,-2.460695093509847,-1.0402313382704476,-1.1521341239812837,-1.2220733650505562,-1.1801098204089928,-0.5506566507855397,-3.1663842667763338,-0.6066080436409578,-1.0122556418427386,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244,-0.047094115086777244
