doy,hod,A(std1),A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std1),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std1),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std1),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std1),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std1),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std1),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std1),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std1),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cmax),Ps(pmax),Ps(cgn),Ps(pmax2),Ps(lcst),Ps(cap),Ps(mes)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
199.0,13.0,7.254327299562801,6.816769915142817,6.123362114081588,6.461637870519532,6.590532594921117,6.89489960749222,6.14186236335294,6.419628469565596,6.682081223555004,6.82520100435132,6.700243014479796,5.582349775347574,5.422179906643921,1.4173043430156602,1.1583526803057258,0.8817162514639086,1.0825296357698782,1.0549852315962165,1.2006559817506568,0.8881183446641902,0.9894168526688449,1.0956160301329743,1.165292585619597,1.1070224050641666,1.1267283863685844,1.193536207216668,0.07937983360001165,0.06483105189304046,0.049313826951505255,0.06057489007035677,0.05902925969250147,0.06721096072152319,0.04967413124057695,0.05535489924431874,0.06131379114517534,0.06522521421857155,0.06195400967842918,0.0630601614394043,0.06681113676487635,23.87326279879009,23.874971047241324,23.87582854436839,23.875474607362975,23.87563251050506,24.213325738908367,24.213325738908367,24.213325738908367,24.213325738908367,24.213325738908367,24.213325738908367,24.213325738908367,24.213325738908367,26.967919675942984,24.78174372105922,21.759985280681917,24.541283516225295,23.745005269532502,25.15347840404932,21.835117867122804,22.996542874717683,24.1579688722266,24.821641804021354,24.24092815687308,27.401688783668952,28.63773642086761,21.662012120053898,21.66308021864423,21.664222990453403,21.663392931149072,21.66350657597968,21.662269583062038,21.663544747833324,21.663131446286684,21.662698149832842,21.662413866986878,21.662651611413928,21.662571210303273,21.66229863199755,-2.3241166855009836,-1.8157891675142535,-1.335702067193453,-5.628245552414728,-3.3685901167074275,-1.9005104205120418,-1.335702067193453,-1.533384990854959,-1.6745870791846063,-0.8838553845385817,-5.51528388175101,-0.09312368989255732,-0.09312368989255732,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979,-0.008402436894768979
199.0,13.5,7.248769317553033,6.807239603243307,6.120338978113977,6.455748539278566,6.558725007120435,6.8435113928154445,6.220271997224057,6.437500324238036,6.4950969552757885,6.645239440774032,6.681992007008696,5.572758798281365,5.402312291655149,1.4251432412532636,1.1643146968212699,0.8895740119311955,1.0907156134916407,1.0516140016325057,1.1850585434378615,0.9235609728248826,1.006202259652837,1.0278989397203435,1.091494584054359,1.109122815266313,1.1266985287845406,1.1935036500851892,0.07907418725607089,0.06455675377397713,0.049289493956720165,0.06046396498893243,0.05829029950119627,0.06571481771556138,0.05117858162026543,0.05577030380089143,0.05697614973184442,0.06051143144750858,0.06149159564716539,0.06246893090612021,0.0661846036289404,23.853963549021344,23.85574286702051,23.856665397397443,23.85624830549226,23.85648929385997,24.196615333203777,24.196615333203777,24.196615333203777,24.196615333203777,24.196615333203777,24.196615333203777,24.196615333203777,24.196615333203777,26.922908275809625,24.734184320060358,21.759979320968103,24.525654714793134,23.606826793719435,24.904537135910623,22.16689659393795,23.07944270947484,23.32831894128452,23.991989420829146,24.15790719309199,27.318646329434827,28.55470380398584,21.816137184156517,21.81721842361653,21.818358959842048,21.817523486497944,21.81768560591577,21.816514381110764,21.817586500517216,21.8172476777619,21.81715872308557,21.816897985961717,21.816825711604675,21.816753652566035,21.816479756839858,-2.324160859718443,-1.8440801778736833,-1.3357594559204087,-5.628245552414728,-3.3711658091899595,-1.8723202179821985,-1.3922395361374391,-1.5616797767885306,-1.5616797767885306,-0.8274387339671341,-5.628245552414728,-0.0931976911457373,-0.0931976911457373,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151,-0.00847757082019151
199.0,14.0,7.2416905584015305,6.801054396318957,6.116921695993195,6.450550421144342,6.55536465055281,6.803821525814264,6.585613482032264,6.433838536789931,6.529289393177742,6.641227887189471,6.677910355188642,5.568652973828412,5.397909770369424,1.4250547682313248,1.1643733916353507,0.8903615820183389,1.0915211651928736,1.0527521122227366,1.1693486305232033,1.0619249202923164,1.0061840042466972,1.0449508555077676,1.0914776289140733,1.1090963841495072,1.1266682463756754,1.1934706231121865,0.07895286570350951,0.06446502052703536,0.04926048547915646,0.060419726826732495,0.058267712833633085,0.06474509168135345,0.0587804873754848,0.05568685949739762,0.05783832800380703,0.06042103664373136,0.06139922259190383,0.062374895918937835,0.06608490985706104,23.846179509413275,23.848050401199828,23.849089590636794,23.848575954990622,23.848827201280034,24.193598588236764,24.193598588236764,24.193598588236764,24.193598588236764,24.193598588236764,24.193598588236764,24.193598588236764,24.193598588236764,26.914798948624366,24.725609614158483,21.75939153836542,24.526930459339898,23.60907100463154,24.738667035369517,23.74315829778254,23.079487146711053,23.494281846792312,23.99203560510211,24.157953693772495,27.318677334126498,28.554758781684594,21.841482320126023,21.842564155685768,21.843702776461697,21.842866460018694,21.843027378597274,21.84195583241491,21.842396644858116,21.842625377317045,21.842466297814177,21.84227537552509,21.842203077086275,21.842130971072592,21.841856847987124,-2.3242053527613487,-1.844131135717695,-1.3358172588479444,-5.628245552414728,-3.3763642214851433,-1.844131135717695,-1.618213857108917,-1.5617345374567224,-1.5899741972828196,-0.8275033819781937,-5.628245552414728,-0.09327222649966499,-0.09327222649966499,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209,-0.008553247021373209
199.0,14.5,7.232652945381964,6.797971657754134,6.113205809622785,6.445908024835247,6.563137371998585,6.811797938856288,6.596641706657352,6.446848248804325,6.541065856916075,6.651501594734416,6.687677834214131,5.569823136016528,5.3948008630261395,1.4169530819068976,1.1584870571324928,0.8840991051136183,1.0849463584959536,1.0511563552121987,1.1693261042830292,1.0619053004496746,1.0061656169565747,1.0449316543439708,1.0914605511918853,1.1090697625929555,1.1266375323549582,1.1934371187211898,0.07901021219772263,0.06455285699531162,0.04922904025750477,0.060443006847430016,0.05855526639191166,0.06516187483385487,0.0591588392541721,0.05604526960718346,0.05821060859582607,0.060810144008087076,0.0617941255682966,0.06277588325793299,0.06650975078162263,23.849773547659037,23.851764014076405,23.852982060667745,23.85233157615202,23.85256374272318,24.204289642994976,24.204289642994976,24.204289642994976,24.204289642994976,24.204289642994976,24.204289642994976,24.204289642994976,24.204289642994976,26.943660413644785,24.75608069276976,21.758809593233877,24.545734449003845,23.67579913440013,24.821790014288304,23.826274620371986,23.162599036770903,23.577396508329862,24.075153592743863,24.24107279009561,27.40178445949927,28.554948128105018,21.73791910733838,21.738988810818693,21.740125662929294,21.739293136820454,21.739433007172828,21.738399505957645,21.738838944020134,21.739066964456065,21.738908379975665,21.73871803911476,21.73864600318258,21.738574136780255,21.738300872386763,-2.32425016638288,-1.815943183916442,-1.3358754782536948,-5.628245552414728,-3.374588554335311,-1.844182460720133,-1.6182682462906048,-1.5617896926832229,-1.5900289694869139,-0.8275684957872569,-5.628245552414728,-0.0933472988912908,-0.0933472988912908,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178,-0.0086294684802178
199.0,15.0,7.218518031228447,6.795139384378148,6.107249218757803,6.440022288155212,6.5624514899095345,6.862285135947622,6.583186961324042,6.473229608267234,6.528570401426595,6.672605898744689,6.707812115983447,5.573731134386413,5.4196332008736325,1.4004185421846218,1.1463107536151353,0.8706919946698296,1.071054375656219,1.0393848960535412,1.1849897156667615,1.0449123147021135,1.0061470970528112,1.0278425876524222,1.091443350208097,1.108018934174459,1.1266063798232278,1.1934031292101308,0.07921195630596399,0.06479381113108222,0.049179506195410574,0.0605275658976839,0.058732837391213696,0.06698952654816726,0.05904846648172945,0.05685190262362144,0.0580811835872614,0.061685671511962255,0.06262527298518408,0.0636790182043189,0.0674666777433619,23.864450941272462,23.866601291247438,23.868077852803804,23.867236795098307,23.867474897577694,24.228638336511974,24.228638336511974,24.228638336511974,24.228638336511974,24.228638336511974,24.228638336511974,24.228638336511974,24.228638336511974,27.009267079034394,24.825393822105678,21.758239333385266,24.584977811502416,23.731596746040843,25.15392493715748,23.826555411855953,23.328792998463154,23.577674343042265,24.241358462527344,24.40727957496518,27.56797791908934,28.721206311367045,21.50634354047414,21.507388207764414,21.50852231631333,21.507697561923486,21.507827780724515,21.50674058773578,21.50730953545881,21.5074669868547,21.507378867001734,21.507120541898683,21.507053217400294,21.50697772139019,21.50670641525367,-2.2960564113166,-1.8159952638702597,-1.307695225397664,-5.628245552414728,-3.3396861862026292,-1.8724730459227703,-1.5900841356602171,-1.5618452446339617,-1.5618452446339617,-0.8276340779513233,-5.571767770362217,-0.09342291126868486,-0.09342291126868486,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895,-0.008706238189918895
199.0,15.5,7.193135399281411,6.7868471423882575,6.161725584980989,6.429249052345365,6.5811016051983975,6.830579928642841,6.714508588054657,6.594478592318743,6.714508588054657,6.781317649979897,6.731331799534164,5.586187265635923,5.453919709488535,1.3746734796617759,1.1271854951227462,0.8717409337295677,1.0499835045084467,1.0310271374575453,1.1534832971158795,1.095513723096722,1.0394519933892168,1.095513723096722,1.1283545970078728,1.103758576931439,1.1265747817674452,1.1933686467493867,0.07949057328649217,0.06513471051323838,0.05033948105454624,0.06066053454473685,0.05956229380215474,0.06666066897076817,0.06330053053241101,0.060051990874730656,0.06330053053241101,0.06520398253380442,0.06377836886085402,0.0651008159561376,0.0689731951449376,23.889703369250423,23.892075793309306,23.893721173550805,23.892810358570806,23.89296140934997,24.266529841603187,24.266529841603187,24.266529841603187,24.266529841603187,24.266529841603187,24.266529841603187,24.266529841603187,24.266529841603187,27.111099566090914,24.933079160249452,22.041015505259264,24.650456660712788,23.929235651970817,25.15437410091565,24.57363959296965,23.992905402192115,24.57363959296965,24.905487840236642,24.656601651430968,27.900262515868135,28.970606501114574,21.14866876361078,21.149675294315305,21.15071493825159,21.14998923999144,21.15006635834824,21.14914454187703,21.14937732533128,21.149602447618506,21.14937732533128,21.149245449046195,21.149344217177774,21.149252596097845,21.148984377694028,-2.2396252549716658,-1.7595707128338987,-1.3077546731748237,-5.628245552414728,-3.303050419974484,-1.816047717791283,-1.674855205397822,-1.6183782004404377,-1.674855205397822,-0.855938633515749,-5.374099030106499,-0.09349906659106004,-0.09349906659106004,True,True,True,True,True,True,True,True,True,True,True,True,True,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349,-0.00878355915498349
