doy,hod,A(std1),A(std2),A(tuz),A(sox1),A(sox2),A(wue),A(cgn),A(pmax),A(cmax),A(lcst),A(cap),A(mes),E(std1),E(std2),E(tuz),E(sox1),E(sox2),E(wue),E(cgn),E(pmax),E(cmax),E(lcst),E(cap),E(mes),gs(std1),gs(std2),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cgn),gs(pmax),gs(cmax),gs(lcst),gs(cap),gs(mes),gb(std1),gb(std2),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cgn),gb(pmax),gb(cmax),gb(lcst),gb(cap),gb(mes),Ci(std1),Ci(std2),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cgn),Ci(pmax),Ci(cmax),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std1),Tleaf(std2),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cgn),Tleaf(pmax),Tleaf(cmax),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std1),Pleaf(std2),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cgn),Pleaf(pmax),Pleaf(cmax),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std1),Rublim(std2),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cgn),Rublim(pmax),Rublim(cmax),Rublim(lcst),Rublim(cap),Rublim(mes),Ps(std1),Ps(std2),Ps(tuz),Ps(sox1),Ps(sox2),Ps(wue),Ps(cgn),Ps(pmax),Ps(cmax),Ps(lcst),Ps(cap),Ps(mes)
256,12.0,7.073390931716906,6.228645390366239,6.6187301171903075,6.751875273063347,6.956179571295833,6.928586607600471,6.994813158252522,6.80988982060392,6.634116798588411,7.091980965825644,5.736406916270324,5.6055286553044885,1.6655882066470222,1.1621812662495246,1.5840844434812649,1.554928628938863,1.575526821799222,1.3292283379118282,1.3777480591290219,1.2639394249047835,1.1678862446488472,1.435930444198358,1.3627970169498618,1.328407126885878,0.0764641927613605,0.05310087528033592,0.07266670669507933,0.07130937813472911,0.07226807952271505,0.07198610436063083,0.0746141329351883,0.06844982925155935,0.06324734216271644,0.07776556655006671,0.07380431986711893,0.071941624408405,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.83311455517223,22.889249502584782,24.615674998636393,26.486634234082302,26.23658965692237,26.09885218070079,26.431105885160644,25.51740819901025,24.686773939574703,26.929486441210138,29.089354255363332,20.381524859940928,22.175824774954375,22.176118588197614,22.175872333360243,22.175889361575702,22.175877339416694,22.176001054593623,22.17597278820479,22.176039090298598,22.17609504850433,22.175938892587123,22.17598149831196,22.176001533010844,-1.952905935294123,-1.3309253847044822,-1.7550030328337827,-5.181705947158495,-3.040266242404523,-1.5288282871648224,-1.5853719735820626,-1.4440127575389623,-1.3309253847044822,-5.571701865997488,-0.7654885205320815,-1.104750639035522,True,True,True,True,True,True,True,True,True,True,True,True,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429,-0.002148753899340429
256,12.5,7.053927142800405,6.182073130922706,6.409792923315643,6.741856069095151,6.907731875539305,6.830017177977776,6.933869859035218,6.741462243302763,6.558860654535083,7.035095513909738,5.705748015387749,5.549017184974734,1.7021264013199564,1.1841014333291386,1.5946896752341715,1.600696497927746,1.5916230921685464,1.3065191833394123,1.377745832522455,1.2639374387745512,1.1678844516034685,1.435226656622352,1.3627703816483072,1.3283890895666453,0.07552643336841856,0.05227499693844252,0.07068507218502096,0.0709551777300263,0.07054669936586452,0.0686811948581439,0.072425968676225,0.06644246605394465,0.06139256613466712,0.07544808909660729,0.07163862294609627,0.06983100944139656,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.69139733287354,22.736180747910044,23.699876988647635,26.433908742165997,25.972216117959093,25.60046493445298,26.098845360064722,25.18514791399227,24.354513872777353,26.597225785131762,28.757092161114702,20.249097912270308,22.665814518353603,22.66611068319042,22.66587592720383,22.665872507968956,22.66587769542331,22.666022023494552,22.66598137403339,22.666046325142762,22.666101143138782,22.665948569394207,22.665989920609928,22.666009542212418,-2.0094539472315818,-1.3592023306752352,-1.7267358530766486,-5.3283907110479225,-3.081261086175389,-1.5005613777527018,-1.585376805999182,-1.4440177589217154,-1.330930521259742,-5.543430124168248,-0.7654943329498756,-1.1047560459357952,True,True,True,True,True,True,True,True,True,True,True,True,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146,-0.0021554787315557146
256,13.0,7.032291359811105,6.142769068019191,6.123503000413944,6.728792281204024,6.877968276522219,6.735382324380824,6.807355066785626,6.807355066785626,6.493374087940442,6.982157848390907,5.679569167951608,5.505212021005004,1.741928335413414,1.2098206386478545,1.5881752027625973,1.6475895570527634,1.625024212126592,1.2836916163456102,1.3325821631559742,1.3325821631559742,1.1678826540202953,1.4321509429085235,1.4132155399460322,1.3624317187472517,0.07479883477436954,0.051651205123889356,0.06808332622470237,0.07067541392519526,0.06969036535549013,0.0661041509979791,0.06862212338659865,0.06862212338659865,0.06013982922989749,0.07375021435061023,0.07277497638571269,0.07015945432822934,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.59288961485776,22.630035453248173,22.551649866359032,26.403483160682562,25.848759821718787,25.185144287275012,25.51739785623443,25.51739785623443,24.105320190426298,26.348031777817006,29.006289067078534,20.1627985942879,23.006370623302324,23.006671748126763,23.006457615457926,23.00642401070112,23.006436780680744,23.00661246932751,23.006584849879175,23.006584849879175,23.006677892601758,23.006528601075512,23.006539298141057,23.006567987145733,-2.0660018347643883,-1.3874792218786094,-1.670196977247684,-5.478681678439848,-3.12300507216957,-1.4722945484893317,-1.5288380995631468,-1.5288380995631468,-1.3309356708047946,-5.4303431236563755,-0.7937719356035529,-1.1330332420464424,True,True,True,True,True,True,True,True,True,True,True,True,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415,-0.00216222057014415
256,13.5,7.015310795120661,6.1174834537906815,6.112535866233632,6.717366573602733,6.842355340889691,6.691172396948316,6.889019866134738,6.818105176399728,6.465194626402063,6.958757852840319,5.6554242848086655,5.479926043206321,1.7331278736420745,1.2023712969779894,1.586781259845497,1.6449211503670418,1.6045909937890235,1.283689577350901,1.400133029088949,1.3552228014813328,1.1678808518905552,1.4344936221631321,1.4131875228231914,1.362412958645873,0.07434832670583814,0.0512802672272786,0.06796134430524012,0.07049597828522558,0.06873708371401555,0.06535901487575334,0.0712885531807108,0.0690016164673153,0.059461934013707994,0.07303829091311852,0.071953323195889,0.0693677551785515,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.53859960790554,22.57162780264966,22.551608187017628,26.39071745273821,25.71344775500242,25.019016481005412,25.932713757297385,25.600460202122743,24.02225581686391,26.26496731203649,28.840159775722988,20.12166122980473,23.19418163247247,23.19447931724981,23.194263696543157,23.194231105045787,23.194253725033665,23.194417619900086,23.19435242344175,23.194377568589367,23.194482460976438,23.19433318501364,23.194345114256524,23.19437354283459,-2.0660061142548325,-1.3592125749373927,-1.6702017322370661,-5.4701295082535735,-3.132131816854133,-1.472299541228183,-1.6136582490916709,-1.5571147659462758,-1.330940833364695,-5.515158586123937,-0.793777743483441,-1.133038642355812,True,True,True,True,True,True,True,True,True,True,True,True,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465,-0.0021689794479086465
256,14.0,7.006533493633881,6.109846974441622,6.18403077518538,6.709954395753337,6.836586610071981,6.685153672953557,6.882539195708229,6.811800024958432,6.459605375323212,6.952093151961598,5.651052719742297,5.475956911895002,1.717140514511829,1.1916485689969467,1.5870177144924351,1.631333245817835,1.5917782416090187,1.2836875332023387,1.4001307365716174,1.3552206067594743,1.167879045205465,1.4352175054502834,1.413159306053568,1.3623940671005639,0.07420808767238618,0.05118855847910935,0.06848252731352548,0.07043021932776959,0.06869122833625171,0.06522888293993565,0.07114661122476361,0.06886422958433679,0.05934354681496968,0.07292977311566909,0.07180874109734224,0.06922879127718207,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,26.529050330345413,22.56136151628905,22.863403569266122,26.393307407492596,25.71623723787807,25.019017907871383,25.932715236451493,25.600461662263886,24.02225718668313,26.264968810239463,28.840160583735543,20.12393649967193,23.22749045235274,23.22778520446424,23.22756342368922,23.227538582439053,23.227560769184677,23.22771883219805,23.227653632881257,23.227678779130212,23.227783676122623,23.22763398696554,23.227646337875587,23.22767476253929,-2.037738697031999,-1.3592177164872312,-1.6984782067596151,-5.4265806471292635,-3.139474900213651,-1.4723045465780258,-1.6136630841915192,-1.5571196691461218,-1.3309460089645326,-5.543430429846632,-0.7937835660332582,-1.1330440563056419,True,True,True,True,True,True,True,True,True,True,True,True,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237,-0.0021757553976957237
