site_spp,doy_x,hod_x,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),doy_y,hod_y,Ps,PPFD,Tair,VPD,Patm,CO2,gb_x,Ps_pd,doy,hod,A,E,Ci,gs,gb_y,Tleaf,Pleaf
Corrigin_Eucalyptus_capillosa,89,9.0,12.51140811,9.305018136000001,11.331370800000002,12.05502234,11.94558954,12.90530097,12.08540229,12.18325286,12.14545233,12.181267800000002,5.526093098,7.3761010460000005,2.653813967,1.343911204,2.1747401330000002,2.3735113759999997,2.314231264,2.941266769,2.390491823,2.446873005,2.4251496930000003,2.445830476,2.228626325,2.623739995,0.160480785,0.07890542099999999,0.130080004,0.142618734,0.13887607,0.17905883600000003,0.143701784,0.147280346,0.145900459,0.147214092,0.13347896,0.158566238,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,22.14395154,16.10143424,20.78229616,21.15451763,20.92559972,23.0490083,21.21862799,21.42672095,21.34603184,21.42247416,28.15455205,27.27439719,21.04406958,21.06693339,21.05243162,21.04896215,21.04999686,21.03905221,21.04866576,21.04768165,21.04806082,21.04769985,21.05149106,21.04459451,-3.936132999,-3.564055207,-4.536258469,-3.8281104139999997,-3.846114178,-4.068160602,-3.864117942,-3.8821217060000004,-3.768097867,-5.688499372000001,-3.600062735,-4.038154329,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.3,1700.0,20.87,1.7,98.83,34.83654825,2.84,-3.3,89,9.0,10.9,3.0,23.811375,0.183,2.84,20.32,
Corrigin_Eucalyptus_capillosa,89,9.0,10.00029603,6.582069717,9.549397523,9.827572494,9.263635318,9.095230403,9.747821477999999,9.451443993,9.862580497,9.547293704,4.82928276,5.475509856,3.110162621,1.509920688,3.032404896,2.996379843,2.662759878,2.570395684,2.945775634,2.768303141,3.018137766,2.825098137,3.037820205,2.9512972260000003,0.11021698699999999,0.052331114000000005,0.107333085,0.106001829,0.09377403599999999,0.090404514,0.10415307300000001,0.09763500800000001,0.10682005900000001,0.099717401,0.107546415,0.104356387,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,19.9247965,14.66562192,20.22511971,19.64000754,18.72149911,18.45261558,19.50713722,19.02399209,19.69619287,19.17943905,27.28840202,26.08682319,27.36952921,27.40279556,27.37114566,27.37189456,27.37882996,27.38075006,27.37294654,27.37663589,27.37144225,27.37545522,27.37103308,27.37283175,-4.068160602,-3.600062735,-5.406440401,-3.9901442910000005,-3.9421342530000003,-3.954136763,-4.020150565,-3.972140527,-3.90012547,-6.894751567999999,-3.7200878289999997,-4.152178168,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.3,2092.0,27.11,2.84,98.76,34.4768445,2.84,-3.3,89,9.0,14.9,4.64,18.137175,0.168,2.84,26.76,
Corrigin_Eucalyptus_capillosa,89,9.0,5.725820452000001,4.980867541,6.45125896,6.053284049,5.126784835,6.179914233,6.097320205,5.341997602,6.07829668,6.217320545,4.467222779,4.103242218,1.672945675,1.191926835,2.7597214039999995,1.997615446,1.26788404,2.156427015,2.050112987,1.3934681569999998,2.027599604,2.208043385,2.71962156,2.498154721,0.062687908,0.044347477999999996,0.10510403900000001,0.075218495,0.047226349,0.081387828,0.077252788,0.052000292999999996,0.076378819,0.083400159,0.10351367800000001,0.094768478,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.57125619,17.35503612,25.18236808,22.24132198,17.92957719,22.93849843,22.48079192,18.82341772,22.37715999,23.15007923,28.102913399999995,28.09858914,26.76987017,26.77980266,26.74742949,26.76316611,26.77823423,26.75988683,26.7620821,26.77564107,26.76254697,26.75882102,26.74825751,26.75283055,-3.678079046,-3.5340489330000002,-5.0763713930000005,-3.744092848,-3.5820589710000004,-3.834111669,-3.774099122,-3.612065245,-3.6840803010000003,-5.250407779,-3.672077792,-3.996145546,False,False,False,False,False,False,False,False,False,False,False,False,89,9.0,-3.3,268.0,26.8,2.7,98.76,35.0037345,2.84,-3.3,89,9.0,9.72,4.45,23.9127,0.16899999999999998,2.84,26.07,
Corrigin_Eucalyptus_capillosa,89,9.0,12.50247503,9.289724313999999,11.32707286,12.04384487,12.01647982,12.72026096,12.15128965,12.20894983,12.13531007,12.15527955,5.524300622999999,7.364835994,2.654970037,1.343288064,2.17845231,2.37367571,2.358706375,2.807121173,2.434753631,2.4687520569999997,2.4251496930000003,2.43735187,2.1869604419999997,2.6414626709999998,0.16054026,0.078860027,0.13030071199999999,0.142615886,0.14167526,0.170349412,0.146496827,0.148657821,0.14588699300000002,0.14666185699999998,0.130847409,0.159687608,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,22.11994306,16.08422283,20.77298924,21.12945178,21.07214663,22.61202653,21.35636551,21.47938583,21.32242886,21.3648497,27.98991617,27.29935581,21.09455461,21.11749007,21.10288678,21.09947319,21.09973494,21.09189417,21.09840521,21.09781073,21.09857314,21.09835978,21.10273801,21.09479079,-3.936132999,-3.564055207,-4.536258469,-3.8281104139999997,-3.858116688,-4.026151819,-3.876120452,-3.888122961,-3.768097867,-5.6704956079999995,-3.5940614810000002,-4.044155583,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.3,1701.0,20.92,1.7,98.83,34.799058,2.84,-3.3,89,9.0,14.8,3.94,23.406075,0.245,2.84,20.34,
Corrigin_Eucalyptus_capillosa,89,9.0,11.46173656,1.67912573,10.09114724,10.8583669,11.72760727,11.73390521,10.84501504,11.52581705,10.92982204,10.95945646,4.1853040880000005,5.80765742,2.268417213,0.171016475,1.835172819,1.9929749469999998,2.406076665,2.409329226,1.98773168,2.299660083,2.023111137,2.035155064,1.6431146330000002,1.967197818,0.128407024,0.009261796999999999,0.102918464,0.112147527,0.136612837,0.136807146,0.11184687800000001,0.130270547,0.113924114,0.11463197,0.091777111,0.11064271699999999,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.08599484,6.273587603999999,18.79001577,18.9492677,20.61015732,20.6227663,18.92476092,20.21087272,19.0802708,19.13490939,27.21093789,26.0654751,21.91497383,21.95271795,21.92277035,21.9199306,21.91249656,21.91243803,21.92002496,21.9144116,21.91938828,21.91917154,21.92622657,21.92039448,-4.507814632,-3.8413322410000004,-5.210462735,-4.373484848,-4.564646464,-4.616311766,-4.404484029,-4.523314223,-4.301153426,-6.894751567999999,-4.078992629,-4.502648102,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.8,1495.0,21.76,1.8,98.83,34.482924,2.84,-3.8,89,9.0,13.3,3.21,21.27825,0.184,2.84,21.04,
Corrigin_Eucalyptus_capillosa,89,9.0,3.909525335,1.202813567,4.532235397,4.214952074,3.761982223,4.305380498,4.212776971,3.7946157869999997,4.228200032,4.267890618,3.3583054860000003,2.8014484160000004,0.7645244929999999,0.123292452,1.831311381,1.048415881,0.6755925220000001,1.179797304,1.0457522590000001,0.693479794,1.0658009640000001,1.121611114,1.442903505,1.408277217,0.04317514,0.0068679069999999995,0.10585204699999999,0.059571535999999994,0.038080007,0.067228095,0.059416817000000004,0.03910326,0.06058224,0.0638318,0.082693259,0.080647802,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,20.48822304,7.492709232999999,27.86475268,23.54555098,19.21803468,24.583255800000003,23.52139291,19.48887602,23.69335469,24.14475403,28.26266783,29.20044636,21.81780954,21.82937938,21.79856137,21.81268725,21.81941415,21.81031672,21.81273531,21.81909141,21.81237357,21.81136658,21.80556946,21.80619423,-4.011827737,-3.830999181,-5.205296205,-4.0841591589999995,-3.9859950860000004,-4.156490581,-4.094492219,-3.9911616160000003,-4.047993448,-4.833306033,-4.042826918,-4.275320775,False,False,False,False,False,False,False,False,False,False,False,False,89,9.0,-3.8,147.0,21.84,1.78,98.82,34.72103775,2.84,-3.8,89,9.0,10.6,2.98,23.406075,0.173,2.84,20.86,
Corrigin_Eucalyptus_capillosa,89,9.0,11.49677175,8.761580172999999,10.61899613,11.10575863,10.68092551,11.08484032,11.060404400000001,10.92517885,11.12629969,11.20639662,5.5040691829999995,6.534651432,3.1947685669999997,1.844442903,2.86455778,2.938838647,2.693117071,2.9250686160000003,2.9113354019999997,2.831387518,2.95176371,3.0017495939999996,3.002280887,3.035592111,0.133922743,0.075647197,0.119426953,0.122678291,0.111978864,0.122083829,0.121483411,0.11799341699999999,0.123251712,0.12544128300000001,0.125464575,0.126925745,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,21.23229019,16.72414758,20.80178569,20.536200100000002,19.80204758,20.49910872,20.45634423,20.22113976,20.57180812,20.71293058,28.03700601,26.80699936,25.46328952,25.49018721,25.46986713,25.46838749,25.47328212,25.46866179,25.46893534,25.47052786,25.46813004,25.46713435,25.46712376,25.46646022,-3.952520353,-3.557755578,-4.939432291,-3.84149276,-3.816819961,-3.921679355,-3.872333758,-3.8538291589999996,-3.755137965,-6.876246968999999,-3.594764775,-4.032706948,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.2,1758.0,25.27,2.43,98.77,35.09594025,2.84,-3.2,89,9.0,12.4,3.18,18.2385,0.132,2.84,24.71,
Corrigin_Eucalyptus_capillosa,89,9.0,11.47510546,8.764100147,10.59161283,11.06748984,10.67650702,11.13480404,11.05121042,10.91742714,11.134808300000001,11.12499931,5.48749245,6.500277856,3.2346259760000002,1.880315169,2.896065609,2.9672213430000003,2.739485373,3.008487882,2.956640888,2.876923258,3.009157245,3.002957908,3.002280887,3.053857699,0.13314458099999998,0.075751076,0.11855517900000001,0.121608131,0.11187829,0.12339421,0.121166933,0.11774957900000001,0.12342299,0.123156474,0.123127371,0.125346278,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,21.14282993,16.70601694,20.69990877,20.42577095,19.75614582,20.54203179,20.39681397,20.16617363,20.54203174,20.5249473,27.88953408,26.71393252,25.44810355,25.47505355,25.45484071,25.45342475,25.45795656,25.45260357,25.453635300000002,25.45522163,25.45259025,25.45271361,25.45272709,25.45170074,-3.9648567519999998,-3.563923777,-4.970273289,-3.8476609589999997,-3.8291563610000003,-3.9463521530000003,-3.884670157,-3.866165558,-3.767474364,-6.882415169,-3.594764775,-4.038875147,True,True,True,True,True,True,True,True,True,True,True,True,89,9.0,-3.2,1915.0,25.23,2.47,98.77,35.05845,2.84,-3.2,89,9.0,15.3,3.79,17.326575,0.156,2.84,24.92,
Corrigin_Eucalyptus_capillosa,89,11.5,7.995255395,0.40520736700000004,7.932795218,8.027935111,8.456793649,6.927072353,7.97139175,8.061250257000001,8.17363309,7.542353288999999,3.4461096010000003,3.955863983,2.253540664,0.06937977299999999,2.403592048,2.269195023,2.497179867,1.770594756,2.240930633,2.286183785,2.3436718780000003,2.035155064,2.141108031,2.107853483,0.075019813,0.0022437670000000002,0.080170708,0.075547872,0.08340228400000001,0.058561947999999996,0.074586362,0.07613882400000001,0.078113745,0.06755071900000001,0.071168492,0.07003190599999999,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,18.52121478,7.417782029,19.71012013,18.57792313,19.307831399999998,16.76749056,18.48126061,18.63272759,18.82314267,17.76719634,27.75778151,26.48390209,29.26220876,29.30943207,29.25896453,29.2618703,29.25694108,29.27265044,29.262481400000002,29.26150299,29.26026005,29.26693043,29.26463964,29.26535863,-4.502648102,-3.81549959,-6.099105923,-4.471648921,-4.600812175,-4.363151788,-4.497481572,-4.518147693,-4.394150969,-6.894751567999999,-4.171990172,-4.564646464,True,True,True,True,True,True,True,True,True,True,True,True,89,11.5,-3.8,1286.0,29.12,3.01,98.7,35.4211935,2.84,-3.8,89,11.5,12.2,2.61,10.74045,0.086,2.84,29.04,
Corrigin_Eucalyptus_capillosa,89,11.5,8.026850762999999,0.451660732,7.946549441,7.924803016,8.341187023,6.964577536,7.957171559,8.070185645,8.085906239,7.413420137,3.442736796,3.94076778,2.331778098,0.080432614,2.466979361,2.27870453,2.497179867,1.839940396,2.295446268,2.353177091,2.361010294,2.035155064,2.194966286,2.1308234219999997,0.074573065,0.00249975,0.079027572,0.072823119,0.080032166,0.058471935,0.073375626,0.075277016,0.075535224,0.06483781799999999,0.07007300799999999,0.067969195,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,18.37123071,7.42072202,19.47781405,18.20406865,18.89289345,16.66027459,18.25686693,18.44291642,18.46887686,17.37420395,27.66463457,26.27089218,29.13251996,29.18102944,29.1296068,29.13366353,29.12895607,29.14311753,29.1333028,29.13205888,29.1318901,29.13891126,29.13546783,29.13684991,-4.5336472830000005,-3.8206661210000004,-6.243768767000001,-4.471648921,-4.600812175,-4.388984439,-4.518147693,-4.5439803439999995,-4.3993174989999995,-6.894751567999999,-4.182323232,-4.574979525,True,True,True,True,True,True,True,True,True,True,True,True,89,11.5,-3.8,1639.0,28.93,3.12,98.69,35.4374055,2.84,-3.8,89,11.5,9.72,2.28,11.855025,0.07200000000000001,2.84,29.36,
