Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,San_Lorenzo_Tocoyena_pittieri,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,model,variable
0.8236330781924954,-0.12243806570677862,0.2214609954774018,0.3074352963120366,0.20374581669464042,0.07622089721737974,0.6229033718542725,0.7998088455929913,0.8441916721914837,0.8403692583650593,0.4820520735992494,0.5932434758570928,0.5141967248633883,0.8371334334136884,0.8320200828555686,0.7200990263407264,0.5372547489450435,std,gs
0.7108602320977699,0.09222637744240036,0.18553051991625874,0.3660404560226477,0.3430800732938488,0.006615667217873281,0.6259420605622146,0.755724074851744,0.8179402955050872,0.8480573847354023,0.29050241647005515,0.46937960676082346,0.3019696457902361,0.8055604659957017,0.8011441918983668,0.7244155025373459,0.509061810693611,tuz,gs
0.8502762620923412,-0.23743106753276472,0.25164105479502064,0.3336984296678886,0.36560771708954215,0.2795428572576726,0.6612160825500868,0.8415350062945212,0.7115402178397644,0.78686669804049,0.67123357172937,0.4743993511548771,0.2583038374196611,0.8697821140232327,0.9000535085824419,0.728757324442178,0.5466889353403952,sox1,gs
0.8363681328767893,-0.2582841432086893,0.3280294645430554,0.41778707193304876,0.39812501147529966,0.2123553609719529,0.6169527560534407,0.8461941309275003,0.823616468482901,0.7805116698062803,0.529978398308735,0.584877677027185,0.34321121500349083,0.7060188977772646,0.7805734916025149,0.6586446212781787,0.5378100140536842,sox2,gs
0.7681906841624435,-0.2312822018392377,0.25559714363367336,0.24484140385186504,0.23496747929047107,0.08523043833702612,0.506661101910277,0.6092713460709279,0.7271326529711895,0.8242518131709138,0.37074105265072077,0.3509091101356062,0.4026349853851083,0.6159382804511029,0.6395390852902598,0.5380238933020606,0.43391551679840057,wue,gs
0.8317808834864342,-0.32288605771076634,0.27976715572806654,0.26336659421746017,0.27281217370501365,0.40713582241899493,0.5266002377115204,0.8298063040028044,0.8056627418101657,0.751545718678315,0.659854191061288,0.5743890458136527,0.5995440604116735,0.4484424228456185,0.5935554343075625,0.5539305304965165,0.50470670368652,cmax,gs
0.836027837099469,-0.2585241601824548,0.3335416586170334,0.4173688907391305,0.3890610241941839,0.2220735359595124,0.6104892972743373,0.850075720101879,0.8077181308373309,0.7807873398746172,0.5465076023713846,0.5932541904691535,0.3698688244417235,0.7073881432607578,0.780043695621215,0.6589979155674233,0.5402924778904186,pmax,gs
0.8000210531022678,-0.25626968654127735,0.26734159898671883,0.372429772560935,0.38750698382744264,0.22496104916010856,0.6065446019301274,0.8145969046609631,0.8612784275943544,0.8119984354657166,0.3838889686969804,0.4489978076726502,0.42058960037344595,0.7155578203433289,0.7789638923515328,0.6575293927498258,0.518496038933445,cgn,gs
0.8363919533820123,-0.23073547207751816,0.3043406945139111,0.37573800001578694,0.34593128881433033,0.18341285619399625,0.613500895061159,0.7703850864358108,0.8473079726037324,0.8412819115576438,0.5582657804970145,0.5510790187242619,0.38857605829597014,0.7405105233666521,0.8027633803665457,0.6633492995262054,0.5370062029548447,pmax2,gs
0.8296623265873002,-0.20716590177034322,0.286421125488764,0.2930078119785491,0.3298739542454929,0.4764921048586387,0.6065127946712773,0.779331916296993,0.8668857070297222,0.9036848224225681,0.724607512362698,0.5569663743954655,0.5795466115825805,0.7491272769691395,0.8177217207790293,0.6810882184973797,0.5796102735247035,lcst,gs
