Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,median,model,variable
0.3388003562556887,0.7554678543976067,1.0062977207680135,1.0928214015925384,1.134441703477303,0.6974721294474813,0.44549744043076017,0.40620745835344335,0.3026595555355474,0.28911741963148435,0.789901883426392,0.4935996011964544,0.31570242997807574,0.3835477768784405,0.32314467765963606,0.584978627268591,0.4695485208136073,std2,gs
0.6285769499012605,0.7010823198343346,1.2302173220853365,0.8820196584255872,1.254667890174259,1.088103133165044,0.38973511280873274,0.802282734679173,0.41855432628322287,0.388049382518507,1.0099495899166846,0.6027579602267525,0.5259061075595467,0.59355400603242,0.49448638192713995,0.7339961917025334,0.6648296348677976,tuz,gs
0.2812269213629433,0.7155862728733249,0.8321346562366271,1.0773222538475706,1.2520255884808802,0.9347701984257742,0.3761736792214575,0.34348335013847997,0.35982808373439573,0.3257030277181768,0.8247219874119208,0.6174458363303796,0.279986109722989,0.3860461829589391,0.33205711062049004,0.5959007506056231,0.4909734667822811,sox1,gs
0.2938307142322314,0.7424758774131662,0.8539700295234672,1.0762707231904025,1.3526207979080072,0.9096906400052452,0.38636028789241406,0.30372968728572497,0.3116302416189701,0.2983293149319058,0.9016386053017219,0.5710119734560936,0.3754441729878994,0.5328348997922183,0.33251301432225744,0.6161567319907817,0.5519234366241559,sox2,gs
0.6103807221848413,0.8522133748709669,1.0038644096235378,1.0342746803054776,1.380972671677933,0.7721859939715224,0.7586258832706001,0.5166594163966577,0.3252127529269115,0.32040699723204125,0.6940157318077729,0.6926752725558143,0.5694601653225713,0.6997131868717488,0.5710469936663862,0.7201138835123188,0.6968644593397608,wue,gs
0.45409356167092524,0.7694075017843928,0.9007434600067755,0.9940425534276929,1.3699258599577042,1.1468904913350806,0.46594871859216824,0.5524427880216883,0.32477225968883,0.3302768576778502,0.8900152943681372,1.436249869109832,0.33928400137134296,0.551060758536395,0.3620732494874876,0.7258151483357533,0.6391289681787209,cmax,gs
0.2845666731970511,0.7278953113351971,0.9267071108124287,1.09128398013628,1.2943811305595538,0.9238450418212157,0.4005873143509954,0.31519381802646973,0.34288357759564086,0.3098698511780885,0.8697662732751968,0.6144628828343905,0.3629712017271045,0.5019395132191747,0.33278494840004164,0.6199425752312552,0.5582011980267827,pmax,gs
0.30032007737860295,0.6839598110742002,0.8724899195572852,1.352845861891586,1.3311257149924935,1.2571148021244511,0.4148094462145408,1.5263815076829295,0.7179070209137166,0.5842163364376429,0.8705562209144171,1.0501075082319047,0.37515177052393334,0.5091130692562028,0.3460052678055792,0.8128069556666325,0.7653569882901745,pmax2,gs
0.3555653182619159,0.7608701883135611,0.8698302576408933,1.1889905699370054,1.3129879182777315,0.8904771428987913,0.40606582949390535,0.3440016188105813,0.33864875122835336,0.3039992615376509,0.8877890234983241,0.5989791729975171,0.344828129700597,0.51794636519767,0.33016510861762427,0.6300763104274747,0.5584627690975936,cgn,gs
0.3034824645786334,0.7881307993125456,0.9437053107481108,0.9278200259287332,1.308473044762858,0.8046700025853312,0.4044042332257856,0.3296460335102844,0.41311008432714863,0.23687098697192008,0.7690904638751508,0.6043385694548312,0.3493274995156731,0.5073898485019609,0.3308399273530753,0.6014199529768028,0.5544049007393819,lcst,gs
