Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,San_Lorenzo_Tocoyena_pittieri,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,mean_se,median,overall,model,variable
0.34450100965240943,0.9774262606698795,0.6881543589882579,1.0013805910768392,0.8985088551768429,0.6256041173452884,0.32181497185395774,0.17339954391232565,0.2673003616140949,0.3429518983205368,0.4973151019120073,0.304540644898319,0.4924938605862109,0.30985667490398344,0.37604352716532896,0.30003296642675914,,,,0.510232384652023,std,gs
0.6673374552996535,0.9530778827023894,0.7253084321633305,0.8637399213335073,0.7094051620489498,0.5816350618286692,0.3282688623863509,0.19020754237206042,0.3462956050326676,0.465927480344428,0.5107824410133995,0.3420825250246448,0.5742711497644714,0.3781692852485754,0.4576514410613507,0.3122901107911177,,,,0.5314182050712636,tuz,gs
0.2773872680574482,0.908343894010055,0.6330099693006561,0.8874061587139931,0.8133780126966406,0.5436841894611418,0.2767132757617954,0.15768607666321385,0.3723719180987714,0.43527599857012167,0.40752345749330854,0.3255477639909142,0.5572910291828784,0.3239980895173232,0.4016086988079454,0.29735928904403225,,,,0.5050294361861696,sox1,gs
0.28398497970973247,0.9303609254794875,0.6347658270103591,0.8975920352800594,0.804968561130121,0.5749578171706134,0.28965904244773055,0.15068156799406818,0.31417250964556964,0.405478791969026,0.4604858326827692,0.3094086744911725,0.5350844461245371,0.3761179906770622,0.41785371334822624,0.3104768586800354,,,,0.49632277441521305,sox2,gs
0.37426637454466327,0.9960238635940011,0.7156729754434024,1.0522322183267074,0.9825717149538841,0.6428951900858614,0.3613720061786181,0.22845410507616035,0.37507579157481935,0.44303824700288624,0.4661370023802159,0.3492440494429182,0.5345081883959306,0.4962782642263628,0.5645305874023548,0.36053116191543466,,,,0.5805860279912207,wue,gs
0.34364750350211826,0.9604936296494804,0.6248633995123817,0.7573359868928753,0.7535263084868957,0.5186460279577879,0.37819610287209554,0.2111287262521838,0.3592506483191922,0.4077426010963408,0.42040552226227107,0.30421544302290005,0.48251335301121945,0.7561369033621367,0.6021264389047024,0.4188343275669153,,,,0.5225788189625252,cmax,gs
0.2792910991066247,0.9275075538822494,0.5846954996346884,0.8564997370490408,0.7268153151711712,0.5739433450176952,0.30682693082304996,0.15105697093203882,0.3345648667177969,0.41836958000591745,0.4423986804321406,0.29193629845685104,0.5319508594923557,0.38136164331644196,0.433028591723852,0.31003879364992176,,,,0.48883011954552275,pmax,gs
0.35173882747495683,0.9714277559346746,0.7095234138165236,0.9960385676557911,0.7909453612642084,0.5670920690047163,0.3062847574107907,0.16568724899113432,0.30067288712127443,0.3870630751889205,0.46388155551672056,0.32183724061038793,0.513204898794038,0.377395986152354,0.4097644366440568,0.30934154874010367,,,,0.5123555912720663,cgn,gs
0.27907629991962785,0.9033251418096943,0.639351272265547,0.9411704651021748,0.6661001704237348,0.5111528656847034,0.3124651710555907,0.19935286959080925,0.3859015662330481,0.4485019483600904,0.4348997784338854,0.3045368642503404,0.5411384159327818,0.41576230196240055,0.48344122352982355,0.3265812076480842,,,,0.5115443476236222,pmax2,gs
0.2886204857921852,0.8809861486968702,0.6977734901227709,1.1064519400860735,0.7767721621492848,0.4765607187240322,0.30285199213877534,0.17093744879811595,0.2764716750327255,0.3389641770069259,0.36823509536890775,0.32108384378264554,0.46281451272426416,0.41988523423066665,0.4463330847285701,0.3147981332901454,,,,0.4959655711363181,lcst,gs
