Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,San_Lorenzo_Tocoyena_pittieri,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,mean_se,median,overall,model,variable
0.5833333333333334,0.6666666666666665,0.5833333333333334,0.5,0.75,0.6666666666666665,0.6666666666666665,0.5,0.08333333333333331,0.08333333333333331,0.6666666666666665,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,0.4047619047619047,,,0.5,std,gs
0.9166666666666665,0.5833333333333334,0.9166666666666665,0.9166666666666665,0.8333333333333335,0.8333333333333335,0.8333333333333335,0.75,0.75,0.8333333333333335,0.9166666666666665,0.75,0.8333333333333335,0.33333333333333326,0.75,0.6666666666666665,0.7976190476190477,,,0.9166666666666665,tuz,gs
0.0,0.0,0.16666666666666663,0.08333333333333331,0.08333333333333331,0.16666666666666663,0.0,0.08333333333333331,0.6666666666666665,0.5833333333333334,0.16666666666666663,0.41666666666666674,0.5,0.08333333333333331,0.16666666666666663,0.0,0.17857142857142855,,,0.33333333333333326,sox1,gs
0.33333333333333326,0.41666666666666674,0.25,0.25,0.16666666666666663,0.5833333333333334,0.41666666666666674,0.16666666666666663,0.33333333333333326,0.41666666666666674,0.5833333333333334,0.33333333333333326,0.75,0.5833333333333334,0.33333333333333326,0.5833333333333334,0.3988095238095238,,,0.08333333333333331,sox2,gs
0.8333333333333335,0.8333333333333335,0.6666666666666665,0.75,0.9166666666666665,0.75,0.75,0.9166666666666665,0.8333333333333335,0.75,0.8333333333333335,0.6666666666666665,0.5833333333333334,0.8333333333333335,0.8333333333333335,0.8333333333333335,0.7916666666666667,,,0.8333333333333335,wue,gs
0.6666666666666665,0.9166666666666665,0.75,0.6666666666666665,0.5833333333333334,0.41666666666666674,0.9166666666666665,0.8333333333333335,0.9166666666666665,0.9166666666666665,0.41666666666666674,0.5,0.6666666666666665,0.9166666666666665,0.9166666666666665,0.9166666666666665,0.7559523809523808,,,0.75,cmax,gs
0.16666666666666663,0.33333333333333326,0.0,0.0,0.0,0.33333333333333326,0.25,0.0,0.41666666666666674,0.33333333333333326,0.5,0.0,0.33333333333333326,0.5,0.41666666666666674,0.33333333333333326,0.24404761904761904,,,0.16666666666666663,pmax,gs
0.75,0.75,0.5,0.33333333333333326,0.25,0.5,0.5833333333333334,0.41666666666666674,0.16666666666666663,0.16666666666666663,0.75,0.5833333333333334,0.41666666666666674,0.75,0.5,0.75,0.5178571428571429,,,0.25,cgn,gs
0.08333333333333331,0.08333333333333331,0.08333333333333331,0.16666666666666663,0.6666666666666665,0.08333333333333331,0.08333333333333331,0.5833333333333334,0.5833333333333334,0.5,0.33333333333333326,0.08333333333333331,0.25,0.41666666666666674,0.6666666666666665,0.41666666666666674,0.3095238095238095,,,0.6666666666666665,pmax2,gs
0.41666666666666674,0.16666666666666663,0.33333333333333326,0.8333333333333335,0.33333333333333326,0.0,0.5,0.6666666666666665,0.0,0.0,0.0,0.25,0.0,0.6666666666666665,0.5833333333333334,0.5,0.3154761904761904,,,0.0,lcst,gs
