Corrigin_Eucalyptus_capillosa,ManyPeaksRange_Alphitonia_excelsa,ManyPeaksRange_Austromyrtus_bidwillii,ManyPeaksRange_Brachychiton_australis,ManyPeaksRange_Cochlospermum_gillivraei,Parque_Natural_Metropolitano_Calycophyllum_candidissimum,Puechabon_Quercus_ilex,Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,San_Lorenzo_Carapa_guianensis,San_Lorenzo_Tachigali_versicolor,Sevilleta_Juniperus_monosperma,Sevilleta_Pinus_edulis,Vic_la_Gardiole_Quercus_ilex,mean,median,model,variable
0.338140803215857,0.9628269532665816,0.7215358721973794,0.8836023700220845,0.8069588332664428,0.5063723350765132,0.3129632111780204,0.20922395336046334,0.328941221817,0.37454983061085134,0.4414103848689838,0.304050482371344,0.4205957572475981,0.37319934198867744,0.3083171052090095,0.48617923037978716,0.39757279392922473,std2,gs
0.616951903049637,0.8760070321107081,0.9271015422742696,0.6947733978561865,0.8633696735309344,0.7105001761558724,0.2881190145004436,0.4149722614642099,0.45889612914442296,0.5213247992570449,0.4762936623711254,0.31099619642341025,0.7157555032778796,0.5837176039069789,0.47141733692782517,0.5953464154833966,0.5895320096951877,tuz,gs
0.27602584592214735,0.9057726823369721,0.6116460243027815,0.8454916549366194,0.8705715403231794,0.6103781621461732,0.27809346958040826,0.17766313098993353,0.39450963570123354,0.43756561198623284,0.3889400617062696,0.3185744847301261,0.3810596530349341,0.3796486092655886,0.316565803463774,0.4795004246950916,0.39172484870375157,sox1,gs
0.2883965413438805,0.9439330771326917,0.6386321550689253,0.8450124148900665,0.9470549081266253,0.5940019289265649,0.28562411168813656,0.15710096922025482,0.34166630858456115,0.4007904076794918,0.42521404804944524,0.29461668459801893,0.5109775854034445,0.5240047372668911,0.3170004381005158,0.5009350877386342,0.46307456789403967,sox2,gs
0.5990922005585855,1.0972206442174022,0.7573805732323017,0.8163645952173533,0.9728102367090838,0.5042153340244508,0.5608284567619186,0.26723662016064287,0.3565579522061275,0.43045066179065505,0.3272988057484829,0.3573895150888895,0.7750323515324659,0.6881175103055148,0.5444062017758736,0.6036267772886498,0.579960328660252,wue,gs
0.44569545077889444,0.9878366621791425,0.6752153971036848,0.7834589779745468,0.9662076509798249,0.748886637018323,0.3444613564351955,0.2857451907732103,0.3560750026123081,0.44371032215195194,0.41973247808921377,0.7410408088824668,0.4617637781059269,0.54192855630808,0.3451816132549133,0.5697959921765122,0.5018461672070035,cmax,gs
0.27930383161680206,0.9278901828175726,0.6901030844218299,0.8568855031170427,0.9102796324366283,0.603244347845418,0.2961417086605446,0.16303066962831672,0.37593195584211586,0.4162945368261807,0.41018301095533205,0.3170354139047296,0.49400193576976925,0.4936213503485793,0.317259685763251,0.5034137899969409,0.45495794358738,pmax,gs
0.29476588871394094,0.8805169593862456,0.6588856582944124,1.0651627490144238,0.9384152821144947,0.8208599544783217,0.3066556872114869,0.7895046954408538,0.7871015356797045,0.7848652208627465,0.4105555513849953,0.5418085905873906,0.5105796271562452,0.5006760259111562,0.3298632437079711,0.6413477779962926,0.6501167181453524,pmax2,gs
0.34898941139123524,0.9701065995400009,0.658016497352743,0.9346261610054305,0.920899776731682,0.581456065705863,0.30019180405104023,0.17793119998059184,0.37128896135964573,0.4084076953475046,0.4186825655820946,0.30904651092287627,0.4693093082024628,0.5093629360981843,0.31476206815729874,0.5128718374285769,0.4439959368922787,cgn,gs
0.29786978999690233,0.9922707703148946,0.7103831294583856,0.7293725303741704,0.8808724727517119,0.5254264611124004,0.29896343774907136,0.1705059252748002,0.4529271511578531,0.3182242397385207,0.3627041561193387,0.3118117202163756,0.47543292734308734,0.49898136244423336,0.31540540488567453,0.489410098595828,0.46418003925047024,lcst,gs
0.7890048096695017,0.905317999201873,0.6284535845684884,0.8139035015461737,0.8262595540452253,0.7122868858103646,0.27866103788952346,0.3239057746931544,0.49429960407829254,0.4535435482274176,0.38311731547634026,0.5333327860025275,0.3957430281428788,0.5882659980305698,0.3205952427129845,0.5631127113396878,0.5482227486711077,cap,gs
