soil,doy,hod,A(std),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(std),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),gs(std),gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),gb(std),gb(tuz),gb(sox1),gb(sox2),gb(wue),gb(cmax),gb(pmax),gb(cgn),gb(pmax2),gb(lcst),gb(cap),gb(mes),Ci(std),Ci(tuz),Ci(sox1),Ci(sox2),Ci(wue),Ci(cmax),Ci(pmax),Ci(cgn),Ci(pmax2),Ci(lcst),Ci(cap),Ci(mes),Tleaf(std),Tleaf(tuz),Tleaf(sox1),Tleaf(sox2),Tleaf(wue),Tleaf(cmax),Tleaf(pmax),Tleaf(cgn),Tleaf(pmax2),Tleaf(lcst),Tleaf(cap),Tleaf(mes),Pleaf(std),Pleaf(tuz),Pleaf(sox1),Pleaf(sox2),Pleaf(wue),Pleaf(cmax),Pleaf(pmax),Pleaf(cgn),Pleaf(pmax2),Pleaf(lcst),Pleaf(cap),Pleaf(mes),Rublim(std),Rublim(tuz),Rublim(sox1),Rublim(sox2),Rublim(wue),Rublim(cmax),Rublim(pmax),Rublim(cgn),Rublim(pmax2),Rublim(lcst),Rublim(cap),Rublim(mes),PPFD,Tair,precip,VPD,CO2
wet,193.0,6.0,2.3185115529920144,2.294280813362536,2.3783504251400776,2.3724286190360115,2.2572551880020506,2.3440281985449603,2.379370251764212,2.3594126807912312,2.328954677642148,2.2827303810469144,2.323857319850726,2.3284741072088018,0.25776492440497994,0.21904648114548034,0.561422707667056,0.4708659500785557,0.1812219663049863,0.32339801789428996,0.5360085027687873,0.3878859874154733,0.2803720819645119,0.2052480667087802,0.4743109481710268,0.5351519565722423,0.03421903440718376,0.02907889561120709,0.07453357734272698,0.06251063229740443,0.024057484580381008,0.042932402073036856,0.07115938061368597,0.05149389707951142,0.037220314774678465,0.02724707466811092,0.06296800874402249,0.07104565897706556,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,30.771196732524057,28.99849590394213,36.473457899510734,35.51252247093213,26.620322938651746,32.86161864201598,36.22072131299478,34.250877154076235,31.59677133999848,28.21693346741339,35.68161207551497,36.34513252302771,8.240210187751561,8.240211862786786,8.240197050924737,8.240200968586352,8.240213499148929,8.24020734833617,8.240198150392715,8.240204558461073,8.240209209721916,8.240212459733057,8.240200819549031,8.240198187448572,-0.2969842115330032,-0.25467261358949744,-1.8484094694615476,-0.5367499332128691,-0.19825714966482316,-0.35339967545767753,-0.6072692631187121,-0.4239190053635205,-0.1418416857401488,-0.4662306033070262,-0.2405687476083289,-0.4521267373258576,False,False,False,False,False,False,False,False,False,False,False,False,54.28876878,8.24025593,0,0.7632898229999999,41.55
wet,193.0,6.5,4.9233510628360175,4.847280962921992,4.8673241114135495,5.013218724825936,4.814465931762997,4.951635516495325,5.022925792001401,5.004972447702089,4.928630310459307,4.791210264784142,4.5543959801093665,4.7498049128503945,0.5813795769303922,0.5038048187157573,0.5783941007664734,0.7235991271975002,0.4779488754878576,0.618755319787735,0.7447308090173844,0.7077478552409991,0.5885044693157234,0.4611507180838447,0.5857795891359321,0.7674892824658164,0.07015715128049885,0.06079533624563396,0.0697968570584939,0.08732085084260915,0.057675050440047476,0.07466776589716635,0.08987117017628292,0.08540781719138328,0.0710170009954861,0.055647865775366914,0.07068815550492265,0.09261783726042293,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,30.385704350895423,28.86568847189477,30.455780744993554,32.4169684232985,28.258136295877264,30.99515690830275,32.653957279647344,32.218522182152014,30.497516796931876,27.843436203105725,31.306225643803987,33.40041744664849,9.652260694297826,9.652264567804092,9.652260843370296,9.6522535929116,9.652265858857527,9.652258828031306,9.652252537752632,9.652254384406193,9.652260338533711,9.65226669763253,9.652260474593954,9.652251401363792,-0.6636874046920606,-0.5931681128209999,-1.91893079999694,-0.832933705182606,-0.5226488209499394,-0.6777912630662727,-0.8470375635568181,-0.7765182716857576,-0.2969870869625453,-1.05859543917,-0.2969870869625453,-0.6495835463178484,False,False,False,False,False,False,False,False,False,False,False,False,240.04345580000003,9.652246595,0,0.839719653,41.55
wet,193.0,7.0,5.590728829251062,5.505720096551352,5.459594070508839,5.69487694972433,5.499432369893476,5.670999374129425,5.684845200168974,5.687340388071477,5.562318263950217,5.459512480816466,5.059217601642086,5.271787942917892,0.6999961405927381,0.6231698963507084,0.6454552222351941,0.8322089247397254,0.6187549463641947,0.7961370619402212,0.8175473463202086,0.8212648750446323,0.6724283555773275,0.589484736041068,0.6971450686387247,0.8499366955822713,0.07704892021647,0.06859200950697923,0.07104512727251598,0.09160304424254057,0.06810602339418377,0.08763217111373747,0.08998906016800902,0.09039829472148236,0.0740142850653122,0.06488404795132721,0.07673507608003205,0.09355456987200113,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,30.00624987132384,28.780247269493113,29.32443699580436,31.66012727390709,28.693492643691133,31.264626137632572,31.492710560491773,31.53418045555689,29.58509538754356,28.15438400787923,31.05734146015864,32.59166277962949,11.028549748099294,11.028554064459081,11.028552812393654,11.028542319935255,11.02855431250599,11.028544346575234,11.028543143672614,11.028542934809202,11.028551296951251,11.028555957005997,11.028549908282217,11.028541323928774,-0.7906247472138792,-0.7342093442377761,-2.186905970872433,-0.9598709561421888,-0.6777939412616728,-0.8752478516780341,-0.9316632546541372,-0.9034555531660856,-0.33930152340505365,-1.3688826277189372,-0.3534053741490795,-0.7201054934937502,True,True,True,False,True,True,False,False,True,True,True,True,397.4549955,11.02846147,0,0.920609648,41.55
wet,193.0,7.5,5.9542876191981335,5.8749583227208735,5.780763541074258,6.037881548361981,5.84017190603679,6.0309837926065715,6.026287802164737,6.069386344609111,5.917986579057707,5.832862386141772,5.312625737280434,5.513424577495642,0.7887488499749531,0.7204086328164776,0.7143337743749543,0.8792750095373948,0.6950681189939028,0.871334037945798,0.8657877525835289,0.9211376662956884,0.7562812339576598,0.6899201299073723,0.7805831967869801,0.9156400427877868,0.07951088006717191,0.07262122412930777,0.07200879772767747,0.08863734596362127,0.07006656912256587,0.08783676360919365,0.08727760637520493,0.09285782213915753,0.07623767480192427,0.06954758622296428,0.07868766200470413,0.09230356493475377,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,29.636229899970374,28.679820138931056,28.7784732732918,30.713622897982248,28.278747839352373,30.621793097790604,30.559588356414253,31.14016594260048,29.191084046161947,28.19580818418875,30.808487270893377,32.052502149321306,12.358602436290074,12.35860667153786,12.358607048015015,12.358596826113047,12.358608241965339,12.358597318238823,12.358597661958726,12.358594231758927,12.358604448405409,12.35860856100163,12.358602942340045,12.358594572463106,-0.9034581170786328,-0.8611465878069664,-2.4830885432208496,-1.0162888618030768,-0.7624196861730778,-0.9598734894408548,-0.988081175621966,-1.0162888618030768,-0.38161592272807904,-1.6227541146969635,-0.39571976581863455,-0.7765235292636333,True,True,True,True,True,True,True,True,True,True,True,True,562.8657681,12.35841847,0,1.005207722,41.55
wet,193.0,8.0,6.254151249626024,6.187882564273641,6.046807032131631,6.318840174007497,6.174454653207213,6.2517457509577445,6.339625472995175,6.3140302548898,6.276614761768098,6.208648634120191,5.510612452125359,5.687250634195099,0.8742529131046725,0.8184941586816766,0.7872328920627365,0.9376753353655848,0.8087074063261974,0.8713334755079704,0.9614445706633988,0.9335438072366136,0.8958415271623028,0.8356013359196819,0.8361600039076257,0.94839759908238,0.08108472574253778,0.07591282458211418,0.07301321192752487,0.08696753959454062,0.07500506062387391,0.08081393202250843,0.08917229916015805,0.08658431307416799,0.08308719218810598,0.07749959409537592,0.07755141321605162,0.08796210178835054,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,29.279115099356343,28.582043842994302,28.37446672734692,29.991633748895225,28.444587862831092,29.25324837986842,30.227787977355852,29.93749958661212,29.522801885554767,28.79708090871781,30.248613339449932,31.26453222982299,13.632281633970964,13.63228538493919,13.632287487927663,13.63227736745724,13.632286043307502,13.632281830365553,13.632275768468034,13.632277645390827,13.632280181675153,13.632284234115806,13.632284196533444,13.632276646155786,-1.0021875367056905,-0.9739798658781964,-2.8497899759065564,-1.086810549188173,-0.8893568533957141,-0.9598760304644494,-1.10091438460192,-1.0303952075331846,-0.4521379555695551,-2.01766368649548,-0.4239302847420609,-0.8047338409132316,True,True,True,True,True,True,True,True,True,True,True,True,727.5829251,13.63198781,0,1.092541637,41.55
wet,193.0,8.5,6.507014915597546,6.452073232955147,6.269353514686372,6.550161723410593,6.447499566266121,6.652970454671083,6.5376485926483525,6.608704721900207,6.531220511903823,6.500875347687866,5.667614452125893,5.8111137803454325,0.9570255175007456,0.911791358757507,0.8602018144998469,0.9961600729228368,0.9087117195671088,1.1051504105670067,0.9851707901278304,1.0565431446944364,0.9794370335441828,0.9525828813058684,0.9194421705022604,0.9974075141288986,0.08208319438234593,0.07820317553194524,0.07377805474246595,0.08544003805289319,0.07793901664854819,0.09478902706695737,0.08449740820286374,0.09061956268778118,0.08400558341037785,0.0817021200722617,0.07885943159526118,0.08554704017600882,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28.938275337553343,28.424363361562854,28.03116114119328,29.35429657749545,28.382348507844988,30.393629890355374,29.232477751981722,29.937462978846842,29.17027317314195,28.87998513855673,30.124181730639783,30.7461225035305,14.839881004441422,14.839884264033726,14.839887981597753,14.839878184389072,14.839884485953805,14.839870330499982,14.839878976281364,14.83987383315979,14.839879389458249,14.839881324579633,14.839883712713046,14.83987809449794,-1.1009168563663991,-1.0868130286528528,-3.2870101519660584,-1.1573321672205836,-1.0021900623715756,-1.2278513057883147,-1.1291245117934914,-1.1714359949341298,-0.4944522646839124,-2.3702613505855563,-0.46624460925682,-0.8470479575225672,True,True,True,True,True,True,True,True,True,True,True,True,885.7609288999997,14.83946921,0,1.181422012,41.55
wet,193.0,9.0,6.717356056310037,6.6733974970418775,6.452090693179637,6.7364239834198765,6.649744306511508,6.755074360953598,6.7526935415818885,6.7810519408552565,6.644695336361734,6.747922275368364,5.7877851126693605,5.8927159299511205,1.0360289545086283,1.000579796939754,0.9311914485311498,1.0522016292768148,0.9829824170910222,1.0687279307018167,1.0675628056506168,1.09303189738899,0.9794364574270532,1.0630539037563809,1.0026111639966864,1.062499882599356,0.08263103707113717,0.07980345703432967,0.07426878871416286,0.08392104626545073,0.07839981939532709,0.08523926609894014,0.08514632981798273,0.08717787797856341,0.07811697994041729,0.08478667712094448,0.07996548729894823,0.08474248562586986,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28.616910057139787,28.246333026267525,27.72904228977525,28.780473652595443,28.050560291075005,28.94215828270863,28.92142344569526,29.17024148987649,28.009090617046525,28.879953771664663,30.041224447852112,30.49727105854392,15.97219770606932,15.972200412024677,15.972205708674474,15.972196471553776,15.972201755292827,15.972195210044706,15.97219529898268,15.972193354839856,15.972202025968047,15.972195643162573,15.97220025696349,15.9721956854529,-1.1855422555966877,-1.199646075586586,-3.8793718736673086,-1.2278537155663831,-1.0868155156673978,-1.1855422555966877,-1.2278537155663831,-1.2137498955764845,-0.494455076091659,-2.7510662744754257,-0.5085588960815576,-0.9034658557987169,True,True,True,True,True,True,True,True,True,True,True,True,1032.980485,15.97166574,0,1.270457382,41.55
wet,193.0,9.5,6.8873221206262585,6.848915785858173,6.5977934474267474,6.830087214494699,6.816799942709756,6.953373516681119,6.847049835480678,6.937786447596341,6.863363710883808,6.999385974879218,5.876594340285734,5.935208756104709,1.109867940563371,1.0796290568064146,0.9988022597312796,1.0653653303458734,1.0565417057851538,1.165381089287752,1.0792451770953218,1.1533833666261926,1.0907016470145274,1.2107474494596333,1.057986455864059,1.1111130464552426,0.08280800319367643,0.08055166013395347,0.0745206395407399,0.0794873435922697,0.0788289524250287,0.08695027223428033,0.08052301614763965,0.08605502538498579,0.0813778653504747,0.09033543814234664,0.07893675507794504,0.08290090989933352,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28.31800641361857,28.023243066500825,27.464695129464324,27.88075490386261,27.780980878976997,28.838456553201627,28.009063867532678,28.714047650352363,28.13347277037988,29.211683261767647,29.709448940507674,30.165484849928173,17.020602597743235,17.02060501970066,17.020611493453554,17.02060616214158,17.020606868862213,17.020598151465265,17.02060505044717,17.020599112412555,17.020604132851055,17.02059451788561,17.020606753146193,17.020602498017546,-1.2842713816478355,-1.2983751938905852,-4.923054940277245,-1.2419599449195866,-1.1714408837058383,-1.2983751938905852,-1.2419599449195866,-1.2842713816478355,-0.5508731450248541,-3.399843218060284,-0.5367693327821043,-0.9457798878218442,True,True,True,True,True,True,True,True,True,True,True,True,1165.684108,17.01995391,0,1.3580822330000002,41.55
wet,193.0,10.0,7.019222459422175,6.9874234977756595,6.709676056798937,6.9453088792931625,6.955090206940492,6.921875904176782,6.9340092866500775,7.049021722173678,7.014262233366679,7.190701202550678,5.93729389353662,5.947497202177911,1.1771765937285132,1.1526653834900549,1.061880593050652,1.1217239117806128,1.1293133482224866,1.105148122079152,1.114155282124318,1.2012215777098083,1.1739828781768429,1.3324521959105051,1.140932119083106,1.1434169196876454,0.08268357750354692,0.08096178311778943,0.07458464596486608,0.07878830311408766,0.0793214212239239,0.0776239430699775,0.07825664724170951,0.08437262825321025,0.08245923406666547,0.09359109312770164,0.08013758013140801,0.08031212478799936,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,28.044306187518913,27.819589862470174,27.23813424404869,27.526833753541993,27.594344760403427,27.366261960690665,27.449201160586515,28.257858359574577,28.00904075988421,29.31533315829634,29.77164404362821,29.77149875729415,17.977106053105473,17.977108096242898,17.977115663629462,17.97711067537621,17.977110042757033,17.977112057054878,17.977111306261033,17.97710404883044,17.977106319318352,17.977093110072833,17.977109074271787,17.977108867150672,-1.3547927973850962,-1.3971042108012313,-5.628245552414729,-1.3124813839689613,-1.2560661660807813,-1.2278585571366911,-1.2842737750248714,-1.3406889929130512,-0.5931873558946668,-4.260176518626364,-0.5790835514226218,-0.9739900766398816,True,True,True,True,True,True,True,True,True,True,True,True,1280.939521,17.97634931,0,1.442598091,41.55
wet,193.0,10.5,7.116318102892143,7.08283525221743,6.791643340025816,7.019800820369085,7.144879193412375,6.981518442481887,6.9914283582371,7.144879193412375,7.069346761059211,7.306365925749183,5.9759924734817425,5.936985802161231,1.2368167046115135,1.2116236364224278,1.1194071586521157,1.1668585907930995,1.2604288689410552,1.1413593330984293,1.1488504635682089,1.2604288689410552,1.2017076240212008,1.4048860967668029,1.1685464213104657,1.1917072373689928,0.08232758616180763,0.08065048155791976,0.07451167626403933,0.07767048412879514,0.08389945571719708,0.07597301408663018,0.07647169341767401,0.08389945571719708,0.07999037349321274,0.09351614046960384,0.07778284223534138,0.07932464962659619,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,27.79828098434609,27.578386355728604,27.049110480899248,27.17244484529335,27.98828648607389,26.93081242581105,26.993016782297467,27.98828648607389,27.49065163417905,29.10796490287237,29.336198084570576,29.64706932526964,18.83441895976584,18.83442112980055,18.834429072975873,18.83442498569067,18.834416925904158,18.834427182099365,18.834426536841995,18.834416925904158,18.834421983928,18.834404482910077,18.834424840307392,18.834422845323125,-1.4394179391289368,-1.4676255324843968,-5.628245552414729,-1.3688989557402873,-1.4112103457734766,-1.270172378996178,-1.3265875657070976,-1.4112103457734766,-0.6072939351428708,-5.571830365703808,-0.5931901384651408,-1.016304038797039,True,True,True,True,True,True,True,True,True,True,True,True,1376.339581,18.83356745,0,1.522226661,41.55
