change,soil,gs(tuz),gs(sox1),gs(sox2),gs(wue),gs(cmax),gs(pmax),gs(cgn),gs(pmax2),gs(lcst),gs(cap),gs(mes),A(tuz),A(sox1),A(sox2),A(wue),A(cmax),A(pmax),A(cgn),A(pmax2),A(lcst),A(cap),A(mes),E(tuz),E(sox1),E(sox2),E(wue),E(cmax),E(pmax),E(cgn),E(pmax2),E(lcst),E(cap),E(mes),WUE(tuz),WUE(sox1),WUE(sox2),WUE(wue),WUE(cmax),WUE(pmax),WUE(cgn),WUE(pmax2),WUE(lcst),WUE(cap),WUE(mes)
mean,inter,-3.1514668293911923,5.905456428186357,7.149378745793141,3.0534096658188745,-3.9489646650882544,8.308081214027188,4.462064911896645,6.257492795454135,2.137683625693321,4.341730303820926,5.757167523410233,-0.3561718763721616,-1.5926248289090865,0.8666496422083905,2.0242993240215847,-3.099773282041449,1.0747047689879516,0.8819016315080709,2.2908509873506766,0.7867017961702888,-22.008351250677375,-21.41352243572679,-3.151221348608871,5.905118060154218,7.1489529815780335,3.053074990526184,-3.9488357269791488,8.307561017374884,4.461831425018174,6.257111320052925,2.1374759209418763,4.341446242491627,5.7567992693749686,5.4307942919116545,-1.9305993476514576,-1.757603826917864,3.5079824930864563,6.186449972996403,-2.419849858005936,-0.6427110964384765,-0.7928276748640972,2.2758059212445727,-22.526141596341905,-23.52018965539687
mean,wet,-3.2559159823968677,2.3768719441140833,0.4219663777464893,-3.2784624265133466,-6.102821744076587,0.8004614497156857,3.0019126101763036,-0.12872119458766906,-1.199990724463472,4.565145381591169,3.303058848987378,-0.5953071058088151,-2.9618127095659292,-1.638951972125813,-0.19927685606352344,-3.182271528525862,-1.675515968700327,-0.3118903665112854,-0.12057486426192736,-0.4961200944956964,-14.302866287850021,-15.76747392200965,-3.2556805218524563,2.3766907802819044,0.4219626270822346,-3.278329900404125,-6.102426287065443,0.8004124142226817,3.001703948491475,-0.1286639363935334,-1.2000074673304175,4.564762473168586,3.30279437694457,2.965715532052827,-1.084411465487813,0.7906697586469107,4.1879161971245225,5.009404916840401,0.63659669654809,-2.137983723559621,0.3775243310729994,1.824986421471519,-15.177860192740535,-16.475185248805943
mean,inter,-3.497305214424133,13.066808165687975,20.01501329080838,-7.0731932858762,9.02716087987615,21.876451315650925,11.655454210458117,5.183399410493507,3.2605862054779733,12.707720709487692,23.390902489125192,-0.2081479828257843,-1.4880176455155474,2.236662024191508,-0.854552843211276,1.1317535275127646,2.4509100188850086,1.7586234511519312,1.0407418784496867,1.1984079865142727,-18.266268928057126,-14.011383001641926,-3.4970904461609,13.065947080531307,20.013713743137313,-7.072924521936007,9.026535240490071,21.874991485211513,11.654756737212217,5.183132168771973,3.260218877181202,12.706768094541758,23.389291872845703,6.0843552720747045,-4.315114954380957,-10.415181091878072,11.231236864954523,-3.3203117441392886,-11.400825091900197,-6.394847227765021,-1.1396108718937206,2.617361653826349,-22.415859591941782,-27.491101036767247
mean,wet,-5.192302388078837,12.608002668792073,15.56273091737939,-11.956235130444709,5.697516193507577,16.724176881335776,12.481687833103585,0.4761941310045399,-2.159555118012235,14.852565526955331,20.888497024231107,-0.6664853165843132,-1.8463309919974003,0.6867721885948527,-1.8142649062518905,0.08621689464957695,0.7331308003033733,0.9806836882702695,-0.2605421320002845,-0.1685577989860132,-10.146452783912778,-8.772816022626603,-5.191969868871281,12.606987193786663,15.561592746128742,-11.955563007263942,5.697093081437108,16.722914549108584,12.480768131653178,0.47625624064103406,-2.159548339068161,14.851302520455965,20.886855761422034,5.215779756575187,-4.409278405789199,-9.052665037266145,12.587660733357387,-3.8117804748193396,-9.558579597911262,-8.829968034947488,-0.005271557185182241,4.107600873659972,-15.616704044293103,-21.636123850524474
mean,inter,-2.9159673576782943,1.02891691169716,-1.611505730098171,9.949144056735046,-12.785088250468776,-0.9313327123165769,-0.43629065807616924,6.988899243308271,1.373040440411381,-1.3551107819426287,-6.250566286576629,-0.45696909912040845,-1.663857339505655,-0.06626355123725357,3.984660561708718,-5.981241538071221,0.13757452739138532,0.28489582098868116,3.1421157615070645,0.5063494856027168,-24.556531117985447,-26.454026907508382,-2.9157009631329798,1.0289344891355323,-1.6113364893885256,9.948398468059946,-12.784445481017721,-0.931213063104344,-0.43620819233300523,6.9884399802109165,1.372941431693192,-1.3549395900948928,-6.250088551083669,4.985750386372057,-0.3068577678308935,4.137794024936008,-1.7511859601379784,12.66010199942689,3.695766610788733,3.2742196977505436,-0.5566848311725013,2.043222731915073,-22.60123838981441,-20.816188095701794
mean,wet,-1.9373290490039008,-4.590040882690453,-9.888173284955919,2.6306875575922883,-14.138289958717225,-10.04283048705418,-3.453362898769418,-0.5406397258242684,-0.5465730659993141,-2.4400978602520484,-8.671787146535731,-0.5468381337093081,-3.721402641053069,-3.2226593768070284,0.9004531019218877,-5.407956502402476,-3.3156897209266565,-1.1920717466720587,-0.025263820040093917,-0.7191744195332432,-17.133185959578704,-20.53050287254193,-1.937159680787253,-4.58965392034277,-9.887404549220866,2.630452643790905,-14.13733709514097,-10.042053325247235,-3.4530873762329097,-0.5405857712313582,-0.546605826099477,-2.439881463793767,-8.671114089628187,1.433528941068556,1.179664593860281,7.493512024435323,-1.5319098442150032,11.016212112113465,7.579026268489452,2.418938926575928,0.6381901026011897,0.27063467545747744,-14.879028427159536,-12.960831820016649
max,inter,52.88546284717938,52.33011935032641,61.431823893801486,83.98493827713013,58.37666677518189,64.14742847368242,61.320599324935365,74.06822792426071,66.29156408091593,18.403222032335094,18.064018579093332,20.556393321333037,16.977714639421396,22.192415973741053,29.14118959630136,21.24189072085141,22.84775931743997,22.674075426979286,26.395494711688816,23.501799428241892,-14.752783141872458,-12.282250477211296,52.88229067009539,52.326984998767664,61.4279007587324,83.97869930415042,58.37296318118684,64.14326893326363,61.31668804056515,74.06314316486173,66.28714163912348,18.40218646714949,18.062859045165073,17.241877441602732,9.763677710117943,9.330222718234555,19.924843659408022,27.747515340365034,9.038659857170021,10.985719814781692,12.264610962836908,14.374880361962887,-10.423004988289831,-14.699563109270228
max,wet,-0.42142165006896887,16.131418145842243,13.726853112509984,2.542513028325343,6.59303475185872,13.391966068051099,12.211051247420155,6.723723949784423,2.9599107760782264,23.552524913946378,15.892269648347154,0.24946752362845998,0.047432970239997214,0.6355794508036865,1.8695291123130926,0.3544586695278126,0.6234340440676566,1.082145661714822,2.1923415156875348,0.7424709087953135,-11.661116629414998,-10.083203896344251,-0.42140237139797515,16.13018576067118,13.72579076134876,2.5421951997774865,6.592546569174751,13.390930304422675,12.210123563827153,6.723329440920232,2.959480096876598,23.55009274233223,15.891007514879053,5.5661134997831425,4.594192816680795,3.83462146243072,9.140104656218595,14.55187268591234,3.679158944309642,0.37155777010872804,1.9049651030793218,4.595347557917657,-10.963135108088949,-14.540740508467982
max,inter,50.17553227479376,44.79428581331857,66.83958840424947,58.16128325925414,64.98383328555963,69.61088439041683,60.101020525858836,62.72951128420794,71.94715350283671,37.32442117223819,37.47889459130926,13.88089761126998,9.666223999383096,16.130373967800956,15.516660933716146,15.699435575203491,16.51097720356514,15.438335156911892,16.01494847970432,17.5147975169727,-10.336821375948444,-6.790480880324873,50.17248981263468,44.79165676737191,66.83504317737663,58.15741544486481,64.97900066894596,69.60609017707846,60.097061090168694,62.725355193287115,71.94198880905725,37.32062138786702,37.476520135664785,20.888757740136636,5.762983747746132,1.4139405109625989,28.608991233282904,14.295341566954464,1.028311029157562,5.349566440421864,11.061349145635484,22.260392263671,-11.362809117815601,-19.3605673844002
max,wet,-0.7536195528924075,29.665728806658816,34.51529618312279,-8.789035173468436,17.64782251761147,33.80563171676618,24.18274520002763,5.534978188338706,8.812056970795403,45.50915072052964,37.766336354771724,-0.012545902362034556,-1.0522619119451504,1.991349450737075,-1.4322230990118796,1.4059467173651157,2.0077289134262895,1.740562611029353,0.24195122453683027,0.9998733032942039,-7.629030231152589,-5.093863830117499,-0.7535217966581591,29.663097926630144,34.51260719261382,-8.788594122724577,17.646579628694973,33.80299972906605,24.18099498161042,5.534871879103076,8.811516354740844,45.5042077549296,37.76333936653493,10.111560397919005,3.062365317700346,-4.078647607803594,16.513608749545376,2.319454047349563,-3.9392544453599116,-3.938470256880467,3.0761393841970976,12.51969279391334,-10.940686330132364,-18.322635006451577
